Date,Open,High,Low,Close,Volume,MarketCap
2018-08-30 00:00:00 +0000 UTC,0.8,0.8,0.8,0.8,13303,1492285
2018-08-29 00:00:00 +0000 UTC,0.8,0.9,0.8,0.8,21419,1531553
2018-08-28 00:00:00 +0000 UTC,0.9,0.9,0.7,0.8,16806,1630170
2018-08-27 00:00:00 +0000 UTC,0.8,0.9,0.8,0.9,14331,1573129
2018-08-26 00:00:00 +0000 UTC,0.9,0.9,0.8,0.8,14396,1642702
2018-08-25 00:00:00 +0000 UTC,1.0,1.0,0.8,0.9,19216,1824390
2018-08-24 00:00:00 +0000 UTC,0.9,1.0,0.8,1.0,23226,1628048
2018-08-23 00:00:00 +0000 UTC,0.9,0.9,0.8,0.9,20919,1629372
2018-08-22 00:00:00 +0000 UTC,0.7,1.1,0.7,0.9,26586,1354976
2018-08-21 00:00:00 +0000 UTC,0.7,0.9,0.7,0.7,8751,1323599
2018-08-20 00:00:00 +0000 UTC,0.7,1.0,0.7,0.7,16292,1243402
2018-08-19 00:00:00 +0000 UTC,0.6,0.7,0.6,0.7,11781,1223154
2018-08-18 00:00:00 +0000 UTC,0.8,0.8,0.6,0.6,6587,1514347
2018-08-17 00:00:00 +0000 UTC,0.7,0.8,0.7,0.8,8888,1306525
2018-08-16 00:00:00 +0000 UTC,0.8,0.8,0.6,0.7,6162,1464944
2018-08-15 00:00:00 +0000 UTC,0.7,0.9,0.7,0.8,6355,1307520
2018-08-14 00:00:00 +0000 UTC,0.9,0.9,0.6,0.7,14618,1611991
2018-08-13 00:00:00 +0000 UTC,0.9,1.0,0.8,0.9,20050,1747159
2018-08-12 00:00:00 +0000 UTC,0.8,0.9,0.7,0.9,10224,1446670
2018-08-11 00:00:00 +0000 UTC,0.9,0.9,0.8,0.8,10982,1622191
2018-08-10 00:00:00 +0000 UTC,0.9,1.0,0.8,0.9,9168,1733462
2018-08-09 00:00:00 +0000 UTC,1.0,1.1,0.9,0.9,10131,1957217
2018-08-08 00:00:00 +0000 UTC,0.9,1.1,0.8,1.0,19919,1777577
2018-08-07 00:00:00 +0000 UTC,1.0,1.1,0.9,0.9,10663,1936131
2018-08-06 00:00:00 +0000 UTC,1.1,1.2,1.0,1.0,16870,2189242
2018-08-05 00:00:00 +0000 UTC,1.1,1.6,1.0,1.1,11685,2048785
2018-08-04 00:00:00 +0000 UTC,1.4,1.4,1.1,1.1,11224,2649991
2018-08-03 00:00:00 +0000 UTC,3.0,3.6,1.3,1.4,30882,3447728
2018-08-02 00:00:00 +0000 UTC,2.9,3.1,2.3,3.0,4089,3297225
2018-08-01 00:00:00 +0000 UTC,2.9,2.9,1.6,2.9,212,3274859
2018-07-31 00:00:00 +0000 UTC,3.0,3.0,1.6,2.9,23,3458070
2018-07-30 00:00:00 +0000 UTC,3.0,3.0,2.9,3.0,632,3458372
2018-07-29 00:00:00 +0000 UTC,1.5,1.5,1.5,1.5,7,1700425
2018-07-28 00:00:00 +0000 UTC,1.6,3.0,1.5,1.5,41,1870182
2018-07-27 00:00:00 +0000 UTC,2.9,3.1,1.6,1.6,101,3348905
2018-07-26 00:00:00 +0000 UTC,3.0,3.0,3.0,3.0,0,3436829
2018-07-25 00:00:00 +0000 UTC,2.0,3.1,1.7,3.0,8,2347405
2018-07-24 00:00:00 +0000 UTC,2.3,3.1,1.7,2.1,365,2644974
2018-07-23 00:00:00 +0000 UTC,2.3,2.3,2.3,2.3,110,2647911
2018-07-22 00:00:00 +0000 UTC,1.3,1.3,1.3,1.3,1,1480655
2018-07-21 00:00:00 +0000 UTC,2.2,2.2,1.3,1.3,79,2513584
2018-07-20 00:00:00 +0000 UTC,2.1,2.2,2.0,2.2,145,2377029
2018-07-19 00:00:00 +0000 UTC,2.2,2.2,2.2,2.2,8,2526636
2018-07-18 00:00:00 +0000 UTC,2.2,2.3,2.2,2.2,8,2543849
2018-07-17 00:00:00 +0000 UTC,2.4,2.4,2.4,2.4,2,2731561
2018-07-16 00:00:00 +0000 UTC,1.1,2.4,1.1,2.4,16,1235888
2018-07-15 00:00:00 +0000 UTC,2.5,2.5,2.5,2.5,10,2828491
2018-07-14 00:00:00 +0000 UTC,2.5,2.5,2.5,2.5,9,2844160
2018-07-13 00:00:00 +0000 UTC,3.0,3.1,1.0,2.5,69,3474636
2018-07-12 00:00:00 +0000 UTC,1.4,3.0,1.4,3.0,84,1607906
2018-07-11 00:00:00 +0000 UTC,1.5,1.5,1.4,1.4,71,1754176
2018-07-07 00:00:00 +0000 UTC,2.2,2.2,2.2,2.2,48,2529814
2018-07-06 00:00:00 +0000 UTC,2.0,2.2,1.1,2.2,1409,2314695
2018-07-05 00:00:00 +0000 UTC,1.8,2.0,1.8,2.0,301,2032715
2018-07-04 00:00:00 +0000 UTC,1.8,1.8,1.7,1.8,13,2016383
2018-07-03 00:00:00 +0000 UTC,1.9,1.9,1.8,1.8,70,2121680
2018-07-02 00:00:00 +0000 UTC,2.0,2.0,1.7,1.9,13157,2285013
2018-07-01 00:00:00 +0000 UTC,1.8,2.0,1.7,2.0,21504,2042967
2018-06-30 00:00:00 +0000 UTC,1.8,2.1,1.7,1.8,16289,2063288
2018-06-29 00:00:00 +0000 UTC,1.8,1.9,1.5,1.8,26427,2057299
2018-06-28 00:00:00 +0000 UTC,2.2,2.3,1.6,1.8,53389,2550710
2018-06-27 00:00:00 +0000 UTC,2.4,2.5,2.2,2.2,18707,2715357
2018-06-26 00:00:00 +0000 UTC,2.2,2.5,2.2,2.4,30195,2568616
2018-06-25 00:00:00 +0000 UTC,2.2,2.5,2.1,2.2,24990,2565951
2018-06-24 00:00:00 +0000 UTC,2.5,2.6,2.2,2.2,29976,2822103
2018-06-23 00:00:00 +0000 UTC,2.9,2.9,2.4,2.5,27038,3312243
2018-06-22 00:00:00 +0000 UTC,3.9,3.9,2.6,2.6,52016,4457483
2018-06-21 00:00:00 +0000 UTC,4.6,4.9,3.4,3.9,45463,5230251
2018-06-20 00:00:00 +0000 UTC,3.2,5.1,3.1,4.6,39309,3608248
2018-06-19 00:00:00 +0000 UTC,3.1,3.4,3.0,3.2,7267,3559508
2018-06-18 00:00:00 +0000 UTC,2.9,3.3,2.8,3.1,18473,3311438
2018-06-17 00:00:00 +0000 UTC,2.6,3.1,2.5,2.9,30144,2955910
2018-06-16 00:00:00 +0000 UTC,2.5,2.7,2.5,2.6,15252,2898568
2018-06-15 00:00:00 +0000 UTC,2.7,2.9,2.5,2.5,12838,3047276
2018-06-14 00:00:00 +0000 UTC,2.6,2.9,2.6,2.7,11819,3012722
2018-06-13 00:00:00 +0000 UTC,2.8,2.8,2.5,2.6,11685,3191198
2018-06-12 00:00:00 +0000 UTC,2.8,3.1,2.7,2.8,23869,3248002
2018-06-11 00:00:00 +0000 UTC,2.8,2.9,2.7,2.8,23598,3145639
2018-06-10 00:00:00 +0000 UTC,3.1,3.1,2.7,2.8,16513,3601493
2018-06-09 00:00:00 +0000 UTC,3.0,3.2,3.0,3.1,16600,3452990
2018-06-08 00:00:00 +0000 UTC,3.4,3.4,3.0,3.0,9426,3823247
2018-06-07 00:00:00 +0000 UTC,2.9,3.3,2.9,3.3,30737,3350384
2018-06-06 00:00:00 +0000 UTC,3.0,3.2,2.9,2.9,32377,3486821
2018-06-05 00:00:00 +0000 UTC,3.2,3.2,3.0,3.0,36262,3663639
2018-06-04 00:00:00 +0000 UTC,3.0,3.2,2.9,3.2,26060,3451870
2018-06-03 00:00:00 +0000 UTC,3.0,3.1,3.0,3.0,8880,3416215
2018-06-02 00:00:00 +0000 UTC,3.1,3.1,2.9,3.0,12089,3505148
2018-06-01 00:00:00 +0000 UTC,3.2,3.3,2.9,3.1,16121,3715859
2018-05-31 00:00:00 +0000 UTC,3.6,3.6,3.0,3.2,34140,4066740
2018-05-30 00:00:00 +0000 UTC,3.2,3.7,3.1,3.6,35519,3668409
2018-05-29 00:00:00 +0000 UTC,3.0,3.2,2.9,3.2,22873,3379459
2018-05-28 00:00:00 +0000 UTC,3.0,3.1,2.7,3.0,22910,3454184
2018-05-27 00:00:00 +0000 UTC,3.0,3.2,2.9,3.1,19475,3458304
2018-05-26 00:00:00 +0000 UTC,3.0,3.3,3.0,3.0,24144,3488767
2018-05-25 00:00:00 +0000 UTC,2.9,3.4,2.8,3.1,18790,3356472
2018-05-24 00:00:00 +0000 UTC,3.0,3.5,2.8,2.9,37841,3443684
2018-05-23 00:00:00 +0000 UTC,3.0,3.2,2.8,3.0,35129,3485001
2018-05-22 00:00:00 +0000 UTC,3.2,3.3,2.9,3.0,19486,3674281
2018-05-21 00:00:00 +0000 UTC,3.0,3.3,3.0,3.2,23253,3474285
2018-05-20 00:00:00 +0000 UTC,3.4,3.4,3.0,3.1,14129,3834638
2018-05-19 00:00:00 +0000 UTC,3.6,3.8,3.2,3.4,28169,4131254
2018-05-18 00:00:00 +0000 UTC,3.9,4.9,3.2,3.6,33614,4486440
2018-05-17 00:00:00 +0000 UTC,3.4,6.8,3.3,3.9,55889,3865230
