Date,Open,High,Low,Close,Volume,MarketCap
2018-08-30 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,4,0
2018-08-29 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,11,0
2018-08-28 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,22,0
2018-08-27 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,30,0
2018-08-26 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,33,0
2018-08-25 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,673,0
2018-08-24 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,65,0
2018-08-23 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,65,0
2018-08-22 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,615,0
2018-08-21 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,118,0
2018-08-20 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,158,0
2018-08-19 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,134,0
2018-08-18 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,91,0
2018-08-17 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,18,0
2018-08-16 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,9,0
2018-08-15 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,215,0
2018-08-14 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,176,0
2018-08-13 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,35,0
2018-08-12 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,126,0
2018-08-11 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,271,0
2018-08-10 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,260,0
2018-08-09 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,13,0
2018-08-08 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,649,0
2018-08-07 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,88,0
2018-08-06 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,253,0
2018-08-05 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,33,0
2018-08-04 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,129,0
2018-08-03 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,5,0
2018-08-02 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,266,0
2018-08-01 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,127,0
2018-07-31 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,251,0
2018-07-30 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,241,0
2018-07-29 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,20,0
2018-07-28 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,747,0
2018-07-27 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,132,0
2018-07-26 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,5,0
2018-07-25 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,424,0
2018-07-24 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,83,0
2018-07-23 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,528,0
2018-07-22 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,210,0
2018-07-21 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,7,0
2018-07-20 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,99,0
2018-07-19 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,165,0
2018-07-18 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,68,0
2018-07-17 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,150,0
2018-07-16 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,150,0
2018-07-15 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,15,0
2018-07-14 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,15,0
2018-07-13 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,15,0
2018-07-12 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,55,0
2018-07-11 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,57,0
2018-07-10 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,938,0
2018-07-09 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,36,0
2018-07-08 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,218,0
2018-07-07 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,331,0
2018-07-06 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,46,0
2018-07-05 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,99,0
2018-07-04 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,530,0
2018-07-03 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,419,0
2018-07-02 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,4068,0
2018-07-01 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,394,0
2018-06-30 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,120,0
2018-06-29 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,697,0
2018-06-28 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1406,0
2018-06-27 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,14161,0
2018-06-26 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,19,0
2018-06-25 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,94,0
2018-06-24 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,6,0
2018-06-23 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,2037,0
2018-06-22 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,117,0
2018-06-21 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,342,0
2018-06-20 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,104,0
2018-06-19 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,721,0
2018-06-18 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,274,0
2018-06-17 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,571,0
2018-06-16 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,226,0
2018-06-15 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,584,0
2018-06-14 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,257,0
2018-06-13 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,902,0
2018-06-12 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,571,0
2018-06-11 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,80,0
2018-06-10 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,956,0
2018-06-09 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,703,0
2018-06-08 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,405,0
2018-06-07 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,625,0
2018-06-06 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,535,0
2018-06-05 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,693,0
2018-06-04 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1359,0
2018-06-03 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,496,0
2018-06-02 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,849,0
2018-06-01 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,529,0
2018-05-31 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,17774,0
2018-05-30 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,20134,0
2018-05-29 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,182,0
2018-05-28 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,269,0
2018-05-27 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,232,0
2018-05-26 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,60,0
2018-05-25 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,237,0
2018-05-24 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,522,0
2018-05-23 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,461,0
2018-05-22 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,163,0
2018-05-21 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,2504,0
2018-05-20 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,4543,0
2018-05-19 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1272,0
2018-05-18 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1556,0
2018-05-17 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,843,0
2018-05-16 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,3875,0
2018-05-15 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,8406,0
2018-05-14 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,37641,0
2018-05-13 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,177275,0
2018-05-12 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,120,0
2018-05-11 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,2167,0
2018-05-10 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,139,0
2018-05-09 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,403,0
2018-05-08 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1033,0
2018-05-07 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1612,0
2018-05-06 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,681,0
2018-05-05 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,851,0
2018-05-04 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,4946,0
2018-05-03 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,10530,0
2018-05-02 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,680,0
2018-05-01 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,804,0
2018-04-30 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1023,0
2018-04-29 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,808,0
2018-04-28 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,11834,0
2018-04-27 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1203,0
2018-04-26 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1024,0
2018-04-25 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,11402,0
2018-04-24 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,204,0
2018-04-23 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,210,0
2018-04-22 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,2267,0
2018-04-21 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,821,0
2018-04-20 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,213,0
2018-04-19 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,189,0
2018-04-18 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,333,0
2018-04-17 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,89,0
2018-04-16 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1915,0
2018-04-15 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,70,0
2018-04-14 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,130,0
2018-04-13 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,115,0
2018-04-12 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,509,0
2018-04-11 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,282,0
2018-04-10 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,748,0
2018-04-09 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,330,0
2018-04-08 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,468,0
2018-04-07 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,101,0
2018-04-06 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1708,0
2018-04-05 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,186,0
2018-04-04 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1211,0
2018-04-03 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,2407,0
2018-04-02 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,654,0
2018-04-01 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,2160,0
2018-03-31 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,24608,0
2018-03-30 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,68156,0
2018-03-29 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,384,0
2018-03-28 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1097,0
2018-03-27 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,738,0
2018-03-26 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1640,0
2018-03-25 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,3214,0
2018-03-24 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,617,0
2018-03-23 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,326,0
2018-03-22 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1172,0
2018-03-21 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,226,0
2018-03-20 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,258,0
2018-03-19 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,127,0
2018-03-18 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1773,0
2018-03-17 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1249,0
2018-03-16 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,256,0
2018-03-15 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,83,0
2018-03-14 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,303,0
2018-03-13 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,156,0
2018-03-12 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,168,0
2018-03-11 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,445,0
2018-03-10 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,794,0
2018-03-09 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,626,0
2018-03-08 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,180,0
2018-03-07 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,619,0
2018-03-06 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,3558,0
2018-03-05 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1718,0
2018-03-04 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1747,0
2018-03-03 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1233,0
2018-03-02 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,422,0
2018-03-01 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,540,0
2018-02-28 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1314,0
2018-02-27 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1123,0
2018-02-26 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,294,0
2018-02-25 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1335,0
2018-02-24 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,258,0
2018-02-23 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,2012,0
2018-02-22 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,262,0
2018-02-21 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1098,0
2018-02-20 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1441,0
2018-02-19 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,924,0
2018-02-18 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,405,0
2018-02-17 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1011,0
2018-02-16 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,2459,0
2018-02-15 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,2075,0
2018-02-14 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,3152,0
2018-02-13 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1760,0
2018-02-12 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,2048,0
2018-02-11 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,3117,0
2018-02-10 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1001,0
2018-02-09 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,4304,0
2018-02-08 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,2930,0
2018-02-07 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,11444,0
2018-02-06 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,6127,0
2018-02-05 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,2727,0
2018-02-04 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,11355,0
2018-02-03 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,18946,0
2018-02-02 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,9410,0
2018-02-01 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,13420,0
2018-01-31 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,59012,0
2018-01-30 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,3211,0
2018-01-29 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,3587,0
2018-01-28 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,2772,0
2018-01-27 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,21214,0
2018-01-26 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,31266,0
2018-01-25 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,459,0
2018-01-24 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,159,0
2018-01-23 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,32,0
2018-01-22 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,58,0
2018-01-21 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,167,0
2018-01-20 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,694,0
2018-01-19 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1095,0
2018-01-18 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1142,0
2018-01-17 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,23,0
2018-01-16 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,122,0
2018-01-15 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,435,0
2018-01-14 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,161,0
2018-01-13 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,15,0
2018-01-12 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,130,0
2018-01-11 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,326,0
2018-01-10 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,74,0
2018-01-09 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,78,0
2018-01-08 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,313,0
2018-01-07 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,2833,0
2018-01-06 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,2342,0
2018-01-05 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,43227,0
2018-01-04 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,112236,0
