Date,Open,High,Low,Close,Volume,MarketCap
2018-08-28 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,5,162580
2018-08-27 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,8416,211542
2018-08-26 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,158,159682
2018-08-25 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1691,158178
2018-08-24 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,820,154465
2018-08-23 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,2394,200486
2018-08-22 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,4428,204187
2018-08-21 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,430,197717
2018-08-20 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,2699,306291
2018-08-19 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,2756,252023
2018-08-18 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,2038,311239
2018-08-17 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,17289,447652
2018-08-16 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,4622,444509
2018-08-15 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,103,487773
2018-08-14 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,109,493074
2018-08-13 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,105,497734
2018-08-12 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,76,541621
2018-08-11 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,125,533193
2018-08-10 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,17,514727
2018-08-09 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,69,494121
2018-08-08 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,191,582367
2018-08-07 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,374,546166
2018-08-06 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,430,499536
2018-08-05 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,40,496873
2018-08-04 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1234,584249
2018-08-03 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,22,652976
2018-08-02 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,309,599173
2018-08-01 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,50,609766
2018-07-31 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,604,579257
2018-07-30 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,47,582268
2018-07-29 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,58,582242
2018-07-28 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,183,578876
2018-07-27 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,44,563162
2018-07-26 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,132,578875
2018-07-25 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,235,651487
2018-07-24 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,154,668144
2018-07-23 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,87,523902
2018-07-22 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,380,524434
2018-07-21 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,43,577287
2018-07-20 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,320,529345
2018-07-19 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,675,580285
2018-07-18 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,290,576548
2018-07-17 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,225,476972
2018-07-16 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,322,550978
2018-07-15 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,3,443858
2018-07-14 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,177,540014
2018-07-13 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,58,491375
2018-07-12 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,186,502959
2018-07-11 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,14,497391
2018-07-10 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,38,524429
2018-07-09 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,32,580733
2018-07-08 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,162,531987
2018-07-07 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,4,571397
2018-07-06 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,40,514420
2018-07-05 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,492,518494
2018-07-04 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,61,511654
2018-07-03 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,16,517607
2018-07-02 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,20,499557
2018-07-01 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,212,502764
2018-06-30 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,902,488403
2018-06-29 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,402,461924
2018-06-28 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,17,531097
2018-06-27 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,84,478602
2018-06-26 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,57,491805
2018-06-25 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,239,484132
2018-06-24 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,62,533937
2018-06-23 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,109,524001
2018-06-22 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,41,528525
2018-06-21 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,33,531425
2018-06-20 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,60,638043
2018-06-19 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,658,582728
2018-06-18 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,164,509836
2018-06-17 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,40,513831
2018-06-16 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,33,505497
2018-06-15 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,15,522948
2018-06-14 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,175,497416
2018-06-13 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,121,518166
2018-06-12 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,452,542136
2018-06-11 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,260,586636
2018-06-10 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,123,649845
2018-06-09 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,361,660386
2018-06-08 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,42,665183
2018-06-07 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,100,723220
2018-06-06 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,365,720117
2018-06-05 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1415,590527
2018-06-04 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,26,667467
2018-06-03 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,449,661055
2018-06-02 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,247,591653
2018-06-01 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,735,589687
2018-05-31 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,138,639221
2018-05-30 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,642,646314
2018-05-29 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,205,616348
2018-05-28 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,126,635994
2018-05-27 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,469,635101
2018-05-26 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,77,705387
2018-05-25 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1239,714342
2018-05-24 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,41,651071
2018-05-23 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,646,692969
2018-05-22 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,106,794148
2018-05-21 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,172,805459
2018-05-20 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,142,778823
2018-05-19 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,476,713360
2018-05-18 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,41,699429
2018-05-17 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,439,722832
2018-05-16 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1566,734766
2018-05-15 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,337,682790
2018-05-14 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,2431,684036
2018-05-13 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,343,666517
2018-05-12 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1302,660788
2018-05-11 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,110,711401
2018-05-10 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,213,806429
2018-05-09 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,2757,868890
2018-05-08 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,563,811021
2018-05-07 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,606,832390
2018-05-06 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,869,851005
2018-05-05 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1635,839225
2018-05-04 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,940,843990
2018-05-03 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,3670,943368
2018-05-02 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,4642,857965
2018-05-01 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,3159,872844
2018-04-30 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,391,888022
2018-04-29 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,316,882727
2018-04-28 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,163,842126
2018-04-27 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,482,878161
2018-04-26 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1010,767392
2018-04-25 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1181,839694
2018-04-24 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,731,772756
2018-04-23 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,427,760308
2018-04-22 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,664,843323
2018-04-21 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,2627,765567
2018-04-20 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,618,781033
2018-04-19 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,695,771164
2018-04-18 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,198,683675
2018-04-17 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,192,760316
2018-04-16 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,187,722567
2018-04-15 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1427,692778
2018-04-14 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,128,681152
2018-04-13 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,3379,810252
2018-04-12 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,351,656122
2018-04-11 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,134,645221
2018-04-10 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,43,585343
2018-04-09 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,285,608269
2018-04-08 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,846,652146
2018-04-07 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1283,625420
2018-04-06 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,791,640063
2018-04-05 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,4434,748439
2018-04-04 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,251,758891
2018-04-03 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,319,776803
2018-04-02 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,2001,752118
2018-04-01 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,101,763647
2018-03-31 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,325,699623
2018-03-30 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1352,724857
2018-03-29 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1143,812599
2018-03-28 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,2326,919380
2018-03-27 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,60254,1028814
2018-03-26 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,118015,930056
2018-03-25 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1712,803159
2018-03-24 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,9606,911920
2018-03-23 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,496,890376
2018-03-22 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,374,910248
2018-03-21 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,726,911149
2018-03-20 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1448,814509
2018-03-19 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,616,838084
2018-03-18 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,396,807004
2018-03-17 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,602,849455
2018-03-16 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,5121,845278
2018-03-15 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,3394,775201
2018-03-14 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1502,936218
2018-03-13 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,2281,1001560
2018-03-12 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,554,1126891
2018-03-11 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,2190,1036087
2018-03-10 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1522,1020394
2018-03-09 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1361,1024113
2018-03-08 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1511,1089919
2018-03-07 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,14042,1434316
2018-03-06 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,9132,1901782
2018-03-05 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,27336,1357510
2018-03-04 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,2843,1530779
2018-03-03 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,5662,1474520
2018-03-02 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1569,1459033
2018-03-01 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,21006,1544143
2018-02-28 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,2543,1594908
2018-02-27 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,2020,1542150
2018-02-26 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1136,1358246
2018-02-25 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1534,1373760
2018-02-24 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1561,1517475
2018-02-23 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,461,1472344
2018-02-22 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,466,1565301
2018-02-21 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1394,1589185
2018-02-20 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,2018,1758672
2018-02-19 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,6887,1717048
2018-02-18 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,2340,1921041
2018-02-17 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1122,1845423
2018-02-16 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,2141,1985616
2018-02-15 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,910,1715341
2018-02-14 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1794,1808545
2018-02-13 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,3324,1680838
2018-02-12 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1363,1850411
2018-02-11 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,15058,1884321
2018-02-10 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,8730,1641419
2018-02-09 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,13822,1299544
2018-02-08 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1294,1192511
2018-02-07 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,2878,1395494
2018-02-06 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,2005,1037954
2018-02-05 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,8378,1422158
2018-02-04 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1248,1528051
2018-02-03 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,2300,1325455
2018-02-02 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,6290,1429651
2018-02-01 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,4988,1921298
2018-01-31 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,6681,2049967
2018-01-30 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,71239,2292061
2018-01-29 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,56814,2191334
2018-01-28 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,18272,2965634
2018-01-27 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,12745,3240207
2018-01-26 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,12074,3425998
2018-01-25 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,20984,3143914
2018-01-24 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,10479,2986301
2018-01-23 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,14201,3238856
2018-01-22 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,6680,3197933
2018-01-21 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,21936,4027407
2018-01-20 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,16095,3656929
2018-01-19 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,12431,3905579
2018-01-18 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,35692,3594856
2018-01-17 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,32791,3686172
2018-01-16 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,51318,4625161
2018-01-15 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,48110,4956538
2018-01-14 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,42725,6782323
2018-01-13 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,103791,6023535
2018-01-12 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,68058,4142739
2018-01-11 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,56077,5778264
2018-01-10 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,84530,7931933
2018-01-09 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,194499,7349493
