Date,Open,High,Low,Close,Volume,MarketCap
2018-08-30 00:00:00 +0000 UTC,0.9,1.0,0.9,0.9,1071560,51288492
2018-08-29 00:00:00 +0000 UTC,0.9,0.9,0.9,0.9,557030,53069318
2018-08-28 00:00:00 +0000 UTC,0.8,0.9,0.8,0.9,987322,48473641
2018-08-27 00:00:00 +0000 UTC,0.8,0.8,0.8,0.8,614607,46052318
2018-08-26 00:00:00 +0000 UTC,0.8,0.8,0.8,0.8,484418,47639954
2018-08-25 00:00:00 +0000 UTC,0.8,0.8,0.8,0.8,534558,47601257
2018-08-24 00:00:00 +0000 UTC,0.8,0.8,0.8,0.8,545334,45385183
2018-08-23 00:00:00 +0000 UTC,0.7,0.8,0.7,0.8,645764,43051628
2018-08-22 00:00:00 +0000 UTC,0.8,0.8,0.7,0.7,631475,46107064
2018-08-21 00:00:00 +0000 UTC,0.8,0.9,0.8,0.8,1124410,45443894
2018-08-20 00:00:00 +0000 UTC,0.8,0.8,0.8,0.8,423961,48289827
2018-08-19 00:00:00 +0000 UTC,0.8,0.9,0.8,0.8,609583,46393363
2018-08-18 00:00:00 +0000 UTC,0.9,0.9,0.8,0.8,585453,51774018
2018-08-17 00:00:00 +0000 UTC,0.8,0.9,0.8,0.9,699661,44669938
2018-08-16 00:00:00 +0000 UTC,0.8,0.8,0.7,0.8,692478,46804162
2018-08-15 00:00:00 +0000 UTC,0.7,2.2,0.7,0.8,1069410,42662086
2018-08-14 00:00:00 +0000 UTC,0.8,0.8,0.7,0.7,877587,47636512
2018-08-13 00:00:00 +0000 UTC,0.9,1.0,0.8,0.8,692395,52353889
2018-08-12 00:00:00 +0000 UTC,0.9,0.9,0.9,0.9,453554,51329450
2018-08-11 00:00:00 +0000 UTC,0.9,0.9,0.9,0.9,464347,51402493
2018-08-10 00:00:00 +0000 UTC,1.0,1.0,0.9,0.9,563925,56133268
2018-08-09 00:00:00 +0000 UTC,1.0,1.0,0.9,1.0,604705,56536268
2018-08-08 00:00:00 +0000 UTC,1.0,1.0,0.9,1.0,540297,59114773
2018-08-07 00:00:00 +0000 UTC,1.1,1.1,1.0,1.0,855118,61232377
2018-08-06 00:00:00 +0000 UTC,1.0,1.1,1.0,1.1,726554,60963629
2018-08-05 00:00:00 +0000 UTC,1.0,1.1,1.0,1.0,619399,60196041
2018-08-04 00:00:00 +0000 UTC,1.1,1.1,1.0,1.0,588310,65963023
2018-08-03 00:00:00 +0000 UTC,1.2,1.2,1.0,1.1,1036870,68616128
2018-08-02 00:00:00 +0000 UTC,1.2,1.3,1.2,1.2,1030450,71084472
2018-08-01 00:00:00 +0000 UTC,1.2,1.2,1.1,1.2,833095,71594474
2018-07-31 00:00:00 +0000 UTC,1.3,1.3,1.2,1.2,840105,75734303
2018-07-30 00:00:00 +0000 UTC,1.4,1.4,1.2,1.3,924797,81120368
2018-07-29 00:00:00 +0000 UTC,1.4,1.4,1.4,1.4,692517,83256600
2018-07-28 00:00:00 +0000 UTC,1.4,1.5,1.4,1.4,777885,84958584
2018-07-27 00:00:00 +0000 UTC,1.4,1.5,1.4,1.4,1013200,81667432
2018-07-26 00:00:00 +0000 UTC,1.5,1.5,1.4,1.4,1335360,85655856
2018-07-25 00:00:00 +0000 UTC,1.4,1.5,1.4,1.5,1480960,82010512
2018-07-24 00:00:00 +0000 UTC,1.4,1.5,1.4,1.4,1851140,82305952
2018-07-23 00:00:00 +0000 UTC,1.4,1.5,1.4,1.4,1141400,83119368
2018-07-22 00:00:00 +0000 UTC,1.4,1.5,1.4,1.4,1357580,81479088
2018-07-21 00:00:00 +0000 UTC,1.3,1.4,1.3,1.4,1372430,78521424
2018-07-20 00:00:00 +0000 UTC,1.6,1.6,1.4,1.4,2187060,93141240
2018-07-19 00:00:00 +0000 UTC,1.6,1.6,1.5,1.6,2296800,93023536
