Date,Open,High,Low,Close,Volume,MarketCap
2018-08-30 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,88,181925
2018-08-29 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,90,181340
2018-08-28 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,8,200025
2018-08-27 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,8,190211
2018-08-26 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,5,218288
2018-08-25 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,36,216233
2018-08-24 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,8,214218
2018-08-23 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,0,184070
2018-08-22 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,8,209346
2018-08-21 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,7,202713
2018-08-20 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,7,194145
2018-08-19 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,63,186041
2018-08-18 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,2046,255237
2018-08-17 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,64,244780
2018-08-16 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,38,243061
2018-08-15 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,202,240047
2018-08-14 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,137,240728
2018-08-13 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,83,244949
2018-08-12 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,70,242315
2018-08-11 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,173,258423
2018-08-10 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,197,274421
2018-08-09 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,592,261833
2018-08-08 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1,195408
2018-08-07 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,3,201587
2018-08-06 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,11,300541
2018-08-05 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,93,316977
2018-08-04 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,2,335446
2018-08-03 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,57,362400
2018-08-02 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,64,394270
2018-08-01 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,182,360909
2018-07-31 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,18,290347
2018-07-30 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,0,371456
2018-07-29 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1,370920
2018-07-28 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,6,395669
2018-07-27 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,6,384926
2018-07-26 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,10,366775
2018-07-25 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,46,399934
2018-07-24 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,180,423469
2018-07-23 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,10,262601
2018-07-22 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,7,378480
2018-07-21 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,60,402474
2018-07-20 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,37,385933
2018-07-19 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,27,376679
2018-07-18 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,83,383583
2018-07-17 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,135,370068
2018-07-16 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,516,368386
2018-07-15 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,74,323606
2018-07-14 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,3,221463
2018-07-13 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1,201516
2018-07-12 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,4,205231
2018-07-11 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,7,326373
2018-07-10 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,7,344114
2018-07-09 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,41,325688
2018-07-08 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,16,349072
2018-07-07 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,7,340847
2018-07-06 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,196,376466
2018-07-05 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,0,361358
2018-07-04 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,341,335731
2018-07-03 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,49,212274
2018-07-02 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,5,326176
2018-07-01 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,37,350150
2018-06-30 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,241,320475
2018-06-29 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,6,269457
2018-06-28 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,44,277208
2018-06-27 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,7,275086
2018-06-26 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,123,279394
2018-06-25 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,21,297818
2018-06-24 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,40,298597
2018-06-23 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,38,293040
2018-06-22 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,17,325127
2018-06-21 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,65,348705
2018-06-20 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,23,348887
2018-06-19 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,316,347608
2018-06-18 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,174,313630
2018-06-17 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,33,295016
2018-06-16 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,916,331692
2018-06-15 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,292,321696
2018-06-14 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,10,305990
2018-06-13 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,447,318755
2018-06-12 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,102,333500
2018-06-11 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,321,328068
2018-06-10 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,112,389787
2018-06-09 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,63,372019
2018-06-08 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,519,371994
2018-06-07 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,472,395568
2018-06-06 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,571,444535
2018-06-05 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1149,460281
2018-06-04 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,8253,597149
2018-06-03 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,10199,394332
2018-06-02 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,416,363961
2018-06-01 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,40,363222
2018-05-31 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,63,357475
2018-05-30 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,278,385538
2018-05-29 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,59,367663
2018-05-28 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,62,379545
2018-05-27 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,401,402527
2018-05-26 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,275,409818
2018-05-25 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,181,439434
2018-05-24 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,34,412649
2018-05-23 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,88,413836
2018-05-22 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,427,461748
2018-05-21 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,369,467958
2018-05-20 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,37,452484
2018-05-19 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,109,452128
2018-05-18 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,71,495451
2018-05-17 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,59,458805
2018-05-16 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,3692,465695
2018-05-15 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,20,476689
2018-05-14 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,97,504950
2018-05-13 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,34,492017
2018-05-12 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,69,514887
2018-05-11 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,145,525150
2018-05-10 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,34,541279
2018-05-09 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,889,504811
2018-05-08 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,125,514519
2018-05-07 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,139,538878
2018-05-06 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,77,602822
2018-05-05 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,379,534500
2018-05-04 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,74,598097
2018-05-03 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,60,535811
2018-05-02 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,271,498464
