Date,Open,High,Low,Close,Volume,MarketCap
2018-08-30 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,114462,4234788
2018-08-29 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,153240,4552057
2018-08-28 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,214295,4499311
2018-08-27 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,161390,4273426
2018-08-26 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,113930,4288771
2018-08-25 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,236481,4138753
2018-08-24 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,578298,3998374
2018-08-23 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,119754,3760228
2018-08-22 00:00:00 +0000 UTC,0.2,0.2,0.1,0.2,199398,3784969
2018-08-21 00:00:00 +0000 UTC,0.1,0.2,0.1,0.2,149041,3731367
2018-08-20 00:00:00 +0000 UTC,0.2,0.2,0.1,0.1,91029,3992875
2018-08-19 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,135733,3916172
2018-08-18 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,197714,4265469
2018-08-17 00:00:00 +0000 UTC,0.1,0.2,0.1,0.2,478282,3639290
2018-08-16 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,92759,3454434
2018-08-15 00:00:00 +0000 UTC,0.1,0.2,0.1,0.1,112102,3270950
2018-08-14 00:00:00 +0000 UTC,0.2,0.2,0.1,0.1,110509,3774801
2018-08-13 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,108719,4198134
2018-08-12 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,94101,4212294
2018-08-11 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,103071,4440589
2018-08-10 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,136955,5153959
2018-08-09 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,166318,4898435
2018-08-08 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,154585,5518527
2018-08-07 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,150419,5802658
2018-08-06 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,80361,5929814
2018-08-05 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,128550,5662548
2018-08-04 00:00:00 +0000 UTC,0.2,0.3,0.2,0.2,127061,6210113
2018-08-03 00:00:00 +0000 UTC,0.2,0.3,0.2,0.2,153622,6097384
2018-08-02 00:00:00 +0000 UTC,0.3,0.3,0.2,0.2,235126,6770975
2018-08-01 00:00:00 +0000 UTC,0.3,0.3,0.3,0.3,141517,6974049
2018-07-31 00:00:00 +0000 UTC,0.3,0.3,0.3,0.3,489184,7801553
2018-07-30 00:00:00 +0000 UTC,0.3,0.3,0.3,0.3,181742,8145888
2018-07-29 00:00:00 +0000 UTC,0.3,0.3,0.3,0.3,259462,8246400
2018-07-28 00:00:00 +0000 UTC,0.3,0.4,0.3,0.3,840719,8237372
2018-07-27 00:00:00 +0000 UTC,0.3,0.3,0.3,0.3,204472,7982328
2018-07-26 00:00:00 +0000 UTC,0.3,0.3,0.3,0.3,346664,8428542
2018-07-25 00:00:00 +0000 UTC,0.3,0.3,0.3,0.3,255060,7960170
2018-07-24 00:00:00 +0000 UTC,0.3,0.3,0.3,0.3,223330,8392129
2018-07-23 00:00:00 +0000 UTC,0.3,0.3,0.3,0.3,185085,8420064
2018-07-22 00:00:00 +0000 UTC,0.3,0.3,0.3,0.3,166544,8389353
2018-07-21 00:00:00 +0000 UTC,0.3,0.3,0.3,0.3,198428,8576447
2018-07-20 00:00:00 +0000 UTC,0.4,0.4,0.3,0.3,242468,8908395
2018-07-19 00:00:00 +0000 UTC,0.4,0.4,0.4,0.4,198661,9338679
2018-07-18 00:00:00 +0000 UTC,0.4,0.4,0.4,0.4,579078,9391799
2018-07-17 00:00:00 +0000 UTC,0.4,0.4,0.4,0.4,244793,8908345
2018-07-16 00:00:00 +0000 UTC,0.3,0.4,0.3,0.4,364533,7996708
2018-07-15 00:00:00 +0000 UTC,0.3,0.3,0.3,0.3,140327,8046126
2018-07-14 00:00:00 +0000 UTC,0.3,0.3,0.3,0.3,255715,7794408
2018-07-13 00:00:00 +0000 UTC,0.3,0.3,0.3,0.3,185789,7613516
2018-07-12 00:00:00 +0000 UTC,0.3,0.3,0.3,0.3,586864,7942513
2018-07-11 00:00:00 +0000 UTC,0.3,0.3,0.3,0.3,197404,7789982
2018-07-10 00:00:00 +0000 UTC,0.3,0.4,0.3,0.3,240097,8749861
2018-07-09 00:00:00 +0000 UTC,0.4,0.4,0.4,0.4,918965,9329326
2018-07-08 00:00:00 +0000 UTC,0.4,0.4,0.4,0.4,241003,9594024
2018-07-07 00:00:00 +0000 UTC,0.4,0.4,0.4,0.4,214324,9069629
2018-07-06 00:00:00 +0000 UTC,0.4,0.5,0.4,0.4,3666740,9236116
2018-07-05 00:00:00 +0000 UTC,0.4,0.4,0.4,0.4,341904,9390748
2018-07-04 00:00:00 +0000 UTC,0.3,0.4,0.3,0.4,739888,8692790
2018-07-03 00:00:00 +0000 UTC,0.4,0.4,0.3,0.3,326830,9188673
2018-07-02 00:00:00 +0000 UTC,0.3,0.4,0.3,0.4,427570,8552688
2018-07-01 00:00:00 +0000 UTC,0.3,0.3,0.3,0.3,352478,8116527
2018-06-30 00:00:00 +0000 UTC,0.3,0.3,0.3,0.3,226247,7312605
2018-06-29 00:00:00 +0000 UTC,0.3,0.3,0.3,0.3,177935,7109080
2018-06-28 00:00:00 +0000 UTC,0.3,0.3,0.3,0.3,166108,7569311
2018-06-27 00:00:00 +0000 UTC,0.3,0.3,0.3,0.3,241189,7510786
2018-06-26 00:00:00 +0000 UTC,0.3,0.3,0.3,0.3,134424,7945726
2018-06-25 00:00:00 +0000 UTC,0.3,0.3,0.3,0.3,405310,7668947
2018-06-24 00:00:00 +0000 UTC,0.3,0.3,0.3,0.3,228358,8469729
2018-06-23 00:00:00 +0000 UTC,0.3,0.3,0.3,0.3,171164,8372470
2018-06-22 00:00:00 +0000 UTC,0.4,0.4,0.3,0.3,274002,9546738
2018-06-21 00:00:00 +0000 UTC,0.4,0.4,0.4,0.4,253792,9774448
2018-06-20 00:00:00 +0000 UTC,0.4,0.4,0.4,0.4,510046,9903552
2018-06-19 00:00:00 +0000 UTC,0.4,0.4,0.4,0.4,202845,9622649
2018-06-18 00:00:00 +0000 UTC,0.4,0.4,0.4,0.4,184896,9463403
2018-06-17 00:00:00 +0000 UTC,0.4,0.4,0.4,0.4,174968,9576856
2018-06-16 00:00:00 +0000 UTC,0.4,0.4,0.4,0.4,229291,9350320
2018-06-15 00:00:00 +0000 UTC,0.4,0.4,0.4,0.4,191875,9780358
2018-06-14 00:00:00 +0000 UTC,0.4,0.4,0.4,0.4,341545,8989643
2018-06-13 00:00:00 +0000 UTC,0.4,0.4,0.3,0.4,694511,9742758
2018-06-12 00:00:00 +0000 UTC,0.4,0.4,0.4,0.4,369093,10743667
2018-06-11 00:00:00 +0000 UTC,0.4,0.5,0.4,0.4,318816,11201810
2018-06-10 00:00:00 +0000 UTC,0.5,0.5,0.4,0.4,362114,13296044
2018-06-09 00:00:00 +0000 UTC,0.5,0.6,0.5,0.5,211035,13567925
2018-06-08 00:00:00 +0000 UTC,0.6,0.6,0.5,0.5,430094,14178234
2018-06-07 00:00:00 +0000 UTC,0.6,0.6,0.6,0.6,1146040,14177063
2018-06-06 00:00:00 +0000 UTC,0.6,0.6,0.5,0.6,353606,13902242
2018-06-05 00:00:00 +0000 UTC,0.6,0.6,0.5,0.6,474678,13924053
2018-06-04 00:00:00 +0000 UTC,0.6,0.6,0.6,0.6,271910,15047942
2018-06-03 00:00:00 +0000 UTC,0.6,0.6,0.6,0.6,358769,14539253
2018-06-02 00:00:00 +0000 UTC,0.6,0.6,0.6,0.6,279553,14420039
2018-06-01 00:00:00 +0000 UTC,0.6,0.6,0.5,0.6,388872,13980627
2018-05-31 00:00:00 +0000 UTC,0.5,0.6,0.5,0.6,559337,13377563
