Date,Open,High,Low,Close,Volume,MarketCap
2018-08-30 00:00:00 +0000 UTC,0.2,0.2,0.1,0.1,433,2386545
2018-08-29 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,21,2453346
2018-08-28 00:00:00 +0000 UTC,0.2,0.2,0.1,0.2,580,2395084
2018-08-27 00:00:00 +0000 UTC,0.1,0.2,0.1,0.2,1315,1865529
2018-08-26 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,0,2064126
2018-08-25 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,1640,2306596
2018-08-24 00:00:00 +0000 UTC,0.1,0.2,0.1,0.1,24,1963063
2018-08-23 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,501,1993229
2018-08-22 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,1122,2124025
2018-08-21 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,1706,2045561
2018-08-20 00:00:00 +0000 UTC,0.2,0.2,0.1,0.1,0,2364229
2018-08-19 00:00:00 +0000 UTC,0.1,0.2,0.1,0.2,5,2057340
2018-08-18 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,1424,2219885
2018-08-17 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,1272,2053424
2018-08-16 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,2,2170191
2018-08-15 00:00:00 +0000 UTC,0.1,0.2,0.1,0.1,25,1834989
2018-08-14 00:00:00 +0000 UTC,0.2,0.2,0.1,0.1,2993,2421039
2018-08-13 00:00:00 +0000 UTC,0.2,0.2,0.1,0.2,3437,2456778
2018-08-12 00:00:00 +0000 UTC,0.1,0.2,0.1,0.2,66,2287193
2018-08-11 00:00:00 +0000 UTC,0.1,0.2,0.1,0.1,460,1988627
2018-08-10 00:00:00 +0000 UTC,0.2,0.2,0.1,0.1,5596,3614626
2018-08-09 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,268,2969174
2018-08-08 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,6595,2826975
2018-08-07 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,298,2932197
2018-08-06 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,8,2985795
2018-08-05 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,528,3183982
2018-08-04 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,759,3456698
2018-08-03 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,3177,3544881
2018-08-02 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,935,3589867
2018-08-01 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,2459,3197417
2018-07-31 00:00:00 +0000 UTC,0.2,0.3,0.2,0.2,3743,3844288
2018-07-30 00:00:00 +0000 UTC,0.2,0.3,0.2,0.2,399,3877097
2018-07-29 00:00:00 +0000 UTC,0.3,0.3,0.2,0.2,1085,4500554
2018-07-28 00:00:00 +0000 UTC,0.3,0.3,0.3,0.3,3230,4233976
2018-07-27 00:00:00 +0000 UTC,0.3,0.3,0.2,0.3,7,4019485
2018-07-26 00:00:00 +0000 UTC,0.3,0.3,0.3,0.3,1935,4294558
2018-07-25 00:00:00 +0000 UTC,0.4,0.4,0.4,0.4,4,5708329
2018-07-24 00:00:00 +0000 UTC,0.2,0.4,0.2,0.4,4,3866344
2018-07-23 00:00:00 +0000 UTC,0.2,0.3,0.2,0.2,4688,3908697
2018-07-22 00:00:00 +0000 UTC,0.3,0.3,0.2,0.2,30,4623270
2018-07-21 00:00:00 +0000 UTC,0.3,0.3,0.3,0.3,55,4380016
2018-07-20 00:00:00 +0000 UTC,0.3,0.3,0.3,0.3,592,4769279
2018-07-19 00:00:00 +0000 UTC,0.3,0.3,0.3,0.3,153,4716879
2018-07-18 00:00:00 +0000 UTC,0.3,0.3,0.3,0.3,363,5155595
2018-07-17 00:00:00 +0000 UTC,0.3,0.3,0.3,0.3,662,4370737
2018-07-16 00:00:00 +0000 UTC,0.2,0.3,0.2,0.3,908,3814681
2018-07-15 00:00:00 +0000 UTC,0.2,0.3,0.2,0.2,1035,3313736
2018-07-14 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,1217,3640253
2018-07-13 00:00:00 +0000 UTC,0.2,0.3,0.2,0.2,839,3604813
2018-07-12 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,1,3696510
2018-07-11 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,425,3759114
2018-07-10 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,3281,3839086
2018-07-09 00:00:00 +0000 UTC,0.3,0.3,0.2,0.2,747,4106651
2018-07-08 00:00:00 +0000 UTC,0.3,0.3,0.3,0.3,1146,4280169
2018-07-07 00:00:00 +0000 UTC,0.3,0.3,0.3,0.3,105,4002462
2018-07-06 00:00:00 +0000 UTC,0.2,0.3,0.2,0.3,1424,3581866
2018-07-05 00:00:00 +0000 UTC,0.2,0.3,0.2,0.2,466,3499621
2018-07-04 00:00:00 +0000 UTC,0.2,0.3,0.2,0.2,2741,2789734
2018-07-03 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,255,3210613
2018-07-02 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,2169,2976324
2018-07-01 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,1776,3105170
2018-06-30 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,608,2898751
2018-06-29 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,1099,2767727
2018-06-28 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,1962,2952362
2018-06-27 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,1246,3148978
2018-06-26 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,212,3401172
2018-06-25 00:00:00 +0000 UTC,0.2,0.3,0.2,0.2,950,3604656
2018-06-24 00:00:00 +0000 UTC,0.2,0.3,0.2,0.3,5757,3097108
2018-06-23 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,81,3230760
2018-06-22 00:00:00 +0000 UTC,0.3,0.3,0.2,0.2,2289,3921082
2018-06-21 00:00:00 +0000 UTC,0.2,0.3,0.2,0.2,92,3892769
2018-06-20 00:00:00 +0000 UTC,0.2,0.3,0.2,0.2,834,3663773
2018-06-19 00:00:00 +0000 UTC,0.3,0.3,0.2,0.2,258,3939520
2018-06-18 00:00:00 +0000 UTC,0.3,0.4,0.2,0.3,1732,3998282
2018-06-17 00:00:00 +0000 UTC,0.3,0.3,0.3,0.3,185,3998549
2018-06-16 00:00:00 +0000 UTC,0.2,0.3,0.2,0.3,359,3721217
2018-06-15 00:00:00 +0000 UTC,0.3,0.3,0.2,0.2,251,4154736
2018-06-14 00:00:00 +0000 UTC,0.2,0.3,0.2,0.3,3973,3844999
2018-06-13 00:00:00 +0000 UTC,0.3,0.3,0.2,0.2,3954,4152382
2018-06-12 00:00:00 +0000 UTC,0.3,0.3,0.2,0.3,8617,4322671
2018-06-11 00:00:00 +0000 UTC,0.3,0.3,0.2,0.3,2178,4052984
2018-06-10 00:00:00 +0000 UTC,0.3,0.3,0.3,0.3,10044,4962290
2018-06-09 00:00:00 +0000 UTC,0.3,0.4,0.3,0.3,1513,4920022
2018-06-08 00:00:00 +0000 UTC,0.3,0.4,0.3,0.3,4568,5336982
2018-06-07 00:00:00 +0000 UTC,0.3,0.4,0.3,0.3,2406,5269046
2018-06-06 00:00:00 +0000 UTC,0.3,0.3,0.3,0.3,2256,5149536
2018-06-05 00:00:00 +0000 UTC,0.3,0.3,0.3,0.3,2445,5253955
2018-06-04 00:00:00 +0000 UTC,0.3,0.4,0.3,0.3,4321,5415223
2018-06-03 00:00:00 +0000 UTC,0.3,0.4,0.3,0.3,4544,5350942
2018-06-02 00:00:00 +0000 UTC,0.2,0.4,0.2,0.3,7573,3564230
2018-06-01 00:00:00 +0000 UTC,0.4,0.4,0.1,0.2,35869,5810788
2018-05-31 00:00:00 +0000 UTC,0.4,0.4,0.4,0.4,2411,5686520
2018-05-30 00:00:00 +0000 UTC,0.4,0.4,0.4,0.4,1359,5860685
2018-05-29 00:00:00 +0000 UTC,0.3,0.4,0.3,0.4,80,5485219
2018-05-28 00:00:00 +0000 UTC,0.3,0.4,0.3,0.3,2122,5383944
2018-05-27 00:00:00 +0000 UTC,0.3,0.4,0.3,0.3,346,5445739
2018-05-26 00:00:00 +0000 UTC,0.4,0.4,0.3,0.3,561,5565964
2018-05-25 00:00:00 +0000 UTC,0.4,0.4,0.3,0.4,1467,6222605
2018-05-24 00:00:00 +0000 UTC,0.4,0.4,0.3,0.4,3103,5899410
2018-05-23 00:00:00 +0000 UTC,0.4,0.4,0.4,0.4,2950,5913047
2018-05-22 00:00:00 +0000 UTC,0.4,0.4,0.4,0.4,5767,6640703
2018-05-21 00:00:00 +0000 UTC,0.4,0.4,0.4,0.4,1612,6594751
2018-05-20 00:00:00 +0000 UTC,0.4,0.4,0.4,0.4,488,6696517
2018-05-19 00:00:00 +0000 UTC,0.4,0.4,0.4,0.4,656,6688214
2018-05-18 00:00:00 +0000 UTC,0.4,0.4,0.4,0.4,58,6511180
2018-05-17 00:00:00 +0000 UTC,0.4,0.4,0.4,0.4,505,6774684
2018-05-16 00:00:00 +0000 UTC,0.4,0.4,0.4,0.4,1209,6941381
2018-05-15 00:00:00 +0000 UTC,0.4,0.5,0.4,0.4,3070,6611992
2018-05-14 00:00:00 +0000 UTC,0.4,0.4,0.4,0.4,495,6846876
2018-05-13 00:00:00 +0000 UTC,0.4,0.4,0.4,0.4,2483,6467775
2018-05-12 00:00:00 +0000 UTC,0.4,0.4,0.4,0.4,1114,5823427
2018-05-11 00:00:00 +0000 UTC,0.5,0.5,0.3,0.4,5831,7129931
2018-05-10 00:00:00 +0000 UTC,0.5,0.5,0.5,0.5,4015,7822389
2018-05-09 00:00:00 +0000 UTC,0.5,0.5,0.5,0.5,6156,7744121
2018-05-08 00:00:00 +0000 UTC,0.5,0.6,0.5,0.5,3118,8134722
2018-05-07 00:00:00 +0000 UTC,0.6,0.6,0.5,0.5,13585,9688565
2018-05-06 00:00:00 +0000 UTC,0.7,0.7,0.6,0.6,9640,10214325
2018-05-05 00:00:00 +0000 UTC,0.6,0.7,0.6,0.7,1600,9948466
2018-05-04 00:00:00 +0000 UTC,0.7,0.8,0.6,0.6,9958,11421664
2018-05-03 00:00:00 +0000 UTC,0.6,0.8,0.5,0.7,53482,9884020
2018-05-02 00:00:00 +0000 UTC,0.6,0.7,0.5,0.6,32021,9191934
2018-05-01 00:00:00 +0000 UTC,0.6,0.6,0.5,0.6,6928,8954479
2018-04-30 00:00:00 +0000 UTC,0.5,0.6,0.5,0.6,10445,7852693
2018-04-29 00:00:00 +0000 UTC,0.4,0.5,0.4,0.5,9749,6749985
2018-04-28 00:00:00 +0000 UTC,0.4,0.5,0.4,0.4,15863,6737666
2018-04-27 00:00:00 +0000 UTC,0.5,0.5,0.4,0.4,4270,7704020
2018-04-26 00:00:00 +0000 UTC,0.4,0.5,0.4,0.5,5282,6713865
2018-04-25 00:00:00 +0000 UTC,0.5,0.5,0.4,0.4,6425,7752836
2018-04-24 00:00:00 +0000 UTC,0.4,0.5,0.4,0.5,20912,6791472
2018-04-23 00:00:00 +0000 UTC,0.5,0.5,0.4,0.4,5276,7400320
2018-04-22 00:00:00 +0000 UTC,0.5,0.5,0.5,0.5,1573,7412937
2018-04-21 00:00:00 +0000 UTC,0.5,0.5,0.5,0.5,10119,7469063
2018-04-20 00:00:00 +0000 UTC,0.4,0.5,0.4,0.5,3067,6640102
2018-04-19 00:00:00 +0000 UTC,0.5,0.5,0.4,0.4,9252,7055659
2018-04-18 00:00:00 +0000 UTC,0.4,0.5,0.4,0.5,6924,6878022
2018-04-17 00:00:00 +0000 UTC,0.4,0.5,0.4,0.4,19462,6383193
2018-04-16 00:00:00 +0000 UTC,0.5,0.5,0.4,0.4,1844,7249412
2018-04-15 00:00:00 +0000 UTC,0.4,0.5,0.4,0.5,6967,6605165
2018-04-14 00:00:00 +0000 UTC,0.4,0.4,0.4,0.4,1503,5757502
2018-04-13 00:00:00 +0000 UTC,0.4,0.5,0.4,0.4,14776,6322984
2018-04-12 00:00:00 +0000 UTC,0.3,0.4,0.3,0.4,3461,5412867
2018-04-11 00:00:00 +0000 UTC,0.3,0.3,0.3,0.3,3467,4592331
2018-04-10 00:00:00 +0000 UTC,0.3,0.3,0.3,0.3,3487,4870541
2018-04-09 00:00:00 +0000 UTC,0.3,0.4,0.3,0.3,8781,4625184
2018-04-08 00:00:00 +0000 UTC,0.3,0.3,0.3,0.3,3047,4553740
2018-04-07 00:00:00 +0000 UTC,0.3,0.3,0.3,0.3,2543,4862494
2018-04-06 00:00:00 +0000 UTC,0.3,0.3,0.3,0.3,5714,4861314
2018-04-05 00:00:00 +0000 UTC,0.3,0.3,0.3,0.3,2442,4943512
2018-04-04 00:00:00 +0000 UTC,0.4,0.4,0.3,0.3,3369,6243067
2018-04-03 00:00:00 +0000 UTC,0.4,0.5,0.3,0.4,15346,5763395
2018-04-02 00:00:00 +0000 UTC,0.3,0.4,0.3,0.4,10155,5141698
2018-04-01 00:00:00 +0000 UTC,0.3,0.3,0.3,0.3,10686,4915674
2018-03-31 00:00:00 +0000 UTC,0.3,0.3,0.3,0.3,6534,4956285
2018-03-30 00:00:00 +0000 UTC,0.3,0.3,0.3,0.3,6842,5264760
2018-03-29 00:00:00 +0000 UTC,0.4,0.4,0.3,0.3,8182,5566723
2018-03-28 00:00:00 +0000 UTC,0.3,0.4,0.3,0.3,3074,5471089
2018-03-27 00:00:00 +0000 UTC,0.4,0.4,0.3,0.3,3118,5895532
2018-03-26 00:00:00 +0000 UTC,0.4,0.4,0.3,0.4,3352,5907675
2018-03-25 00:00:00 +0000 UTC,0.4,0.4,0.4,0.4,4284,5940929
2018-03-24 00:00:00 +0000 UTC,0.4,0.4,0.4,0.4,4549,5812372
2018-03-23 00:00:00 +0000 UTC,0.4,0.4,0.3,0.4,4099,5639939
2018-03-22 00:00:00 +0000 UTC,0.4,0.4,0.3,0.4,5025,6645582
2018-03-21 00:00:00 +0000 UTC,0.4,0.4,0.4,0.4,5077,6442938
2018-03-20 00:00:00 +0000 UTC,0.4,0.4,0.4,0.4,5495,6517137
2018-03-19 00:00:00 +0000 UTC,0.4,0.4,0.4,0.4,4311,5825832
2018-03-18 00:00:00 +0000 UTC,0.4,0.4,0.3,0.4,5947,5776137
2018-03-17 00:00:00 +0000 UTC,0.4,0.4,0.3,0.4,14032,6786013
2018-03-16 00:00:00 +0000 UTC,0.4,0.5,0.4,0.4,1041,6695906
2018-03-15 00:00:00 +0000 UTC,0.5,0.5,0.4,0.4,4716,7129969
2018-03-14 00:00:00 +0000 UTC,0.5,0.5,0.4,0.5,6084,7825412
2018-03-13 00:00:00 +0000 UTC,0.5,0.5,0.5,0.5,10141,8030520
2018-03-12 00:00:00 +0000 UTC,0.5,0.6,0.5,0.5,5803,8239846
2018-03-11 00:00:00 +0000 UTC,0.5,0.6,0.4,0.5,5255,7285381
2018-03-10 00:00:00 +0000 UTC,0.5,0.5,0.5,0.5,6221,7343325
2018-03-09 00:00:00 +0000 UTC,0.5,0.5,0.5,0.5,19516,8508303
2018-03-08 00:00:00 +0000 UTC,0.6,0.6,0.5,0.5,7501,9189778
2018-03-07 00:00:00 +0000 UTC,0.6,0.7,0.5,0.6,16515,9923147
2018-03-06 00:00:00 +0000 UTC,0.6,0.7,0.6,0.6,24687,9688156
2018-03-05 00:00:00 +0000 UTC,0.7,0.7,0.6,0.6,13501,10972727
2018-03-04 00:00:00 +0000 UTC,0.7,0.8,0.7,0.7,11595,10774140
2018-03-03 00:00:00 +0000 UTC,0.7,0.9,0.6,0.7,44085,10553132
2018-03-02 00:00:00 +0000 UTC,0.7,0.7,0.6,0.7,12902,10190300
2018-03-01 00:00:00 +0000 UTC,0.6,0.7,0.6,0.7,18324,10141946
2018-02-28 00:00:00 +0000 UTC,0.7,0.7,0.6,0.6,6594,10568780
2018-02-27 00:00:00 +0000 UTC,0.6,0.7,0.6,0.7,5148,10004018
2018-02-26 00:00:00 +0000 UTC,0.6,0.7,0.6,0.7,6917,9839411
2018-02-25 00:00:00 +0000 UTC,0.6,0.7,0.6,0.6,12285,10017325
