Date,Open,High,Low,Close,Volume,MarketCap
2018-08-30 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,525574,13008548
2018-08-29 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,982217,13195132
2018-08-28 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1132390,12490491
2018-08-27 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1179580,12889179
2018-08-26 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1580180,13967227
2018-08-25 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,3063000,14092586
2018-08-24 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,3305030,12399311
2018-08-23 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,2228950,11944413
2018-08-22 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,2056830,12687039
2018-08-21 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1014550,11136811
2018-08-20 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1348230,12251500
2018-08-19 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1521980,12528452
2018-08-18 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1281240,13678891
2018-08-17 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1574620,12348385
2018-08-16 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1580210,11959874
2018-08-15 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1282080,11637597
2018-08-14 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1117610,12008424
2018-08-13 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1177960,13647821
2018-08-12 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1505110,13280668
2018-08-11 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1362810,13671272
2018-08-10 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,975479,14537760
2018-08-09 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1453110,14160801
2018-08-08 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1429050,15822106
2018-08-07 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1767290,17240415
2018-08-06 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1565240,17457838
2018-08-05 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1836220,17659960
2018-08-04 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1943830,18440305
2018-08-03 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1228380,18300030
2018-08-02 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,2090980,19357784
2018-08-01 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1693850,20770654
2018-07-31 00:00:00 +0000 UTC,0.1,0.1,0.0,0.0,995006,21928360
2018-07-30 00:00:00 +0000 UTC,0.1,0.1,0.0,0.0,1019110,22011024
2018-07-29 00:00:00 +0000 UTC,0.1,0.1,0.0,0.1,1005930,22895570
2018-07-28 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,1082480,22838498
2018-07-27 00:00:00 +0000 UTC,0.1,0.1,0.0,0.1,1030180,22864978
2018-07-26 00:00:00 +0000 UTC,0.0,0.1,0.0,0.1,601560,21018760
2018-07-25 00:00:00 +0000 UTC,0.0,0.1,0.0,0.0,453776,19931910
2018-07-24 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,233269,18570178
2018-07-23 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,211601,19906480
2018-07-22 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,138037,20458962
2018-07-21 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,169181,20308300
2018-07-20 00:00:00 +0000 UTC,0.1,0.1,0.0,0.0,304510,22354510
2018-07-19 00:00:00 +0000 UTC,0.1,0.1,0.0,0.1,305601,22658714
2018-07-18 00:00:00 +0000 UTC,0.1,0.1,0.0,0.1,355772,24492706
2018-07-17 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,278696,23325054
2018-07-16 00:00:00 +0000 UTC,0.0,0.1,0.0,0.1,1380750,20599798
2018-07-15 00:00:00 +0000 UTC,0.0,0.1,0.0,0.0,227896,21594746
