Date,Open,High,Low,Close,Volume,MarketCap
2018-08-30 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1287,845052
2018-08-29 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1043,785698
2018-08-28 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,5299,975950
2018-08-27 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1414,1006749
2018-08-26 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,4594,736582
2018-08-25 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1279,735310
2018-08-24 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,2078,714563
2018-08-23 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1230,679555
2018-08-22 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1982,728504
2018-08-21 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,2409,626555
2018-08-20 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,2651,628759
2018-08-19 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,663,598506
2018-08-18 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,687,657435
2018-08-17 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1462,561924
2018-08-16 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1996,528088
2018-08-15 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1971,527657
2018-08-14 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1712,524776
2018-08-13 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1100,547200
2018-08-12 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,464,535217
2018-08-11 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,524,558792
2018-08-10 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,995,580719
2018-08-09 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,541,621953
2018-08-08 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,819,640991
2018-08-07 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,871,695615
2018-08-06 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,774,717551
2018-08-05 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,316,722721
2018-08-04 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,381,819920
2018-08-03 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,2524,734595
2018-08-02 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,510,765902
2018-08-01 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1420,781790
2018-07-31 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1724,773511
2018-07-30 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1396,826647
2018-07-29 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1591,945984
2018-07-28 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1656,749989
2018-07-27 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,356,785200
2018-07-26 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,971,846477
2018-07-25 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,873,833038
2018-07-24 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1099,690385
2018-07-23 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,776,835313
2018-07-22 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,3620,746050
2018-07-21 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1773,670820
2018-07-20 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1648,661172
2018-07-19 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,650,706568
2018-07-18 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,6619,797224
2018-07-17 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,2842,803498
2018-07-16 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,2668,844248
2018-07-15 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1780,801621
2018-07-14 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,317,822322
2018-07-13 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,189,805326
2018-07-12 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,446,801841
2018-07-11 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1985,779824
2018-07-10 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1443,840531
2018-07-09 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,2409,882149
2018-07-08 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1568,986021
2018-07-07 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,626,1007842
2018-07-06 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,565,966538
2018-07-05 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1750,1009847
2018-07-04 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1057,1001715
2018-07-03 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,2411,1008621
2018-07-02 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1250,941568
2018-07-01 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,2413,968851
2018-06-30 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1459,911904
2018-06-29 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,2460,895366
2018-06-28 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1757,911750
2018-06-27 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,3056,858624
2018-06-26 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1312,939899
2018-06-25 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1476,908972
2018-06-24 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,3791,936040
2018-06-23 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,5277,917060
2018-06-22 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,2120,1111601
2018-06-21 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,3008,1123484
2018-06-20 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1203,1177870
2018-06-19 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,3295,1199168
2018-06-18 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,2115,1224994
2018-06-17 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,3459,1131615
2018-06-16 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,2121,1252015
2018-06-15 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,4021,1366300
2018-06-14 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,6911,1087768
2018-06-13 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,2778,1214764
2018-06-12 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,8643,1424331
2018-06-11 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,4384,1591503
2018-06-10 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,6208,1641239
2018-06-09 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,5556,1815269
2018-06-08 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,5312,1890276
2018-06-07 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,14774,1723940
2018-06-06 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,8991,1894318
2018-06-05 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,16947,2094125
2018-06-04 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,19584,1830741
2018-06-03 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,11260,2010874
2018-06-02 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,19821,2114697
2018-06-01 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,23622,2545314
2018-05-31 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,37535,1630049
2018-05-30 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,28250,2592147
2018-05-29 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,33854,3034622
2018-05-28 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,63903,4028645
2018-05-27 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,163269,2376157
2018-05-26 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,35120,2305832
2018-05-25 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,154886,1355764
2018-05-24 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,26151,695588
2018-05-23 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,3305,764250
2018-05-22 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,5030,894913
2018-05-21 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,2516,867406
2018-05-20 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,2184,990431
2018-05-19 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,869,1031493
2018-05-18 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,2871,974233
2018-05-17 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1361,893217
2018-05-16 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,3077,895952
2018-05-15 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,3371,1072861
2018-05-14 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,4063,1184132
2018-05-13 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,2980,1096841
2018-05-12 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,6019,964167
2018-05-11 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,2811,1028547
2018-05-10 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,6593,1730771
2018-05-09 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,4353,1682245
2018-05-08 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,4028,1906127
2018-05-07 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,12662,1758668
2018-05-06 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,6149,1769933
2018-05-05 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,3778,1715457
2018-05-04 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,5147,1749130
2018-05-03 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,7617,1653816
2018-05-02 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,22894,1824467
2018-05-01 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,19406,1015203
2018-04-30 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1594,1172359
2018-04-29 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,4414,854164
2018-04-28 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,2427,878458
2018-04-27 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,647,669272
2018-04-26 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,967,835713
2018-04-25 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,762,820585
2018-04-24 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1129,786055
2018-04-23 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,914,1422023
2018-04-22 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1632,1351630
2018-04-21 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,2042,1213320
2018-04-20 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1524,1186403
2018-04-19 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,957,1025556
2018-04-18 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,726,905162
2018-04-17 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,346,679981
2018-04-16 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1762,907015
2018-04-15 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1041,842113
2018-04-14 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,991,780175
2018-04-13 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,653,882768
2018-04-12 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1189,589746
2018-04-11 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1302,584561
2018-04-10 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,2059,606408
2018-04-09 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,2244,575070
2018-04-08 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,668,726365
2018-04-07 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,520,767433
2018-04-06 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,543,722258
2018-04-05 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1108,1227005
2018-04-04 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1409,905659
2018-04-03 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,445,894693
2018-04-02 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,367,764067
2018-04-01 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,139,963353
2018-03-31 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,85,605564
2018-03-30 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,57,1136879
2018-03-29 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,104,857260
2018-03-28 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,370,1125877
2018-03-27 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1559,1069159
2018-03-26 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,2577,1358761
