Date,Open,High,Low,Close,Volume,MarketCap
2018-08-26 00:00:00 +0000 UTC,2.4,2.4,2.3,2.4,116,2023267
2018-08-25 00:00:00 +0000 UTC,2.4,2.5,2.3,2.4,117,2020342
2018-08-24 00:00:00 +0000 UTC,3.0,3.0,2.4,2.4,64,2582047
2018-08-23 00:00:00 +0000 UTC,3.1,3.1,3.1,3.1,19,2634539
2018-08-22 00:00:00 +0000 UTC,3.3,3.5,3.1,3.1,28,2802577
2018-08-21 00:00:00 +0000 UTC,3.4,3.5,3.2,3.3,25,2845679
2018-08-20 00:00:00 +0000 UTC,3.5,3.5,3.4,3.4,148,2963499
2018-08-19 00:00:00 +0000 UTC,3.3,3.4,3.3,3.4,62,2824709
2018-08-18 00:00:00 +0000 UTC,3.6,3.6,3.2,3.3,67,3067803
2018-08-17 00:00:00 +0000 UTC,2.4,3.6,2.4,3.6,1058,2043186
2018-08-16 00:00:00 +0000 UTC,2.6,2.7,2.4,2.4,5,2222112
2018-08-15 00:00:00 +0000 UTC,2.9,3.0,2.6,2.6,353,2474779
2018-08-14 00:00:00 +0000 UTC,3.0,3.0,2.7,2.9,1338,2506245
2018-08-13 00:00:00 +0000 UTC,3.2,3.3,2.9,3.0,45,2745703
2018-08-12 00:00:00 +0000 UTC,3.1,3.5,2.9,3.2,2140,2651306
2018-08-11 00:00:00 +0000 UTC,3.2,3.2,1.7,3.1,2553,2683875
2018-08-09 00:00:00 +0000 UTC,3.4,3.6,3.3,3.3,7,2899258
2018-08-08 00:00:00 +0000 UTC,3.6,3.6,3.4,3.4,958,3059419
2018-08-07 00:00:00 +0000 UTC,4.0,4.1,4.0,4.1,69,3380009
2018-08-06 00:00:00 +0000 UTC,4.0,4.1,3.9,4.0,259,3443520
2018-08-05 00:00:00 +0000 UTC,3.3,4.0,3.3,4.0,578,2820655
2018-08-04 00:00:00 +0000 UTC,3.8,3.9,3.8,3.8,87,3254707
2018-08-03 00:00:00 +0000 UTC,3.1,3.8,3.0,3.8,87,2662313
2018-08-02 00:00:00 +0000 UTC,4.1,4.2,3.1,3.1,319,3513242
2018-08-01 00:00:00 +0000 UTC,4.1,4.1,3.9,4.1,176,3497929
2018-07-31 00:00:00 +0000 UTC,4.8,4.8,4.1,4.1,188,4039169
2018-07-30 00:00:00 +0000 UTC,4.6,4.8,4.5,4.8,14,3929166
2018-07-27 00:00:00 +0000 UTC,5.0,5.0,5.0,5.0,183,4256815
2018-07-26 00:00:00 +0000 UTC,4.8,5.2,4.8,5.0,184,4121061
2018-07-25 00:00:00 +0000 UTC,4.1,5.0,4.0,4.8,1441,3497450
2018-07-24 00:00:00 +0000 UTC,4.4,5.0,3.3,4.2,10028,3761758
2018-07-23 00:00:00 +0000 UTC,4.6,4.6,4.4,4.4,105,3889020
2018-07-21 00:00:00 +0000 UTC,4.5,4.6,4.5,4.6,73,3848713
2018-07-20 00:00:00 +0000 UTC,4.7,4.7,4.5,4.5,249,3953909
2018-07-19 00:00:00 +0000 UTC,4.6,4.7,4.6,4.7,92,3924686
2018-07-18 00:00:00 +0000 UTC,4.9,5.2,4.6,4.6,33,4137866
2018-07-17 00:00:00 +0000 UTC,4.0,4.9,3.9,4.9,1797,3355288
2018-07-16 00:00:00 +0000 UTC,3.8,4.5,3.8,4.0,1494,3257487
2018-07-15 00:00:00 +0000 UTC,3.8,4.0,3.8,3.8,103,3204974
2018-07-14 00:00:00 +0000 UTC,3.8,3.9,3.5,3.8,25980,3210814
2018-07-13 00:00:00 +0000 UTC,3.8,3.8,3.7,3.8,4,3203427
2018-07-12 00:00:00 +0000 UTC,4.2,4.2,3.7,3.8,178,3591214
2018-07-11 00:00:00 +0000 UTC,3.4,4.2,3.4,4.2,1017,2901057
2018-07-10 00:00:00 +0000 UTC,4.1,4.1,3.2,3.4,518,3460467
2018-07-09 00:00:00 +0000 UTC,4.4,4.4,4.1,4.1,72,3710962
2018-07-08 00:00:00 +0000 UTC,4.7,4.7,4.2,4.4,1534,4005776
2018-07-07 00:00:00 +0000 UTC,4.6,4.7,3.9,4.7,990,3943003
2018-07-06 00:00:00 +0000 UTC,4.1,4.7,4.1,4.6,1064,3475045
2018-07-05 00:00:00 +0000 UTC,3.6,4.1,3.5,4.1,1280,3039071
2018-07-04 00:00:00 +0000 UTC,4.1,4.3,3.6,3.6,1140,3467377
2018-07-03 00:00:00 +0000 UTC,4.1,4.2,4.0,4.1,80,3497927
2018-07-02 00:00:00 +0000 UTC,4.5,5.0,4.1,4.1,1130,3852631
2018-07-01 00:00:00 +0000 UTC,4.8,4.8,3.9,4.5,628,4042827
2018-06-30 00:00:00 +0000 UTC,4.7,5.0,4.5,4.8,367,3954053
2018-06-29 00:00:00 +0000 UTC,4.2,4.7,4.1,4.7,33,3604967
2018-06-28 00:00:00 +0000 UTC,4.2,4.6,4.2,4.2,15398,3587228
2018-06-27 00:00:00 +0000 UTC,4.4,4.6,4.2,4.4,4235,3752539
2018-06-26 00:00:00 +0000 UTC,4.8,4.8,4.4,4.4,106,4073924
2018-06-25 00:00:00 +0000 UTC,4.1,4.8,4.0,4.8,5432,3487625
2018-06-24 00:00:00 +0000 UTC,4.3,4.6,3.8,4.1,2148,3668156
2018-06-23 00:00:00 +0000 UTC,4.2,4.5,4.0,4.3,19,3607164
2018-06-22 00:00:00 +0000 UTC,5.0,5.3,4.2,4.2,1803,4235824
2018-06-21 00:00:00 +0000 UTC,5.6,5.7,4.8,5.0,8007,4756813
2018-06-20 00:00:00 +0000 UTC,5.3,5.6,4.9,5.6,25765,4477132
2018-06-19 00:00:00 +0000 UTC,5.3,5.5,5.0,5.3,5690,4485437
2018-06-18 00:00:00 +0000 UTC,4.7,5.3,4.6,5.3,1280,3977183
2018-06-17 00:00:00 +0000 UTC,5.0,5.1,3.0,4.7,3802,4235747
2018-06-16 00:00:00 +0000 UTC,5.1,5.1,4.9,5.0,1716,4331655
2018-06-15 00:00:00 +0000 UTC,4.9,5.8,4.9,5.1,6348,4173103
2018-06-14 00:00:00 +0000 UTC,5.1,5.3,4.9,4.9,420,4297178
2018-06-13 00:00:00 +0000 UTC,5.0,5.3,5.0,5.1,394,4252623
2018-06-12 00:00:00 +0000 UTC,5.4,5.4,4.9,5.0,15,4619002
2018-06-11 00:00:00 +0000 UTC,6.0,6.0,5.2,5.4,1082,5142626
2018-06-10 00:00:00 +0000 UTC,6.8,6.8,5.9,6.0,522,5781772
2018-06-09 00:00:00 +0000 UTC,7.7,7.7,6.8,6.8,2506,6499859
2018-06-08 00:00:00 +0000 UTC,7.4,8.1,7.3,7.7,2937,6301152
