Date,Open,High,Low,Close,Volume,MarketCap
2018-08-30 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,2852,0
2018-08-29 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1026,0
2018-08-28 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,5954,0
2018-08-27 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,270,0
2018-08-26 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,235,0
2018-08-25 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,458,0
2018-08-24 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,612,0
2018-08-23 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,766,0
2018-08-22 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,257,0
2018-08-21 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1439,0
2018-07-30 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,7325,0
2018-07-29 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,18264,0
2018-07-28 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,2678,0
2018-07-27 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1648,0
2018-07-26 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,4635,0
2018-07-25 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1882,0
2018-07-24 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,6116,0
2018-07-23 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,4646,0
2018-07-22 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,4480,0
2018-07-21 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,6356,0
2018-07-20 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,2431,0
2018-07-19 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,2618,0
2018-07-18 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,2972,0
2018-07-17 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,3587,0
2018-07-16 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,285,0
2018-07-15 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1200,0
2018-07-14 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,6475,0
2018-07-13 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,9270,0
2018-07-12 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,2056,0
