Date,Open,High,Low,Close,Volume,MarketCap
2018-08-30 00:00:00 +0000 UTC,0.9,1.0,0.9,1.0,269972,22273560
2018-08-29 00:00:00 +0000 UTC,0.9,1.0,0.7,0.9,529007,22757898
2018-08-28 00:00:00 +0000 UTC,0.9,0.9,0.8,0.9,730878,21637770
2018-08-27 00:00:00 +0000 UTC,0.9,1.0,0.8,0.9,360996,23357825
2018-08-26 00:00:00 +0000 UTC,0.9,1.0,0.9,0.9,90438,21205207
2018-08-25 00:00:00 +0000 UTC,0.9,0.9,0.8,0.9,147611,21122060
2018-08-24 00:00:00 +0000 UTC,0.8,0.9,0.8,0.9,239260,20508233
2018-08-23 00:00:00 +0000 UTC,0.9,0.9,0.8,0.8,254694,21321633
2018-08-22 00:00:00 +0000 UTC,0.9,0.9,0.8,0.8,255532,21653753
2018-08-21 00:00:00 +0000 UTC,0.9,1.0,0.9,0.9,316791,22057102
2018-08-20 00:00:00 +0000 UTC,0.9,1.0,0.9,0.9,246634,22779947
2018-08-19 00:00:00 +0000 UTC,0.9,0.9,0.9,0.9,408337,22674602
2018-08-18 00:00:00 +0000 UTC,0.9,1.0,0.9,0.9,314168,22564862
2018-08-17 00:00:00 +0000 UTC,0.8,0.9,0.8,0.9,312613,20739013
2018-08-16 00:00:00 +0000 UTC,0.9,0.9,0.8,0.8,214943,21645375
2018-08-15 00:00:00 +0000 UTC,0.9,0.9,0.8,0.9,341304,21281458
2018-08-14 00:00:00 +0000 UTC,0.9,0.9,0.8,0.8,243740,22214809
2018-08-13 00:00:00 +0000 UTC,0.9,1.0,0.8,0.9,277754,21884809
2018-08-12 00:00:00 +0000 UTC,0.9,1.0,0.9,0.9,237517,23164482
2018-08-11 00:00:00 +0000 UTC,0.9,1.0,0.9,0.9,231762,22088889
2018-08-10 00:00:00 +0000 UTC,0.9,1.2,0.9,0.9,314193,22988899
2018-08-09 00:00:00 +0000 UTC,1.0,1.0,0.9,0.9,156541,23579045
2018-08-08 00:00:00 +0000 UTC,1.1,1.1,0.9,1.0,235786,26123369
2018-08-07 00:00:00 +0000 UTC,1.2,1.2,1.1,1.1,322386,29224381
2018-08-06 00:00:00 +0000 UTC,1.2,1.3,1.2,1.2,508436,29670737
2018-08-05 00:00:00 +0000 UTC,1.2,1.4,1.2,1.2,331473,29159482
2018-08-04 00:00:00 +0000 UTC,1.1,1.4,1.0,1.2,386337,26837322
2018-08-03 00:00:00 +0000 UTC,1.1,1.2,1.0,1.1,302159,25811174
2018-08-02 00:00:00 +0000 UTC,1.1,1.1,1.0,1.1,464616,26420313
2018-08-01 00:00:00 +0000 UTC,1.2,1.2,1.1,1.1,482519,28323750
2018-07-31 00:00:00 +0000 UTC,1.3,1.3,1.2,1.2,541838,32788714
2018-07-30 00:00:00 +0000 UTC,1.3,1.5,1.2,1.3,418334,32416979
2018-07-29 00:00:00 +0000 UTC,1.3,1.4,1.3,1.3,326627,32044572
2018-07-28 00:00:00 +0000 UTC,1.3,1.4,1.3,1.4,344144,32343532
2018-07-27 00:00:00 +0000 UTC,1.4,1.5,1.3,1.3,476187,34746948
2018-07-26 00:00:00 +0000 UTC,1.6,1.6,1.3,1.4,527899,37729584
2018-07-25 00:00:00 +0000 UTC,1.5,1.6,1.4,1.4,427070,36239612
2018-07-24 00:00:00 +0000 UTC,1.3,1.6,1.3,1.5,698450,32097444
2018-07-23 00:00:00 +0000 UTC,1.2,1.5,1.1,1.3,362817,28133838
2018-07-22 00:00:00 +0000 UTC,1.1,1.3,1.0,1.2,305539,26855096
2018-07-21 00:00:00 +0000 UTC,1.2,1.4,1.0,1.1,364486,30103640
2018-07-20 00:00:00 +0000 UTC,1.4,1.5,1.2,1.4,558786,35053368
