Date,Open,High,Low,Close,Volume,MarketCap
2018-08-30 00:00:00 +0000 UTC,0.4,0.4,0.4,0.4,7176570,0
2018-08-29 00:00:00 +0000 UTC,0.4,0.4,0.4,0.4,11134000,0
2018-08-28 00:00:00 +0000 UTC,0.4,0.4,0.4,0.4,7428580,0
2018-08-27 00:00:00 +0000 UTC,0.4,0.4,0.4,0.4,6436150,0
2018-08-26 00:00:00 +0000 UTC,0.4,0.4,0.4,0.4,7266580,0
2018-08-25 00:00:00 +0000 UTC,0.4,0.4,0.4,0.4,6879680,0
2018-08-24 00:00:00 +0000 UTC,0.4,0.4,0.4,0.4,6280890,0
2018-08-23 00:00:00 +0000 UTC,0.3,0.4,0.3,0.4,18387000,0
2018-08-22 00:00:00 +0000 UTC,0.4,0.4,0.3,0.3,14818400,0
2018-08-21 00:00:00 +0000 UTC,0.3,0.4,0.3,0.4,12053500,0
2018-08-20 00:00:00 +0000 UTC,0.4,0.4,0.4,0.4,3948110,0
2018-08-19 00:00:00 +0000 UTC,0.4,0.4,0.4,0.4,3877660,0
2018-08-18 00:00:00 +0000 UTC,0.5,0.5,0.4,0.4,10763400,0
2018-08-17 00:00:00 +0000 UTC,0.3,0.5,0.3,0.5,8469360,0
2018-08-16 00:00:00 +0000 UTC,0.3,0.3,0.3,0.3,2642820,0
2018-08-15 00:00:00 +0000 UTC,0.3,0.3,0.3,0.3,2906260,0
2018-08-14 00:00:00 +0000 UTC,0.3,0.3,0.3,0.3,3159900,0
2018-08-13 00:00:00 +0000 UTC,0.4,0.4,0.3,0.3,4855610,0
2018-08-12 00:00:00 +0000 UTC,0.4,0.4,0.3,0.4,7648050,0
2018-08-11 00:00:00 +0000 UTC,0.4,0.4,0.4,0.4,4826850,0
2018-08-10 00:00:00 +0000 UTC,0.5,0.5,0.4,0.4,3659000,0
2018-08-09 00:00:00 +0000 UTC,0.4,0.5,0.4,0.5,6322700,0
2018-08-08 00:00:00 +0000 UTC,0.6,0.6,0.4,0.4,8572120,0
2018-08-07 00:00:00 +0000 UTC,0.6,0.6,0.5,0.6,6931910,0
2018-08-06 00:00:00 +0000 UTC,0.6,0.7,0.6,0.6,16886000,0
2018-08-05 00:00:00 +0000 UTC,0.6,0.7,0.6,0.6,10222400,0
2018-08-04 00:00:00 +0000 UTC,0.7,0.7,0.6,0.6,20648600,0
2018-08-03 00:00:00 +0000 UTC,0.7,0.7,0.7,0.7,15794500,0
2018-08-02 00:00:00 +0000 UTC,0.8,0.8,0.7,0.7,10859400,0
2018-08-01 00:00:00 +0000 UTC,0.9,0.9,0.8,0.8,13226000,0
2018-07-31 00:00:00 +0000 UTC,1.0,1.0,0.9,0.9,22201000,0
2018-07-30 00:00:00 +0000 UTC,0.9,1.0,0.9,1.0,40336600,0
2018-07-29 00:00:00 +0000 UTC,1.0,1.0,0.9,0.9,8873310,0
2018-07-28 00:00:00 +0000 UTC,0.9,1.0,0.9,1.0,35593200,0
2018-07-27 00:00:00 +0000 UTC,0.8,0.9,0.8,0.9,13256100,0
2018-07-26 00:00:00 +0000 UTC,0.9,0.9,0.8,0.8,10579600,0
2018-07-25 00:00:00 +0000 UTC,0.9,0.9,0.8,0.9,24910500,0
2018-07-24 00:00:00 +0000 UTC,0.9,0.9,0.8,0.9,41655400,0
2018-07-23 00:00:00 +0000 UTC,0.9,1.0,0.9,0.9,32784000,0
2018-07-22 00:00:00 +0000 UTC,0.7,1.0,0.7,0.9,43528000,0
2018-07-21 00:00:00 +0000 UTC,0.7,0.8,0.7,0.7,25107500,0
2018-07-20 00:00:00 +0000 UTC,0.9,1.0,0.8,0.8,22863300,0
2018-07-19 00:00:00 +0000 UTC,0.9,1.0,0.9,0.9,37734300,0
2018-07-18 00:00:00 +0000 UTC,1.1,1.2,0.9,0.9,65882400,0
2018-07-17 00:00:00 +0000 UTC,1.2,1.2,1.0,1.1,85167200,0
2018-07-16 00:00:00 +0000 UTC,1.2,1.3,1.2,1.3,42443600,0
2018-07-15 00:00:00 +0000 UTC,1.0,1.2,1.0,1.2,107645000,0
2018-07-14 00:00:00 +0000 UTC,1.0,1.1,1.0,1.0,13415400,0
2018-07-13 00:00:00 +0000 UTC,1.0,1.1,1.0,1.0,34260400,0
2018-07-12 00:00:00 +0000 UTC,1.1,1.1,0.9,1.0,47345900,0
2018-07-11 00:00:00 +0000 UTC,1.1,1.2,1.0,1.1,95055696,0
2018-07-10 00:00:00 +0000 UTC,1.4,1.4,1.1,1.1,86944800,0
2018-07-09 00:00:00 +0000 UTC,1.3,1.5,1.3,1.4,137468992,0
2018-07-08 00:00:00 +0000 UTC,1.2,1.4,1.2,1.3,74752704,0
2018-07-07 00:00:00 +0000 UTC,1.1,1.2,1.1,1.2,61922300,0
2018-07-06 00:00:00 +0000 UTC,1.4,1.4,1.0,1.1,207364000,0
2018-07-05 00:00:00 +0000 UTC,1.3,1.4,1.2,1.4,245227008,0
