Date,Open,High,Low,Close,Volume,MarketCap
2018-08-30 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,110443,17725833
2018-08-29 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,300803,16930677
2018-08-28 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,226288,16237782
2018-08-27 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,245648,15398550
2018-08-26 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,148690,16435055
2018-08-25 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,111101,16137408
2018-08-24 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,44452,15345688
2018-08-23 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,62254,14518023
2018-08-22 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,101296,13459217
2018-08-21 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,81219,13448562
2018-08-20 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,39044,14870710
2018-08-19 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,10624,14657667
2018-08-18 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,69971,14315441
2018-08-17 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,20682,14306450
2018-08-16 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,15635,13913014
2018-08-15 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,20121,13099251
2018-08-14 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,31249,13730142
2018-08-13 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,7199,14313017
2018-08-12 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,14230,13760633
2018-08-11 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,60644,15405364
2018-08-10 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,67483,18241394
2018-08-09 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,54707,17173968
2018-08-08 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,30432,18911564
2018-08-07 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,42399,21113623
2018-08-06 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,37742,21549493
2018-08-05 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,63154,19779965
2018-08-04 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,43624,18989156
2018-08-03 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,35956,19691150
2018-08-02 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,21564,19962647
2018-08-01 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,26086,21370961
2018-07-31 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,123929,21408694
2018-07-30 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,118279,18924907
2018-07-29 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,96175,20438082
2018-07-28 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,183946,18552672
2018-07-27 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,167738,15658854
2018-07-26 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,129217,13912432
2018-07-25 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,27655,14379594
2018-07-24 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,128138,12930149
2018-07-23 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,69512,13925441
2018-07-22 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,45778,14342072
2018-07-21 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,49399,14120242
2018-07-20 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,71587,14794971
2018-07-19 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,60239,14810568
2018-07-18 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,120768,14882749
2018-07-17 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,18331,14245485
2018-07-16 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,77166,13584715
2018-07-15 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,12800,12929153
2018-07-14 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,33087,12865063
2018-07-13 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,41136,12926404
2018-07-12 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,42074,13813279
2018-07-11 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,49875,13405121
2018-07-10 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,73876,14680164
2018-07-09 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,40880,14325604
2018-07-08 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,47836,15317002
2018-07-07 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,18046,15578217
2018-07-06 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,46097,15899656
2018-07-05 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,80790,17056204
2018-07-04 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,57954,16004193
2018-07-03 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,228343,15982255
2018-07-02 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,8643,14217708
2018-07-01 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,53310,14910499
2018-06-30 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,361447,14348394
2018-06-29 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,147984,12302940
2018-06-28 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,28874,12560137
2018-06-27 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,34413,12737839
