Date,Open,High,Low,Close,Volume,MarketCap
2018-08-30 00:00:00 +0000 UTC,1.0,1.8,1.0,1.6,10057,743624
2018-08-29 00:00:00 +0000 UTC,0.9,1.0,0.9,1.0,366,684900
2018-08-28 00:00:00 +0000 UTC,0.9,0.9,0.8,0.9,97,653177
2018-08-27 00:00:00 +0000 UTC,0.6,0.9,0.6,0.9,261,437128
2018-08-26 00:00:00 +0000 UTC,0.6,0.7,0.5,0.6,139,408187
2018-08-25 00:00:00 +0000 UTC,0.4,1.3,0.4,0.6,7443,325738
2018-08-24 00:00:00 +0000 UTC,0.5,0.5,0.4,0.4,55,387955
2018-08-23 00:00:00 +0000 UTC,0.6,0.6,0.4,0.5,162,466464
2018-08-22 00:00:00 +0000 UTC,0.4,0.6,0.4,0.6,1203,294922
2018-08-21 00:00:00 +0000 UTC,0.5,0.7,0.4,0.4,3881,338905
2018-08-20 00:00:00 +0000 UTC,0.5,0.5,0.5,0.5,12,346513
2018-08-19 00:00:00 +0000 UTC,0.7,0.7,0.5,0.5,114,505208
2018-08-18 00:00:00 +0000 UTC,0.8,0.8,0.8,0.8,0,585259
2018-08-17 00:00:00 +0000 UTC,0.7,0.8,0.6,0.8,1465,526141
2018-08-16 00:00:00 +0000 UTC,0.5,0.7,0.5,0.7,1863,367580
2018-08-15 00:00:00 +0000 UTC,0.4,0.9,0.4,0.5,1703,318919
2018-08-14 00:00:00 +0000 UTC,0.9,0.9,0.4,0.4,456,633275
2018-08-13 00:00:00 +0000 UTC,0.7,0.9,0.4,0.9,1554,503632
2018-08-12 00:00:00 +0000 UTC,0.5,0.9,0.4,0.7,5376,339496
2018-08-11 00:00:00 +0000 UTC,0.7,0.9,0.5,0.5,1516,502715
2018-08-10 00:00:00 +0000 UTC,0.7,1.0,0.5,0.7,1636,542279
2018-08-09 00:00:00 +0000 UTC,1.1,1.1,0.5,0.7,943,832972
2018-08-08 00:00:00 +0000 UTC,1.4,1.4,0.6,1.1,3733,987566
2018-08-07 00:00:00 +0000 UTC,1.4,1.4,1.2,1.4,1280,1013478
2018-08-06 00:00:00 +0000 UTC,1.4,1.4,1.2,1.4,50,1052872
2018-08-05 00:00:00 +0000 UTC,1.6,1.6,1.4,1.4,148,1174371
2018-08-04 00:00:00 +0000 UTC,1.5,1.7,1.2,1.6,8,1080701
2018-08-03 00:00:00 +0000 UTC,1.4,1.6,1.3,1.5,3242,1033566
2018-08-02 00:00:00 +0000 UTC,1.7,1.7,1.4,1.4,6,1242415
2018-08-01 00:00:00 +0000 UTC,1.6,1.7,1.4,1.7,3344,1136013
2018-07-31 00:00:00 +0000 UTC,1.7,1.7,1.5,1.6,1801,1220275
2018-07-30 00:00:00 +0000 UTC,1.5,1.8,1.5,1.7,4101,1119687
2018-07-29 00:00:00 +0000 UTC,1.7,1.7,1.5,1.5,2226,1253714
2018-07-28 00:00:00 +0000 UTC,1.6,1.7,1.6,1.7,724,1170715
2018-07-27 00:00:00 +0000 UTC,1.9,1.9,1.5,1.6,3566,1361908
2018-07-26 00:00:00 +0000 UTC,1.6,1.9,1.6,1.9,308,1171931
2018-07-25 00:00:00 +0000 UTC,2.1,2.1,1.6,1.6,2107,1543155
2018-07-24 00:00:00 +0000 UTC,1.6,2.1,1.6,2.1,1977,1169016
2018-07-23 00:00:00 +0000 UTC,2.0,2.0,1.6,1.6,158,1464141
2018-07-22 00:00:00 +0000 UTC,2.0,2.0,2.0,2.0,0,1467195
2018-07-21 00:00:00 +0000 UTC,1.9,2.0,1.7,2.0,602,1390905
2018-07-20 00:00:00 +0000 UTC,2.0,2.2,1.7,1.9,1412,1449617
2018-07-19 00:00:00 +0000 UTC,1.6,2.2,1.6,2.0,8648,1173132
2018-07-18 00:00:00 +0000 UTC,1.9,2.0,1.6,1.6,4669,1430786
2018-07-17 00:00:00 +0000 UTC,1.9,2.0,1.6,1.9,4842,1385500
2018-07-16 00:00:00 +0000 UTC,1.6,2.0,1.6,1.9,1649,1138671
2018-07-15 00:00:00 +0000 UTC,2.5,2.5,1.5,1.6,4559,1863784
2018-07-14 00:00:00 +0000 UTC,1.4,2.9,1.4,2.5,22481,1065179
2018-07-13 00:00:00 +0000 UTC,1.2,1.7,1.2,1.4,424,909238
2018-07-12 00:00:00 +0000 UTC,1.4,1.4,1.2,1.2,667,1026697
2018-07-11 00:00:00 +0000 UTC,1.7,1.7,1.4,1.4,1853,1223128
2018-07-10 00:00:00 +0000 UTC,1.8,1.8,1.7,1.7,1709,1279993
2018-07-09 00:00:00 +0000 UTC,2.3,2.3,1.6,1.8,799,1705015
2018-07-08 00:00:00 +0000 UTC,2.3,2.5,1.9,2.3,1475,1683079
2018-07-07 00:00:00 +0000 UTC,1.9,2.4,1.7,2.3,580231,1370925
2018-07-06 00:00:00 +0000 UTC,1.9,1.9,1.6,1.9,2501,1413669
2018-07-05 00:00:00 +0000 UTC,1.6,1.9,1.6,1.9,358,1165815
2018-07-04 00:00:00 +0000 UTC,1.7,1.9,1.6,1.6,1903,1217722
2018-07-03 00:00:00 +0000 UTC,2.0,2.0,1.7,1.7,7,1446826
2018-07-02 00:00:00 +0000 UTC,1.8,2.0,1.7,2.0,1079,1339035
2018-07-01 00:00:00 +0000 UTC,2.0,2.0,1.8,1.8,765,1461804
2018-06-30 00:00:00 +0000 UTC,1.8,2.1,1.8,2.0,157,1282096
2018-06-29 00:00:00 +0000 UTC,1.7,2.0,1.6,1.8,334,1220989
