Date,Open,High,Low,Close,Volume,MarketCap
2018-08-30 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,426809,35485087
2018-08-29 00:00:00 +0000 UTC,0.0,0.1,0.0,0.0,428143,36213370
2018-08-28 00:00:00 +0000 UTC,0.1,0.1,0.0,0.1,360240,36522816
2018-08-27 00:00:00 +0000 UTC,0.0,0.1,0.0,0.1,615814,32067414
2018-08-26 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,340154,32131825
2018-08-25 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,469571,30608311
2018-08-24 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,393390,29172055
2018-08-23 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,218615,27821321
2018-08-22 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,239763,28462204
2018-08-21 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,540271,28524946
2018-08-20 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,605434,28880085
2018-08-19 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,358380,27034210
2018-08-18 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,668846,32028055
2018-08-17 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,680864,24622868
2018-08-16 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,231121,23952952
2018-08-15 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,361365,23045477
2018-08-14 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,456075,24265119
2018-08-13 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,528559,28959986
2018-08-12 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,699470,27630881
2018-08-11 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,944262,30192344
2018-08-10 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,694086,31828866
2018-08-09 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1123370,29673857
2018-08-08 00:00:00 +0000 UTC,0.1,0.1,0.0,0.0,1251560,35508706
2018-08-07 00:00:00 +0000 UTC,0.0,0.1,0.0,0.1,4360950,32477449
2018-08-06 00:00:00 +0000 UTC,0.0,0.1,0.0,0.0,321000,34694640
2018-08-05 00:00:00 +0000 UTC,0.0,0.1,0.0,0.0,342108,31657787
2018-08-04 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,235090,33311088
2018-08-03 00:00:00 +0000 UTC,0.1,0.1,0.0,0.0,496196,35007660
2018-08-02 00:00:00 +0000 UTC,0.1,0.1,0.0,0.0,396510,38154734
2018-08-01 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,482383,39957875
2018-07-31 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,341408,44493794
2018-07-30 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,437428,47619257
2018-07-29 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,436331,46825416
2018-07-28 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,232139,47354948
2018-07-27 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,328952,45979656
2018-07-26 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,765852,48028148
2018-07-25 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,591485,46609388
2018-07-24 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,954484,46560824
2018-07-23 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,995275,47757204
2018-07-22 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,320684,50587256
2018-07-21 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,505758,47890968
2018-07-20 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,1129080,56203748
2018-07-19 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,3308000,59656684
2018-07-18 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,4486570,54117576
2018-07-17 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,654715,50806352
2018-07-16 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,459478,45965008
2018-07-15 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,230901,44900264
2018-07-14 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,209878,45534668
2018-07-13 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,340843,46050244
2018-07-12 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,500762,48136204
2018-07-11 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,392161,48253772
2018-07-10 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,510734,52406784
2018-07-09 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,491353,56438800
2018-07-08 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,616438,54596568
2018-07-07 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,600831,55977508
2018-07-06 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,431258,55766404
2018-07-05 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,660511,59383536
2018-07-04 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,959918,54794028
2018-07-03 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,853516,59569016
2018-07-02 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,1129290,56940108
2018-07-01 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,1136620,50138724
2018-06-30 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,803308,48515244
2018-06-29 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,450182,48204716
2018-06-28 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,455823,50671904
2018-06-27 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,325705,52186528
2018-06-26 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,246546,55084232
