Date,Open,High,Low,Close,Volume,MarketCap
2018-08-30 00:00:00 +0000 UTC,0.3,0.3,0.3,0.3,263925000,13661315450
2018-08-29 00:00:00 +0000 UTC,0.4,0.4,0.3,0.3,275908000,13899357388
2018-08-28 00:00:00 +0000 UTC,0.3,0.4,0.3,0.4,329550000,13372216711
2018-08-27 00:00:00 +0000 UTC,0.3,0.3,0.3,0.3,227284000,12791844745
2018-08-26 00:00:00 +0000 UTC,0.3,0.3,0.3,0.3,168718000,12970457793
2018-08-25 00:00:00 +0000 UTC,0.3,0.3,0.3,0.3,167363000,12950216379
2018-08-24 00:00:00 +0000 UTC,0.3,0.3,0.3,0.3,244571000,12939944898
2018-08-23 00:00:00 +0000 UTC,0.3,0.3,0.3,0.3,217578000,12630954713
2018-08-22 00:00:00 +0000 UTC,0.3,0.4,0.3,0.3,286845000,13167469147
2018-08-21 00:00:00 +0000 UTC,0.3,0.3,0.3,0.3,248735000,12529064599
2018-08-20 00:00:00 +0000 UTC,0.3,0.4,0.3,0.3,311144000,13561851038
2018-08-19 00:00:00 +0000 UTC,0.3,0.4,0.3,0.3,327300000,12889055633
2018-08-18 00:00:00 +0000 UTC,0.4,0.4,0.3,0.3,434332000,14293247833
2018-08-17 00:00:00 +0000 UTC,0.3,0.4,0.3,0.4,497206000,11528558090
2018-08-16 00:00:00 +0000 UTC,0.3,0.3,0.3,0.3,238219000,11104340439
2018-08-15 00:00:00 +0000 UTC,0.3,0.3,0.3,0.3,332432000,10898166615
2018-08-14 00:00:00 +0000 UTC,0.3,0.3,0.3,0.3,276768000,10974569489
2018-08-13 00:00:00 +0000 UTC,0.3,0.3,0.3,0.3,235117000,11694547623
2018-08-12 00:00:00 +0000 UTC,0.3,0.3,0.3,0.3,178827000,11813701285
2018-08-11 00:00:00 +0000 UTC,0.3,0.3,0.3,0.3,284423000,12620041078
2018-08-10 00:00:00 +0000 UTC,0.3,0.3,0.3,0.3,249264000,13604325471
2018-08-09 00:00:00 +0000 UTC,0.3,0.4,0.3,0.3,325775000,13117166262
2018-08-08 00:00:00 +0000 UTC,0.4,0.4,0.3,0.3,360857000,14968341740
2018-08-07 00:00:00 +0000 UTC,0.4,0.4,0.4,0.4,244448000,16261364052
2018-08-06 00:00:00 +0000 UTC,0.4,0.4,0.4,0.4,242075000,17051681452
2018-08-05 00:00:00 +0000 UTC,0.4,0.4,0.4,0.4,186848000,16843146733
2018-08-04 00:00:00 +0000 UTC,0.4,0.4,0.4,0.4,185678000,17332793629
2018-08-03 00:00:00 +0000 UTC,0.4,0.4,0.4,0.4,278870000,16921348859
2018-08-02 00:00:00 +0000 UTC,0.4,0.4,0.4,0.4,204898000,17574734907
2018-08-01 00:00:00 +0000 UTC,0.4,0.5,0.4,0.4,323200000,17124399552
2018-07-31 00:00:00 +0000 UTC,0.4,0.4,0.4,0.4,228767000,17530533747
2018-07-30 00:00:00 +0000 UTC,0.5,0.5,0.4,0.4,247714000,17828443993
2018-07-29 00:00:00 +0000 UTC,0.5,0.5,0.5,0.5,191966000,17951776768
2018-07-28 00:00:00 +0000 UTC,0.5,0.5,0.4,0.5,157346000,17872869376
2018-07-27 00:00:00 +0000 UTC,0.4,0.5,0.4,0.5,203720992,17677234176
2018-07-26 00:00:00 +0000 UTC,0.5,0.5,0.4,0.4,199587008,18063472640
2018-07-25 00:00:00 +0000 UTC,0.5,0.5,0.5,0.5,255872000,17921738752
2018-07-24 00:00:00 +0000 UTC,0.4,0.5,0.4,0.5,319956000,17517457408
2018-07-23 00:00:00 +0000 UTC,0.4,0.5,0.4,0.4,194542000,17657499648
2018-07-22 00:00:00 +0000 UTC,0.5,0.5,0.4,0.4,158906000,17888714752
2018-07-21 00:00:00 +0000 UTC,0.4,0.5,0.4,0.5,180339008,17543405568
2018-07-20 00:00:00 +0000 UTC,0.5,0.5,0.4,0.4,295403008,18733334528
2018-07-19 00:00:00 +0000 UTC,0.5,0.5,0.5,0.5,293942016,19143464960
2018-07-18 00:00:00 +0000 UTC,0.5,0.5,0.5,0.5,367988992,19832168448
2018-07-17 00:00:00 +0000 UTC,0.5,0.5,0.5,0.5,347700000,18897053696
2018-07-16 00:00:00 +0000 UTC,0.4,0.5,0.4,0.5,269283008,17527265280
2018-07-15 00:00:00 +0000 UTC,0.4,0.4,0.4,0.4,152903008,17239943168
2018-07-14 00:00:00 +0000 UTC,0.4,0.4,0.4,0.4,134840992,17218975744
2018-07-13 00:00:00 +0000 UTC,0.4,0.4,0.4,0.4,179403008,17138606080
2018-07-12 00:00:00 +0000 UTC,0.4,0.4,0.4,0.4,182139008,17663467520
2018-07-11 00:00:00 +0000 UTC,0.4,0.5,0.4,0.5,183887008,17476773888
2018-07-10 00:00:00 +0000 UTC,0.5,0.5,0.4,0.4,230418000,18604705792
2018-07-09 00:00:00 +0000 UTC,0.5,0.5,0.5,0.5,206344992,18739611648
2018-07-08 00:00:00 +0000 UTC,0.5,0.5,0.5,0.5,226644000,19329646592
2018-07-07 00:00:00 +0000 UTC,0.5,0.5,0.5,0.5,214979008,18791673856
2018-07-06 00:00:00 +0000 UTC,0.5,0.5,0.5,0.5,245003008,18868705280
2018-07-05 00:00:00 +0000 UTC,0.5,0.5,0.5,0.5,279999008,19254996992
2018-07-04 00:00:00 +0000 UTC,0.5,0.5,0.5,0.5,313828992,19065044992
2018-07-03 00:00:00 +0000 UTC,0.5,0.5,0.5,0.5,410225984,19091548160
2018-07-02 00:00:00 +0000 UTC,0.5,0.5,0.5,0.5,335919008,18123620352
2018-07-01 00:00:00 +0000 UTC,0.5,0.5,0.5,0.5,267224992,18293938176
2018-06-30 00:00:00 +0000 UTC,0.5,0.5,0.5,0.5,345528992,17829388288
2018-06-29 00:00:00 +0000 UTC,0.4,0.5,0.4,0.5,309777984,17603317760
2018-06-28 00:00:00 +0000 UTC,0.5,0.5,0.4,0.4,220566000,18466123776
2018-06-27 00:00:00 +0000 UTC,0.5,0.5,0.5,0.5,215618000,17885888512
2018-06-26 00:00:00 +0000 UTC,0.5,0.5,0.5,0.5,179426000,18939273216
2018-06-25 00:00:00 +0000 UTC,0.5,0.5,0.5,0.5,231728992,18724169728
2018-06-24 00:00:00 +0000 UTC,0.5,0.5,0.5,0.5,369520000,19299774464
2018-06-23 00:00:00 +0000 UTC,0.5,0.5,0.5,0.5,204927008,19124588544
2018-06-22 00:00:00 +0000 UTC,0.5,0.5,0.5,0.5,339428992,20999798784
