Date,Open,High,Low,Close,Volume,MarketCap
2018-08-30 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1,27474
2018-08-29 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,5,27656
2018-08-28 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,39,26995
2018-08-26 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,32,26373
2018-08-25 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,33,26124
2018-08-24 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,2,34015
2018-08-23 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,3,33463
2018-08-21 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,4,40818
2018-08-20 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,4,41944
2018-08-17 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1,41074
2018-08-16 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1,40786
2018-08-15 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,3,24236
2018-08-14 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,40,24430
2018-08-13 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,41,24661
2018-08-12 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,118,24457
2018-08-07 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,14,36081
2018-08-06 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,270,45223
2018-08-01 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,3,60425
2018-07-31 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,3,53149
2018-07-30 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,203,53426
2018-07-29 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,550,53423
2018-07-28 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,35,53199
2018-07-26 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1,53114
2018-07-25 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1,53799
2018-07-24 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,8,50159
2018-07-23 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,2,49449
2018-07-22 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,6,57743
2018-07-21 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,6,57020
2018-07-20 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,141,48570
2018-07-19 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,143,47732
2018-07-18 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1,57133
2018-07-17 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1,43764
2018-07-16 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,10,41363
2018-07-15 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,2,48871
2018-07-14 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,8,48648
2018-07-13 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,317,40577
2018-07-12 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,164,41534
2018-07-11 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,196,41074
2018-07-10 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,26,43307
2018-07-09 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,11,43597
2018-07-08 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,51,43931
2018-07-07 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,12,42896
2018-07-06 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,2,33984
2018-07-05 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,433,42817
2018-07-04 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,3,42252
2018-07-03 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,141,51292
2018-07-02 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,37,49503
2018-07-01 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,181,33214
2018-06-30 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,5,32265
2018-06-29 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1,38145
2018-06-28 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,10,39870
2018-06-27 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,64,39522
2018-06-26 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,100,40613
2018-06-25 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,25,39979
2018-06-24 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,194,32067
2018-06-23 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,28,31470
2018-06-22 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,43,43645
2018-06-21 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,6,35108
