Date,Open,High,Low,Close,Volume,MarketCap
2018-08-30 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,55,943499
2018-08-29 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,14,956513
2018-08-28 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,14,763700
2018-08-27 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,23,690106
2018-08-26 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,45,708162
2018-08-25 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,32,704955
2018-08-24 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,6,754624
2018-08-23 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,9,734594
2018-08-22 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,22,748155
2018-08-21 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,4,724449
2018-08-20 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,87,797623
2018-08-19 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,72,789873
2018-08-18 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,15,817135
2018-08-17 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,37,777165
2018-08-16 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,5,799569
2018-08-15 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,28,790172
2018-08-14 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,88,843368
2018-08-13 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,7,862963
2018-08-11 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,100,861584
2018-08-10 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,104,880404
2018-08-09 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,188,994786
2018-08-08 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,65,992077
2018-08-07 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,1,935922
2018-08-06 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,1,951130
2018-08-05 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,18,944295
2018-08-04 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,37,999316
2018-08-03 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,12,1015336
2018-08-02 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,86,1089255
2018-08-01 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,184,1246103
2018-07-31 00:00:00 +0000 UTC,0.2,0.2,0.1,0.1,26,1315282
2018-07-30 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,52,1322121
2018-07-29 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,418,1335148
2018-07-28 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,118,1489670
2018-07-27 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,53,1449238
2018-07-26 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,215,1707369
2018-07-25 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,69,1650332
2018-07-24 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,210,1520559
2018-07-23 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,108,1602235
2018-07-22 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,94,1445083
2018-07-21 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,24,1432876
2018-07-20 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,87,1459870
2018-07-19 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,53,1544084
2018-07-18 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,150,1523709
2018-07-17 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,116,1354920
2018-07-16 00:00:00 +0000 UTC,0.1,0.2,0.1,0.2,58,1175550
2018-07-15 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,69,1181062
2018-07-14 00:00:00 +0000 UTC,0.2,0.2,0.1,0.1,281,1399339
