Date,Open,High,Low,Close,Volume,MarketCap
2018-08-30 00:00:00 +0000 UTC,18.8,18.8,16.1,17.7,39947,19013293
2018-08-29 00:00:00 +0000 UTC,17.2,21.0,15.8,18.8,235659,17420323
2018-08-28 00:00:00 +0000 UTC,15.9,17.7,15.1,17.2,32795,16104327
2018-08-27 00:00:00 +0000 UTC,15.9,16.2,15.0,16.0,45582,16075783
2018-08-26 00:00:00 +0000 UTC,16.3,17.1,15.4,15.9,15053,16522272
2018-08-25 00:00:00 +0000 UTC,16.3,16.6,16.1,16.3,2480,16441783
2018-08-24 00:00:00 +0000 UTC,16.0,16.4,15.2,16.3,2989,16212457
2018-08-23 00:00:00 +0000 UTC,14.7,17.0,14.5,16.0,62361,14836600
2018-08-22 00:00:00 +0000 UTC,15.6,17.5,14.6,14.7,52640,15803481
2018-08-21 00:00:00 +0000 UTC,15.3,15.8,15.2,15.6,11167,15496929
2018-08-20 00:00:00 +0000 UTC,16.3,16.6,15.3,15.3,6902,16512218
2018-08-19 00:00:00 +0000 UTC,16.7,16.7,15.7,16.4,15361,16856623
2018-08-18 00:00:00 +0000 UTC,17.1,18.3,16.5,16.7,44505,17320025
2018-08-17 00:00:00 +0000 UTC,15.8,17.1,15.3,17.1,39344,15969392
2018-08-16 00:00:00 +0000 UTC,15.6,16.9,15.4,15.8,48213,15768682
2018-08-15 00:00:00 +0000 UTC,14.6,16.4,14.6,15.6,6502,14773925
2018-08-14 00:00:00 +0000 UTC,16.9,16.9,14.3,14.6,44716,17057435
2018-08-13 00:00:00 +0000 UTC,18.9,18.9,16.7,16.9,16520,19082594
2018-08-12 00:00:00 +0000 UTC,16.2,20.1,16.1,18.9,89126,16416047
2018-08-11 00:00:00 +0000 UTC,18.9,18.9,15.8,16.3,40919,19133919
2018-08-10 00:00:00 +0000 UTC,19.1,19.2,17.6,18.9,154701,19325075
2018-08-09 00:00:00 +0000 UTC,18.6,19.2,17.8,19.1,38594,18838438
2018-08-08 00:00:00 +0000 UTC,20.5,21.2,18.1,18.6,135559,20707904
2018-08-07 00:00:00 +0000 UTC,21.2,22.2,19.8,20.5,36337,21447366
2018-08-06 00:00:00 +0000 UTC,21.2,21.9,20.8,21.2,24594,21408012
2018-08-05 00:00:00 +0000 UTC,21.2,22.3,20.7,21.1,35110,21478361
2018-08-04 00:00:00 +0000 UTC,22.9,23.1,20.7,20.9,35334,23189378
2018-08-03 00:00:00 +0000 UTC,23.5,24.2,21.7,22.9,101755,23792816
2018-08-02 00:00:00 +0000 UTC,24.4,25.4,23.4,23.5,89980,24622354
2018-08-01 00:00:00 +0000 UTC,25.8,25.8,23.5,24.4,82049,26121849
2018-07-31 00:00:00 +0000 UTC,26.8,26.8,24.2,25.2,62841,27038878
2018-07-30 00:00:00 +0000 UTC,27.1,27.1,25.2,26.8,129366,27413127
2018-07-29 00:00:00 +0000 UTC,27.0,28.1,26.3,27.1,128376,27260318
2018-07-28 00:00:00 +0000 UTC,26.1,28.6,25.5,26.8,307862,26355994
2018-07-27 00:00:00 +0000 UTC,25.7,26.5,24.8,26.0,69258,25940400
2018-07-26 00:00:00 +0000 UTC,26.1,27.2,25.3,25.7,79936,26430336
2018-07-25 00:00:00 +0000 UTC,27.8,28.6,25.2,26.2,159628,28058310
2018-07-24 00:00:00 +0000 UTC,24.6,28.3,23.9,28.3,412099,24917610
2018-07-23 00:00:00 +0000 UTC,25.2,27.8,24.4,24.4,140493,25446432
2018-07-22 00:00:00 +0000 UTC,25.9,26.9,25.1,25.2,54015,26187100
2018-07-21 00:00:00 +0000 UTC,25.5,26.9,24.2,25.9,67426,25782822
2018-07-20 00:00:00 +0000 UTC,26.4,27.2,24.8,25.5,98142,26736494
2018-07-19 00:00:00 +0000 UTC,26.4,29.1,26.2,26.5,659086,26683238
2018-07-18 00:00:00 +0000 UTC,26.6,28.5,25.9,26.4,232151,26845474
2018-07-17 00:00:00 +0000 UTC,24.3,27.5,23.5,26.6,554201,24601094
2018-07-16 00:00:00 +0000 UTC,22.7,24.4,22.1,24.4,87833,22979052
2018-07-15 00:00:00 +0000 UTC,22.0,23.2,22.0,22.7,50910,22206632
2018-07-14 00:00:00 +0000 UTC,21.6,23.7,21.2,22.0,96535,21880268
2018-07-13 00:00:00 +0000 UTC,22.2,23.0,21.1,21.7,83202,22470212
2018-07-12 00:00:00 +0000 UTC,22.7,22.8,20.9,22.2,69063,22976458
2018-07-11 00:00:00 +0000 UTC,23.0,23.9,21.7,22.7,97697,23286032
2018-07-10 00:00:00 +0000 UTC,24.7,25.2,22.9,23.2,77983,24982376
2018-07-09 00:00:00 +0000 UTC,25.0,25.7,24.6,24.8,89144,25285180
2018-07-08 00:00:00 +0000 UTC,25.6,25.9,24.9,25.0,48777,25821352
2018-07-07 00:00:00 +0000 UTC,25.9,26.2,24.3,25.9,172417,26142044
2018-07-06 00:00:00 +0000 UTC,28.4,28.4,24.9,25.9,606067,28706574
2018-07-05 00:00:00 +0000 UTC,25.1,32.3,25.1,28.6,2496040,25388100
2018-07-04 00:00:00 +0000 UTC,25.3,25.8,23.8,25.1,99165,25569562
2018-07-03 00:00:00 +0000 UTC,24.8,25.9,23.9,25.3,174533,25028560
2018-07-02 00:00:00 +0000 UTC,24.0,25.5,23.2,25.5,70170,24225188
2018-07-01 00:00:00 +0000 UTC,26.2,26.2,22.9,23.9,100069,26435222
2018-06-30 00:00:00 +0000 UTC,23.1,25.0,22.9,24.9,85149,23305018
2018-06-29 00:00:00 +0000 UTC,21.7,23.6,20.9,22.7,113632,21958902
2018-06-28 00:00:00 +0000 UTC,23.4,23.5,21.1,21.2,43767,23699270
2018-06-27 00:00:00 +0000 UTC,22.9,23.9,22.0,23.4,83715,23167278
2018-06-26 00:00:00 +0000 UTC,23.6,25.4,22.9,22.9,131418,23820966
2018-06-25 00:00:00 +0000 UTC,24.3,25.7,22.6,23.6,156553,24530824
2018-06-24 00:00:00 +0000 UTC,24.7,26.3,21.2,24.3,373611,24956796
2018-06-23 00:00:00 +0000 UTC,24.2,26.1,23.7,24.7,248370,24465542
2018-06-22 00:00:00 +0000 UTC,27.4,30.0,24.1,24.4,882670,27681030
