Date,Open,High,Low,Close,Volume,MarketCap
2018-08-30 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,2271,814023
2018-08-29 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1831,854201
2018-08-28 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1768,1034807
2018-08-27 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1802,1084619
2018-08-26 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,2562,707113
2018-08-25 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,17438,918561
2018-08-24 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,5160,947050
2018-08-23 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,4296,1011302
2018-08-22 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,2490,1175385
2018-08-21 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1142,962764
2018-08-20 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,303,831054
2018-08-19 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,2687,815142
2018-08-18 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,2608,1198866
2018-08-17 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,8059,1125752
2018-08-16 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,10110,1596379
2018-08-15 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,12292,1597864
2018-08-14 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1776,1438182
2018-08-13 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,2510,1608792
2018-08-12 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,12909,1591609
2018-08-11 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,12804,1723205
2018-08-10 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,12019,1829926
2018-08-09 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,13771,1758047
2018-08-08 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,14087,2053566
2018-08-07 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,14193,2118417
2018-08-06 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,15835,2331965
2018-08-05 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,19287,2320068
2018-08-04 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,22402,2077360
2018-08-03 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,23508,2112143
2018-08-02 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,17419,2130358
2018-08-01 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,25060,1972280
2018-07-31 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,18327,2496298
2018-07-30 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,23904,2509374
2018-07-29 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,20976,2300517
2018-07-28 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,14819,2494802
2018-07-27 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,15078,2268379
2018-07-26 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,237,2500152
2018-07-25 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1838,2317374
2018-07-24 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,7864,2557558
2018-07-23 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,806,2450269
2018-07-22 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,353,2260416
2018-07-21 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,21371,2052569
2018-07-20 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,21337,2851520
2018-07-19 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,18749,3185957
2018-07-18 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,8116,2981570
2018-07-17 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,29027,2911839
2018-07-16 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,27177,2752252
2018-07-15 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,26607,2709741
2018-07-14 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,16145,2538592
2018-07-13 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,909,2382066
2018-07-12 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,18140,2518337
2018-07-11 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,2324,3215137
2018-07-10 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,8143,3219615
2018-07-09 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,32143,3412299
2018-07-08 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,18462,3267061
2018-07-07 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,29297,3861268
2018-07-06 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,33394,3491316
2018-07-05 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,42868,3184253
2018-07-04 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,35648,4630734
