Date,Open,High,Low,Close,Volume,MarketCap
2018-08-30 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,2,14720
2018-08-28 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,2,19278
2018-08-27 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,6,9439
2018-08-26 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,9,9467
2018-08-25 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,9,9426
2018-08-24 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,31,9158
2018-08-23 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,31,9070
2018-08-21 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,6,13169
2018-08-20 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,6,13609
2018-08-17 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,2,22117
2018-08-16 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,5,26354
2018-08-15 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,2,13013
2018-08-14 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,89,12709
2018-08-13 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,8,13279
2018-08-12 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,8,21894
2018-08-11 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,3,21440
2018-08-09 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1,26387
2018-08-08 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1,27785
2018-08-05 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,6,24549
2018-08-04 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,6,36370
2018-08-03 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,30,26395
2018-08-02 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,32,31971
2018-08-01 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,249,31907
2018-07-31 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,5,40066
2018-07-30 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,6,40275
2018-07-29 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,11,40205
2018-07-27 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,149,33388
2018-07-26 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,144,33445
2018-07-25 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,3,34762
2018-07-24 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,240,32410
2018-07-23 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,30,36238
2018-07-22 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,5,25910
2018-07-21 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,98,30971
