Date,Open,High,Low,Close,Volume,MarketCap
2018-08-30 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,5,87988
2018-08-29 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,19,112363
2018-08-28 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,10,107389
2018-08-27 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,11,93466
2018-08-26 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,29,94027
2018-08-25 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,9,109829
2018-08-24 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,45,89239
2018-08-22 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,2,90011
2018-08-21 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,6,88418
2018-08-20 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,22,88388
2018-08-19 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,243,87758
2018-08-18 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,23,92878
2018-08-17 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,9,87570
2018-08-16 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,172,86860
2018-08-15 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,85,90184
2018-08-14 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,61,103692
2018-08-13 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,154,97970
2018-08-12 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,292,90928
2018-08-11 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1,102675
2018-08-10 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,4,105874
2018-08-09 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,248,91212
2018-08-08 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,25,112226
2018-08-07 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,266,120465
2018-08-06 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,246,120824
2018-08-05 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,32,121059
2018-08-04 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,36,102269
2018-08-03 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,48,133632
2018-08-02 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,74,122435
2018-08-01 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,88,136817
2018-07-31 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,10,117718
2018-07-30 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1,128130
2018-07-29 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,16,148010
2018-07-28 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,26,128599
2018-07-27 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1189,135764
2018-07-26 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,362,128912
2018-07-25 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,167,146279
2018-07-24 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,396,167957
2018-07-23 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,14,153913
2018-07-22 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,71,140691
2018-07-21 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,83,124485
2018-07-20 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,46,174666
2018-07-19 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,68,171625
2018-07-18 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,18,123619
2018-07-17 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,137,171500
2018-07-16 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,34,160505
2018-07-15 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,48,149837
2018-07-14 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,189,150561
2018-07-13 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,6,105809
2018-07-12 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,33,154557
2018-07-11 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,52,95125
2018-07-10 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,6,210075
2018-07-09 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,68,188541
2018-07-08 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,124,197159
2018-07-07 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,65,193697
2018-07-06 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,40,221509
2018-07-05 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,242,225169
2018-07-04 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,481,176841
2018-07-03 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,16,177282
2018-07-02 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,31,193340
2018-07-01 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,45,174865
2018-06-30 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,39,149957
2018-06-29 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,11,139905
2018-06-28 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,239,161673
2018-06-27 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,74,153618
2018-06-26 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,92,167946
2018-06-25 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,11,147378
2018-06-24 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,169,161305
2018-06-23 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,8,153322
2018-06-22 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,54,181153
2018-06-21 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,285,195537
2018-06-20 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,89,177955
2018-06-19 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,76,166816
2018-06-18 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,862,174167
2018-06-17 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,7,186590
2018-06-16 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,110,188088
2018-06-15 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,34,196207
2018-06-14 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,37,195420
2018-06-13 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,360,171257
2018-06-12 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,21,185444
2018-06-11 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,127,196451
2018-06-10 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,46,196660
2018-06-09 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,44,175905
2018-06-08 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,75,197024
2018-06-07 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,119,197577
2018-06-06 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,227,203489
2018-06-05 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,83,195749
2018-06-04 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,34,200953
2018-06-03 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,15,216451
2018-06-02 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,2,210574
2018-06-01 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,198,142785
2018-05-31 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,116,151876
2018-05-30 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,47,151789
2018-05-29 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,13,163129
2018-05-28 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,204,184324
2018-05-27 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,329,155958
2018-05-26 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,736,172213
2018-05-25 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,794,163904
2018-05-24 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,83,213516
2018-05-23 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,157,130131
2018-05-22 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,10,233859
2018-05-21 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,97,251870
2018-05-20 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,379,207114
2018-05-19 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,73,227457
2018-05-18 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,19,220364
2018-05-17 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,95,132809
2018-05-16 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,33,248352
2018-05-15 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,142,232063
2018-05-14 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,13,261996
2018-05-13 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,77,241618
2018-05-12 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,2945,290510
2018-05-11 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,68,336733
2018-05-10 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,245,347326
2018-05-09 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,165,365325
2018-05-08 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1975,270528
2018-05-07 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1404,345970
2018-05-06 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,945,219950
2018-05-05 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,9,270402
2018-05-04 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,20,211361
2018-05-03 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,43,162682
2018-05-02 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,142,210101
2018-05-01 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,335,223379
2018-04-30 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,74,253413
2018-04-29 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,276,255690
2018-04-28 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,135,236227
2018-04-27 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,144,280398
2018-04-26 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,217,206053
2018-04-25 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1145,263494
2018-04-24 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,2403,285570
2018-04-23 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,122,214125
2018-04-22 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,66,154032
2018-04-21 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,84,207224
2018-04-20 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,126,166081
2018-04-19 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,33,204388
2018-04-18 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,124,211847
2018-04-17 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,134,193078
2018-04-16 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1121,194055
2018-04-15 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,128,191827
2018-04-14 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,65,158389
2018-04-13 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,21,150185
2018-04-12 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1,156230
2018-04-11 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,4,172401
2018-04-10 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,11,172760
