Date,Open,High,Low,Close,Volume,MarketCap
2018-08-30 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,52981700,4258879501
2018-08-29 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,59888100,4397543508
2018-08-28 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,66510100,4222116544
2018-08-27 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,50597200,4015877727
2018-08-26 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,41019000,4202536839
2018-08-25 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,37623300,4155312916
2018-08-24 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,46565700,4033760104
2018-08-23 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,50407300,4010685263
2018-08-22 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,57593700,4115478112
2018-08-21 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,57619800,4090109999
2018-08-20 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,56916000,4317870358
2018-08-19 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,58941500,4197832830
2018-08-18 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,73536300,4488784053
2018-08-17 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,85576200,4046343984
2018-08-16 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,66979600,4052530451
2018-08-15 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,98247500,4097597470
2018-08-14 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,95074200,4179120650
2018-08-13 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,100249000,4193532388
2018-08-12 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,69114300,4096380342
2018-08-11 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,87523800,4222515065
2018-08-10 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,110186000,4150076498
2018-08-09 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,75813300,3785301227
2018-08-08 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,68469800,4317409969
2018-08-07 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,64467600,4394096977
2018-08-06 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,52688700,4599032137
2018-08-05 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,50833600,4525606756
2018-08-04 00:00:00 +0000 UTC,0.3,0.3,0.2,0.2,62650500,4838248258
2018-08-03 00:00:00 +0000 UTC,0.3,0.3,0.2,0.3,78914000,4913366300
2018-08-02 00:00:00 +0000 UTC,0.3,0.3,0.3,0.3,64773900,5197495900
2018-08-01 00:00:00 +0000 UTC,0.3,0.3,0.3,0.3,78075400,5220519698
2018-07-31 00:00:00 +0000 UTC,0.3,0.3,0.3,0.3,90072600,5545993802
