Date,Open,High,Low,Close,Volume,MarketCap
2018-08-30 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,1121,1656033
2018-08-29 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,1307,1761366
2018-08-28 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,2569,1851658
2018-08-27 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,1222,1756158
2018-08-26 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,445,1762097
2018-08-25 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,663,1715618
2018-08-24 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,1433,1594696
2018-08-23 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,859,1283840
2018-08-22 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,3855,1609524
2018-08-21 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,3506,1391087
2018-08-20 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,2587,1571125
2018-08-19 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,3479,1665095
2018-08-18 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,6110,1691690
2018-08-17 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,2240,1667253
2018-08-16 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,4023,1568568
2018-08-15 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,4557,1458279
2018-08-14 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,1874,1501653
2018-08-13 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,1702,1565638
2018-08-12 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,3609,1600777
2018-08-11 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,3242,1594043
2018-08-10 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,4833,1542717
2018-08-09 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,6211,1660614
2018-08-08 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,3473,1725377
2018-08-07 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,2274,1755133
2018-08-06 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,6490,1900187
2018-08-05 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,4571,1878012
2018-08-04 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,4434,1999350
2018-08-03 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,6034,1976653
2018-08-02 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,5742,2050998
2018-08-01 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,6150,2079417
2018-07-31 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,3421,2179280
2018-07-30 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,5636,2217250
2018-07-29 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,5987,2222020
2018-07-28 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,9207,2124222
2018-07-27 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,5008,2089293
2018-07-26 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,3524,2160326
2018-07-25 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,6797,2151267
2018-07-24 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,4301,2087100
2018-07-23 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,4718,2005368
2018-07-22 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,6973,2005790
2018-07-21 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,7898,1913427
2018-07-20 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,3875,2320237
2018-07-19 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,5470,2377644
2018-07-18 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,3543,2402988
2018-07-17 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,5351,2214952
2018-07-16 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,4280,2164397
