Date,Open,High,Low,Close,Volume,MarketCap
2018-08-30 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,41,300319
2018-08-29 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,59,183416
2018-08-28 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,21,205113
2018-08-27 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,12,194655
2018-08-26 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,44,191745
2018-08-25 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1,196750
2018-08-24 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,14,196024
2018-08-23 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,11,185571
2018-08-22 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,119,219031
2018-08-21 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,20,234424
2018-08-20 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,39,252758
2018-08-19 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,121,277420
2018-08-18 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,18,268322
2018-08-17 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,40,268100
2018-08-16 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,155,369421
2018-08-15 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,37,369717
2018-08-14 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,29,468894
2018-08-13 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,9,402982
2018-08-12 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,195,507026
2018-08-11 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,176,573568
2018-08-10 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,43,772338
2018-08-09 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,371,1184892
2018-08-08 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,4441,659332
2018-08-07 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1361,787249
2018-08-06 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,819,762163
2018-08-05 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1329,566964
2018-08-04 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,948,710949
2018-08-03 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,2986,958752
2018-08-02 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,292,938348
2018-08-01 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1511,1111585
2018-07-31 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1618,1278918
2018-07-30 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,4304,933035
2018-07-29 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,301,932416
2018-07-28 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,692,1020501
2018-07-27 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,719,851836
2018-07-26 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1355,791111
2018-07-25 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,392,818399
2018-07-24 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1981,837201
2018-07-23 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,224,842300
2018-07-22 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1586,692457
2018-07-21 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,57,717495
2018-07-20 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,95,752099
2018-07-19 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,190,712324
2018-07-18 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,168,692619
2018-07-17 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1698,528307
2018-07-16 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,63,569868
2018-07-15 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,108,553960
2018-07-14 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,64,592630
