Date,Open,High,Low,Close,Volume,MarketCap
2018-08-30 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,229,1091966
2018-08-29 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,123,970217
2018-08-28 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,2,1127641
2018-08-27 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,238,1034839
2018-08-26 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,35,850399
2018-08-24 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,47,956017
2018-08-23 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,155,985132
2018-08-22 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,845,1053857
2018-08-21 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,826,1002871
2018-08-20 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,188,1051035
2018-08-19 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,67,1010968
2018-08-18 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,423,1117745
2018-08-17 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,1954,977125
2018-08-16 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,252,1020071
2018-08-15 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,268,1028105
2018-08-14 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,123,944270
2018-08-13 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,886,950180
2018-08-12 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,27,1036691
2018-08-11 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,6331,1049958
2018-08-10 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,4908,1084527
2018-08-09 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,6529,1165307
2018-08-08 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,158,1063506
2018-08-07 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,9258,1165765
2018-08-06 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,4964,1158733
2018-08-05 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,577,1120217
2018-08-04 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,197,1192794
2018-08-03 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,17628,1134052
2018-08-02 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,4920,1141533
2018-08-01 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,2003,1128183
2018-07-31 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,10907,1472346
2018-07-30 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,484,1435568
2018-07-29 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,651,1057511
2018-07-28 00:00:00 +0000 UTC,0.2,0.2,0.1,0.1,1110,1747875
2018-07-27 00:00:00 +0000 UTC,0.1,0.2,0.1,0.2,1102,1160450
2018-07-26 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,928,1362365
2018-07-25 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,7932,1425182
2018-07-24 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,5516,1111504
2018-07-23 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,1071,1151752
2018-07-22 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,3743,1133359
2018-07-21 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,6549,1089679
2018-07-20 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,1913,1255246
2018-07-19 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,1725,1245658
2018-07-18 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,739,1260570
2018-07-17 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,2685,1244256
2018-07-16 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,832,1158820
2018-07-15 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,515,1235249
2018-07-14 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,123,1172968
2018-07-13 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,172,1147750
2018-07-12 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,441,1106473
2018-07-11 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,812,919367
2018-07-10 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,488,1158820
2018-07-09 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,145,1220756
2018-07-08 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,67,1222330
2018-07-07 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,250,1188661
2018-07-06 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,222,1214618
2018-07-05 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,286,1214406
2018-07-04 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,973,1285539
2018-07-03 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,3412,1258008
2018-07-02 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,341,1412414
2018-07-01 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,1012,1448661
2018-06-30 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,328,1447690
2018-06-29 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,1920,1342722
2018-06-28 00:00:00 +0000 UTC,0.1,0.2,0.1,0.1,3625,1420345
2018-06-27 00:00:00 +0000 UTC,0.1,0.2,0.1,0.1,9659,1445833
2018-06-26 00:00:00 +0000 UTC,0.1,0.3,0.1,0.1,3797,1563084
2018-06-25 00:00:00 +0000 UTC,0.1,0.2,0.1,0.1,3924,1527587
