Date,Open,High,Low,Close,Volume,MarketCap
2018-08-30 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,233941,222180
2018-08-29 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,555917,227137
2018-08-28 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,136545,231525
2018-08-27 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,132186,221811
2018-08-26 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,116260,225031
2018-08-25 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,77572,236987
2018-08-24 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,24652,238851
2018-08-23 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,437,231125
2018-08-22 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,15689,235053
2018-08-21 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,5339,224576
2018-08-20 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,8538,238207
2018-08-19 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,594,237603
2018-08-18 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,523,254451
2018-08-17 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,4949,224345
2018-08-16 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1308,222834
2018-08-15 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,11718,239952
2018-08-14 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,15936,271850
2018-08-13 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,19173,286988
2018-08-12 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,19282,293679
2018-08-11 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,7198,308167
2018-08-10 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,7151,323345
2018-08-09 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,34481,330397
2018-08-08 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,21080,379720
2018-08-07 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,65962,408667
2018-08-06 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,48299,408476
2018-08-05 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,31265,410659
2018-08-04 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,40744,419428
2018-08-03 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,155947,406461
2018-08-02 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,80806,410065
2018-08-01 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,147052,440809
2018-07-31 00:00:00 +0000 UTC,0.1,0.1,0.0,0.0,93684,514940
2018-07-30 00:00:00 +0000 UTC,0.0,0.1,0.0,0.1,129067,447684
2018-07-29 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,70677,404672
2018-07-28 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,113605,386242
2018-07-27 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,80788,424715
2018-07-26 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,184594,426901
2018-07-25 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,171996,433582
2018-07-24 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,381472,447373
2018-07-23 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,250266,454988
2018-07-22 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,95083,444255
