Date,Open,High,Low,Close,Volume,MarketCap
2018-08-30 00:00:00 +0000 UTC,1.7,1.8,1.3,1.6,477697,25992265
2018-08-29 00:00:00 +0000 UTC,1.7,1.9,1.6,1.7,378907,26991300
2018-08-28 00:00:00 +0000 UTC,1.8,2.0,1.7,1.8,354151,27701638
2018-08-27 00:00:00 +0000 UTC,1.8,2.2,1.6,1.8,522328,28594995
2018-08-26 00:00:00 +0000 UTC,2.0,2.2,1.8,1.8,331304,30685714
2018-08-25 00:00:00 +0000 UTC,2.3,2.3,1.9,2.0,451721,35740893
2018-08-24 00:00:00 +0000 UTC,2.3,2.6,2.1,2.3,554980,36101335
2018-08-23 00:00:00 +0000 UTC,2.7,2.7,2.3,2.3,310938,41337086
2018-08-22 00:00:00 +0000 UTC,2.7,2.9,2.6,2.7,96191,42518569
2018-08-21 00:00:00 +0000 UTC,2.7,2.8,2.6,2.8,201178,42361555
2018-08-20 00:00:00 +0000 UTC,2.9,3.0,2.7,2.8,137284,44198881
2018-08-19 00:00:00 +0000 UTC,2.8,2.9,2.8,2.9,244268,43630768
2018-08-18 00:00:00 +0000 UTC,2.9,2.9,2.8,2.8,108977,44672814
2018-08-17 00:00:00 +0000 UTC,2.9,3.0,2.8,2.9,160087,44370592
2018-08-16 00:00:00 +0000 UTC,2.8,3.0,2.8,2.9,185715,43750226
2018-08-15 00:00:00 +0000 UTC,2.9,3.0,2.8,2.8,108918,44522196
2018-08-14 00:00:00 +0000 UTC,3.0,3.0,2.6,2.9,208476,46028931
2018-08-13 00:00:00 +0000 UTC,3.0,3.1,3.0,3.0,293372,47074399
2018-08-12 00:00:00 +0000 UTC,3.0,3.1,2.9,3.0,205907,46294455
2018-08-11 00:00:00 +0000 UTC,3.0,3.1,2.8,3.0,290029,45789800
2018-08-10 00:00:00 +0000 UTC,3.1,3.2,2.9,3.0,327792,48084222
2018-08-09 00:00:00 +0000 UTC,2.8,3.2,2.7,3.1,370004,43855412
2018-08-08 00:00:00 +0000 UTC,3.2,3.2,2.7,2.8,293227,48917833
2018-08-07 00:00:00 +0000 UTC,3.2,3.5,3.0,3.1,361370,48995182
2018-08-06 00:00:00 +0000 UTC,2.9,3.2,2.9,3.1,276609,44726302
2018-08-05 00:00:00 +0000 UTC,3.0,3.0,2.8,2.9,200240,45628583
