Date,Open,High,Low,Close,Volume,MarketCap
2018-08-30 00:00:00 +0000 UTC,0.2,0.2,0.1,0.2,18522,14297937
2018-08-29 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,14906,14134562
2018-08-28 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,11159,13700035
2018-08-27 00:00:00 +0000 UTC,0.2,0.2,0.1,0.2,13500,13597662
2018-08-26 00:00:00 +0000 UTC,0.2,0.2,0.1,0.2,14423,14091313
2018-08-25 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,27741,13831042
2018-08-24 00:00:00 +0000 UTC,0.2,0.2,0.1,0.2,23401,13889158
2018-08-23 00:00:00 +0000 UTC,0.1,0.2,0.1,0.2,33775,12935442
2018-08-22 00:00:00 +0000 UTC,0.2,0.2,0.1,0.1,33953,13906602
2018-08-21 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,53322,13770792
2018-08-20 00:00:00 +0000 UTC,0.2,0.2,0.1,0.2,30130,14075478
2018-08-19 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,35514,14304765
2018-08-18 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,21247,16360223
2018-08-17 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,37197,14847185
2018-08-16 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,29422,14783212
2018-08-15 00:00:00 +0000 UTC,0.1,0.2,0.1,0.2,58437,13345532
2018-08-14 00:00:00 +0000 UTC,0.2,0.2,0.1,0.1,103775,14938363
2018-08-13 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,71085,15594708
2018-08-12 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,60472,15137624
2018-08-11 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,133516,15439106
2018-08-10 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,131675,18701646
2018-08-09 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,58897,18812509
2018-08-08 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,122649,21158769
2018-08-07 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,70125,21684685
2018-08-06 00:00:00 +0000 UTC,0.3,0.3,0.2,0.2,71630,22946924
2018-08-05 00:00:00 +0000 UTC,0.3,0.3,0.2,0.3,26921,22497572
2018-08-04 00:00:00 +0000 UTC,0.2,0.3,0.2,0.3,55741,22304863
2018-08-03 00:00:00 +0000 UTC,0.3,0.3,0.2,0.2,140301,23601868
2018-08-02 00:00:00 +0000 UTC,0.3,0.3,0.2,0.3,216919,25108401
2018-08-01 00:00:00 +0000 UTC,0.3,0.3,0.3,0.3,117363,27145526
2018-07-31 00:00:00 +0000 UTC,0.3,0.3,0.3,0.3,271871,26809691
2018-07-30 00:00:00 +0000 UTC,0.3,0.3,0.3,0.3,240252,26784178
2018-07-29 00:00:00 +0000 UTC,0.3,0.3,0.3,0.3,120549,27369028
2018-07-28 00:00:00 +0000 UTC,0.3,0.3,0.3,0.3,53021,27470998
2018-07-27 00:00:00 +0000 UTC,0.3,0.3,0.3,0.3,230715,27571532
2018-07-26 00:00:00 +0000 UTC,0.3,0.3,0.3,0.3,185919,29829098
2018-07-25 00:00:00 +0000 UTC,0.3,0.4,0.3,0.3,170252,31235108
2018-07-24 00:00:00 +0000 UTC,0.4,0.4,0.3,0.3,207128,31618804
2018-07-23 00:00:00 +0000 UTC,0.4,0.4,0.4,0.4,165835,33259960
2018-07-22 00:00:00 +0000 UTC,0.4,0.4,0.4,0.4,97895,32561362
2018-07-21 00:00:00 +0000 UTC,0.3,0.4,0.3,0.4,132720,31243832
2018-07-20 00:00:00 +0000 UTC,0.4,0.4,0.3,0.3,131606,32803340
2018-07-19 00:00:00 +0000 UTC,0.4,0.4,0.3,0.4,115768,32379000
2018-07-18 00:00:00 +0000 UTC,0.4,0.4,0.4,0.4,147359,33622704
2018-07-17 00:00:00 +0000 UTC,0.4,0.4,0.3,0.4,333707,35659692
2018-07-16 00:00:00 +0000 UTC,0.4,0.4,0.4,0.4,277579,32406786
2018-07-15 00:00:00 +0000 UTC,0.3,0.4,0.3,0.4,51104,31009408
2018-07-14 00:00:00 +0000 UTC,0.3,0.4,0.3,0.3,124688,30963998
2018-07-13 00:00:00 +0000 UTC,0.3,0.3,0.3,0.3,280686,29418246
2018-07-12 00:00:00 +0000 UTC,0.3,0.3,0.3,0.3,241772,28578650
2018-07-11 00:00:00 +0000 UTC,0.3,0.3,0.3,0.3,238540,29497290
2018-07-10 00:00:00 +0000 UTC,0.4,0.4,0.3,0.3,217778,32067784
2018-07-09 00:00:00 +0000 UTC,0.4,0.4,0.4,0.4,265942,32608480
2018-07-08 00:00:00 +0000 UTC,0.4,0.4,0.4,0.4,635073,34130220
2018-07-07 00:00:00 +0000 UTC,0.4,0.4,0.4,0.4,537590,33497084
2018-07-06 00:00:00 +0000 UTC,0.4,0.4,0.4,0.4,680376,33067438
2018-07-05 00:00:00 +0000 UTC,0.4,0.4,0.4,0.4,948206,32928692
2018-07-04 00:00:00 +0000 UTC,0.4,0.4,0.4,0.4,718889,33553554
2018-07-03 00:00:00 +0000 UTC,0.4,0.4,0.4,0.4,830853,33940936
2018-07-02 00:00:00 +0000 UTC,0.4,0.4,0.4,0.4,832009,32545894
2018-07-01 00:00:00 +0000 UTC,0.4,0.4,0.4,0.4,635138,33964136
2018-06-30 00:00:00 +0000 UTC,0.4,0.4,0.4,0.4,357932,32912414
2018-06-29 00:00:00 +0000 UTC,0.4,0.4,0.4,0.4,1066820,33088752
2018-06-28 00:00:00 +0000 UTC,0.4,0.4,0.4,0.4,863180,35251636
2018-06-27 00:00:00 +0000 UTC,0.4,0.4,0.4,0.4,1273120,36838984
2018-06-26 00:00:00 +0000 UTC,0.4,0.4,0.4,0.4,1440130,34905216
2018-06-25 00:00:00 +0000 UTC,0.4,0.4,0.3,0.4,1114100,33368126
2018-06-24 00:00:00 +0000 UTC,0.4,0.4,0.3,0.4,1589240,32949454
2018-06-23 00:00:00 +0000 UTC,0.4,0.4,0.4,0.4,312363,35703864
2018-06-22 00:00:00 +0000 UTC,0.5,0.5,0.4,0.4,1723100,42733784
2018-06-21 00:00:00 +0000 UTC,0.5,0.5,0.5,0.5,1519050,41608124
2018-06-20 00:00:00 +0000 UTC,0.5,0.5,0.4,0.5,2040690,41837616
2018-06-19 00:00:00 +0000 UTC,0.5,0.5,0.4,0.5,2624810,42170572
2018-06-18 00:00:00 +0000 UTC,0.5,0.5,0.5,0.5,1696210,41268904
2018-06-17 00:00:00 +0000 UTC,0.5,0.5,0.4,0.5,1167550,40685816
2018-06-16 00:00:00 +0000 UTC,0.4,0.5,0.4,0.5,1565270,39530552
2018-06-15 00:00:00 +0000 UTC,0.5,0.5,0.4,0.4,2834190,41106356
2018-06-14 00:00:00 +0000 UTC,0.5,0.5,0.4,0.5,3954520,40634440
2018-06-13 00:00:00 +0000 UTC,0.5,0.5,0.4,0.5,4508810,40812024
2018-06-12 00:00:00 +0000 UTC,0.5,0.5,0.4,0.5,1832690,41362124
2018-06-11 00:00:00 +0000 UTC,0.4,0.5,0.4,0.5,1124040,38919000
2018-06-10 00:00:00 +0000 UTC,0.5,0.5,0.4,0.4,1077060,42435016
2018-06-09 00:00:00 +0000 UTC,0.5,0.5,0.5,0.5,1115920,44962052
2018-06-08 00:00:00 +0000 UTC,0.6,0.6,0.5,0.5,1600520,52321868
2018-06-07 00:00:00 +0000 UTC,0.5,0.6,0.5,0.6,4895480,42038112
2018-06-06 00:00:00 +0000 UTC,0.4,0.5,0.4,0.5,2017690,35417912
2018-06-05 00:00:00 +0000 UTC,0.4,0.4,0.4,0.4,659789,34607792
2018-06-04 00:00:00 +0000 UTC,0.4,0.4,0.4,0.4,920242,33712632
2018-06-03 00:00:00 +0000 UTC,0.4,0.4,0.4,0.4,551419,32177624
2018-06-02 00:00:00 +0000 UTC,0.3,0.4,0.3,0.4,638231,30657726
2018-06-01 00:00:00 +0000 UTC,0.3,0.4,0.3,0.3,227456,30880838
2018-05-31 00:00:00 +0000 UTC,0.3,0.3,0.3,0.3,344599,29950854
2018-05-30 00:00:00 +0000 UTC,0.3,0.4,0.3,0.3,721622,28688822
2018-05-29 00:00:00 +0000 UTC,0.3,0.3,0.3,0.3,478046,26043506
2018-05-28 00:00:00 +0000 UTC,0.3,0.3,0.3,0.3,225861,27371216
2018-05-27 00:00:00 +0000 UTC,0.3,0.3,0.3,0.3,128368,29218506
2018-05-26 00:00:00 +0000 UTC,0.3,0.3,0.3,0.3,360236,27545280
2018-05-25 00:00:00 +0000 UTC,0.3,0.3,0.3,0.3,833127,27441940
2018-05-24 00:00:00 +0000 UTC,0.3,0.3,0.3,0.3,914861,25421662
2018-05-23 00:00:00 +0000 UTC,0.3,0.3,0.3,0.3,924360,27644710
2018-05-22 00:00:00 +0000 UTC,0.3,0.3,0.3,0.3,1204530,30140616
2018-05-21 00:00:00 +0000 UTC,0.3,0.3,0.3,0.3,1250650,30755096
2018-05-20 00:00:00 +0000 UTC,0.3,0.4,0.3,0.3,1628390,30360834
2018-05-19 00:00:00 +0000 UTC,0.3,0.3,0.3,0.3,1602010,28561718
2018-05-18 00:00:00 +0000 UTC,0.3,0.3,0.3,0.3,1770160,28135490
2018-05-17 00:00:00 +0000 UTC,0.3,0.4,0.3,0.3,2381490,31398918
2018-05-16 00:00:00 +0000 UTC,0.3,0.3,0.3,0.3,2752200,26146140
2018-05-15 00:00:00 +0000 UTC,0.3,0.3,0.3,0.3,1986590,26745546
2018-05-14 00:00:00 +0000 UTC,0.3,0.3,0.3,0.3,1680960,26311004
2018-05-13 00:00:00 +0000 UTC,0.3,0.3,0.3,0.3,2015960,25377068
2018-05-12 00:00:00 +0000 UTC,0.3,0.3,0.3,0.3,1997200,26538678
2018-05-11 00:00:00 +0000 UTC,0.3,0.3,0.3,0.3,2245890,26999178
2018-05-10 00:00:00 +0000 UTC,0.3,0.3,0.3,0.3,2523870,29395872
2018-05-09 00:00:00 +0000 UTC,0.3,0.3,0.3,0.3,2308060,29112144
2018-05-08 00:00:00 +0000 UTC,0.3,0.3,0.3,0.3,2182670,29034946
2018-05-07 00:00:00 +0000 UTC,0.3,0.3,0.3,0.3,2389190,28464710
2018-05-06 00:00:00 +0000 UTC,0.4,0.4,0.3,0.3,2430480,33973480
2018-05-05 00:00:00 +0000 UTC,0.4,0.4,0.4,0.4,2708330,35469100
2018-05-04 00:00:00 +0000 UTC,0.4,0.4,0.4,0.4,2782520,34842924
2018-05-03 00:00:00 +0000 UTC,0.4,0.4,0.4,0.4,1756180,35106236
2018-05-02 00:00:00 +0000 UTC,0.4,0.4,0.4,0.4,1256330,32724036
2018-05-01 00:00:00 +0000 UTC,0.4,0.4,0.3,0.4,894672,33046538
2018-04-30 00:00:00 +0000 UTC,0.4,0.4,0.4,0.4,2034840,35218208
2018-04-29 00:00:00 +0000 UTC,0.4,0.5,0.4,0.4,2109860,38391584
2018-04-28 00:00:00 +0000 UTC,0.3,0.4,0.3,0.4,4540320,27787200
2018-04-27 00:00:00 +0000 UTC,0.3,0.3,0.3,0.3,1906540,26268274
2018-04-26 00:00:00 +0000 UTC,0.3,0.3,0.3,0.3,886776,23270836
2018-04-25 00:00:00 +0000 UTC,0.3,0.3,0.2,0.3,635860,27983314
2018-04-24 00:00:00 +0000 UTC,0.3,0.3,0.3,0.3,873120,26708136
2018-04-23 00:00:00 +0000 UTC,0.3,0.3,0.3,0.3,1179170,23219320
