Date,Open,High,Low,Close,Volume,MarketCap
2018-08-30 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,67831,2395552
2018-08-29 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,67513,2319615
2018-08-28 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,69461,2247223
2018-08-27 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,67624,2174263
2018-08-26 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,64899,2324065
2018-08-25 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,69213,2235601
2018-08-24 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,71156,2246275
2018-08-23 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,75194,2172843
2018-08-22 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,68578,2251797
2018-08-21 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,70545,2275211
2018-08-20 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,65372,2462952
2018-08-19 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,64761,2340246
2018-08-18 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,76380,2467895
2018-08-17 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,67612,2067701
2018-08-16 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,59598,2052767
2018-08-15 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,59504,2047098
2018-08-14 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,53949,2167805
2018-08-13 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,42780,2372123
2018-08-12 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,84565,2390719
2018-08-11 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,61590,2298997
2018-08-10 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,74123,2491695
2018-08-09 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,81253,2692812
2018-08-08 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,65287,3228670
2018-08-07 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,50810,3477245
2018-08-06 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,61146,3390873
2018-08-05 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,61525,3354045
2018-08-04 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,83741,3414958
2018-08-03 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,85589,3544008
2018-08-02 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,81637,3578136
2018-08-01 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,79112,3662921
