Date,Open,High,Low,Close,Volume,MarketCap
2018-08-30 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,26988,518683
2018-08-29 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,9490,527146
2018-08-28 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,6897,501762
2018-08-27 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,26794,488428
2018-08-26 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,5897,477886
2018-08-25 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,21621,473069
2018-08-24 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,22531,462397
2018-08-23 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,899,442166
2018-08-22 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,13352,464380
2018-08-21 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,6167,450501
2018-08-20 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,3054,498329
2018-08-19 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,6013,486713
2018-08-18 00:00:00 +0000 UTC,0.2,0.3,0.2,0.2,17151,490039
2018-08-17 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,14017,460585
2018-08-16 00:00:00 +0000 UTC,0.2,0.3,0.2,0.2,82308,442665
2018-08-15 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,9729,445546
2018-08-14 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,5783,503761
2018-08-13 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,13114,543085
2018-08-12 00:00:00 +0000 UTC,0.2,0.3,0.2,0.2,2160,536117
2018-08-11 00:00:00 +0000 UTC,0.2,0.3,0.2,0.2,10910,525090
2018-08-10 00:00:00 +0000 UTC,0.2,0.3,0.2,0.2,2658,556636
2018-08-09 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,11038,508782
2018-08-08 00:00:00 +0000 UTC,0.3,0.3,0.2,0.2,15899,605255
2018-08-07 00:00:00 +0000 UTC,0.3,0.3,0.3,0.3,5744,642732
2018-08-06 00:00:00 +0000 UTC,0.3,0.3,0.3,0.3,1586,647231
2018-08-05 00:00:00 +0000 UTC,0.3,0.3,0.3,0.3,2123,645460
2018-08-04 00:00:00 +0000 UTC,0.3,0.3,0.3,0.3,2136,711559
2018-08-03 00:00:00 +0000 UTC,0.3,0.3,0.3,0.3,32829,725372
2018-08-02 00:00:00 +0000 UTC,0.3,0.3,0.3,0.3,11746,744955
2018-08-01 00:00:00 +0000 UTC,0.3,0.3,0.3,0.3,30334,764244
2018-07-31 00:00:00 +0000 UTC,0.3,0.4,0.3,0.3,116188,797278
2018-07-30 00:00:00 +0000 UTC,0.3,0.4,0.3,0.4,311485,792122
2018-07-29 00:00:00 +0000 UTC,0.3,0.4,0.3,0.3,90988,788094
2018-07-28 00:00:00 +0000 UTC,0.3,0.4,0.3,0.3,23460,796669
2018-07-27 00:00:00 +0000 UTC,0.3,0.4,0.3,0.3,58864,754405
2018-07-26 00:00:00 +0000 UTC,0.3,0.4,0.3,0.3,46411,756357
2018-07-25 00:00:00 +0000 UTC,0.3,0.4,0.3,0.3,33152,783832
2018-07-24 00:00:00 +0000 UTC,0.3,0.4,0.3,0.3,153051,739180
2018-07-23 00:00:00 +0000 UTC,0.3,0.3,0.3,0.3,31806,760681
2018-07-22 00:00:00 +0000 UTC,0.3,0.3,0.3,0.3,3587,731307
2018-07-21 00:00:00 +0000 UTC,0.3,0.3,0.3,0.3,11425,734355
2018-07-20 00:00:00 +0000 UTC,0.3,0.3,0.3,0.3,20780,763176
2018-07-19 00:00:00 +0000 UTC,0.3,0.3,0.3,0.3,29833,786340
2018-07-18 00:00:00 +0000 UTC,0.3,0.4,0.3,0.3,128109,766759
