Date,Open,High,Low,Close,Volume,MarketCap
2018-08-30 00:00:00 +0000 UTC,3.1,4.8,2.9,3.8,232995,0
2018-08-29 00:00:00 +0000 UTC,3.1,4.8,3.0,4.4,272507,0
2018-08-28 00:00:00 +0000 UTC,3.5,4.6,3.0,3.3,259566,0
2018-08-27 00:00:00 +0000 UTC,4.4,4.6,2.9,3.1,217408,0
2018-08-26 00:00:00 +0000 UTC,4.0,4.6,2.8,3.0,185031,0
2018-08-25 00:00:00 +0000 UTC,3.8,4.3,2.8,3.8,242873,0
2018-08-24 00:00:00 +0000 UTC,3.8,4.4,2.7,3.5,218224,0
2018-08-23 00:00:00 +0000 UTC,4.5,4.5,2.7,3.4,216356,0
2018-08-22 00:00:00 +0000 UTC,4.2,5.1,2.7,4.2,270085,0
2018-08-21 00:00:00 +0000 UTC,4.9,4.9,3.2,3.9,241385,0
2018-08-20 00:00:00 +0000 UTC,4.8,5.3,2.7,4.0,248578,0
2018-08-19 00:00:00 +0000 UTC,3.8,5.3,2.7,4.0,246296,0
2018-08-18 00:00:00 +0000 UTC,3.3,5.4,2.8,4.3,260500,0
2018-08-17 00:00:00 +0000 UTC,4.3,5.3,2.7,4.7,309883,0
2018-08-16 00:00:00 +0000 UTC,3.7,5.3,2.7,3.4,211774,0
2018-08-15 00:00:00 +0000 UTC,3.5,5.5,2.6,4.8,301130,0
2018-08-14 00:00:00 +0000 UTC,2.7,4.9,2.5,3.2,210541,0
2018-08-13 00:00:00 +0000 UTC,3.2,5.1,2.5,3.1,219873,0
2018-08-12 00:00:00 +0000 UTC,4.0,5.2,2.6,3.8,266405,0
2018-08-11 00:00:00 +0000 UTC,4.8,5.3,2.6,4.5,284231,0
2018-08-10 00:00:00 +0000 UTC,3.7,5.8,2.6,5.1,314211,0
2018-08-09 00:00:00 +0000 UTC,3.7,5.8,2.7,4.4,273325,0
2018-08-08 00:00:00 +0000 UTC,5.5,5.5,2.7,4.2,273424,0
2018-08-07 00:00:00 +0000 UTC,5.4,6.3,4.8,5.0,307262,0
2018-08-06 00:00:00 +0000 UTC,6.0,6.7,4.3,6.1,384274,0
2018-08-05 00:00:00 +0000 UTC,4.1,6.6,3.9,5.5,361195,0
2018-08-04 00:00:00 +0000 UTC,2.7,8.7,2.7,5.8,360036,0
2018-08-03 00:00:00 +0000 UTC,3.2,8.7,2.3,2.7,172937,0
2018-08-02 00:00:00 +0000 UTC,3.7,4.0,2.9,3.9,246122,0
2018-08-01 00:00:00 +0000 UTC,4.6,4.6,2.7,3.1,197181,0
2018-07-31 00:00:00 +0000 UTC,5.3,5.3,3.9,4.4,386654,0
2018-07-30 00:00:00 +0000 UTC,5.1,5.3,5.1,5.2,707479,0
2018-07-29 00:00:00 +0000 UTC,5.1,5.2,4.6,5.1,632218,0
2018-07-28 00:00:00 +0000 UTC,5.2,5.5,4.7,5.1,570196,0
2018-07-27 00:00:00 +0000 UTC,5.0,5.2,4.9,5.2,774851,0
2018-07-26 00:00:00 +0000 UTC,5.4,5.5,5.0,5.0,732005,0
2018-07-25 00:00:00 +0000 UTC,5.5,5.6,5.3,5.4,729800,0
2018-07-24 00:00:00 +0000 UTC,5.2,5.6,5.2,5.5,764461,0
2018-07-23 00:00:00 +0000 UTC,5.2,5.3,5.1,5.2,820527,0
2018-07-22 00:00:00 +0000 UTC,5.3,5.4,5.1,5.2,816940,0
2018-07-21 00:00:00 +0000 UTC,5.2,5.4,5.1,5.4,858543,0
2018-07-20 00:00:00 +0000 UTC,5.2,5.7,5.1,5.3,778775,0
2018-07-19 00:00:00 +0000 UTC,5.3,5.4,5.1,5.2,841214,0
2018-07-18 00:00:00 +0000 UTC,5.3,5.5,5.1,5.3,901662,0
2018-07-17 00:00:00 +0000 UTC,5.3,5.4,5.0,5.3,678470,0
2018-07-16 00:00:00 +0000 UTC,4.8,5.3,4.8,5.3,675377,0
