Date,Open,High,Low,Close,Volume,MarketCap
2018-08-30 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,54,407948
2018-08-29 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,172,459804
2018-08-28 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,497,450804
2018-08-27 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,77,484695
2018-08-26 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,24,411180
2018-08-25 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,350,408046
2018-08-24 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,2025,661190
2018-08-23 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,13066,351442
2018-08-22 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,57,434111
2018-08-21 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,53,416863
2018-08-20 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,922,580558
2018-08-19 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,96,508163
2018-08-18 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,16,625714
2018-08-17 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,380,602665
2018-08-16 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,544,529041
2018-08-15 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,90,490506
2018-08-14 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,47,409319
2018-08-13 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,299,530680
2018-08-12 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,48,670112
2018-08-11 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,12,553261
2018-08-10 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,52,674678
2018-08-09 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,41,685729
2018-08-08 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,54,597980
2018-08-07 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,130,653885
2018-08-06 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,404,879702
2018-08-05 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,52,547073
2018-08-04 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,355,1109218
2018-08-03 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,76,929993
2018-08-02 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,298,883604
2018-08-01 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,14,891477
2018-07-31 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,40,1012442
2018-07-30 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,18,1016787
2018-07-29 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,6,913228
2018-07-28 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,131,922071
2018-07-27 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,69,920201
