Date,Open,High,Low,Close,Volume,MarketCap
2018-08-30 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,32890,6045317
2018-08-29 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,49530,6098418
2018-08-28 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,48972,5853484
2018-08-27 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,60687,5746113
2018-08-26 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,56975,5757070
2018-08-25 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,57080,5682095
2018-08-24 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,88492,5474365
2018-08-23 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,64237,5523521
2018-08-22 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,136318,5657954
2018-08-21 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,173951,5697380
2018-08-20 00:00:00 +0000 UTC,0.2,0.3,0.2,0.2,841975,5151866
2018-08-19 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,115202,4983745
2018-08-18 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,90774,5244003
2018-08-17 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,114744,4985063
2018-08-16 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,112846,4945401
2018-08-15 00:00:00 +0000 UTC,0.1,0.2,0.1,0.2,107908,4427331
2018-08-14 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,107195,4655781
2018-08-13 00:00:00 +0000 UTC,0.2,0.2,0.1,0.2,141789,4807250
2018-08-12 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,104313,5012762
2018-08-11 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,138802,5502611
2018-08-10 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,87675,5800591
2018-08-09 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,96049,5800518
2018-08-08 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,121929,6834617
2018-08-07 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,117723,6716003
2018-08-06 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,129400,6584283
2018-08-05 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,110525,6658112
2018-08-04 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,114696,7229694
2018-08-03 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,145730,7600488
2018-08-02 00:00:00 +0000 UTC,0.3,0.3,0.2,0.2,138919,8242412
2018-08-01 00:00:00 +0000 UTC,0.3,0.3,0.3,0.3,162139,8537910
2018-07-31 00:00:00 +0000 UTC,0.3,0.3,0.3,0.3,160869,9568580
2018-07-30 00:00:00 +0000 UTC,0.3,0.3,0.3,0.3,181029,9880647
2018-07-29 00:00:00 +0000 UTC,0.3,0.3,0.3,0.3,329954,9640342
2018-07-28 00:00:00 +0000 UTC,0.3,0.3,0.3,0.3,185757,9331346
2018-07-27 00:00:00 +0000 UTC,0.3,0.3,0.3,0.3,222025,9095906
2018-07-26 00:00:00 +0000 UTC,0.3,0.3,0.3,0.3,352792,9429442
2018-07-25 00:00:00 +0000 UTC,0.3,0.3,0.3,0.3,179472,9549086
2018-07-24 00:00:00 +0000 UTC,0.3,0.3,0.3,0.3,342888,9674251
2018-07-23 00:00:00 +0000 UTC,0.3,0.4,0.3,0.3,574258,9645228
2018-07-22 00:00:00 +0000 UTC,0.3,0.3,0.3,0.3,132668,9793552
2018-07-21 00:00:00 +0000 UTC,0.3,0.3,0.3,0.3,150346,9797144
2018-07-20 00:00:00 +0000 UTC,0.3,0.3,0.3,0.3,166148,10365180
2018-07-19 00:00:00 +0000 UTC,0.3,0.4,0.3,0.3,264766,10221268
2018-07-18 00:00:00 +0000 UTC,0.3,0.3,0.3,0.3,244709,10016848
2018-07-17 00:00:00 +0000 UTC,0.3,0.3,0.3,0.3,190696,9526465
2018-07-16 00:00:00 +0000 UTC,0.3,0.3,0.3,0.3,166060,8843494
2018-07-15 00:00:00 +0000 UTC,0.3,0.3,0.3,0.3,128143,8300740
2018-07-14 00:00:00 +0000 UTC,0.3,0.3,0.3,0.3,146527,8125262
2018-07-13 00:00:00 +0000 UTC,0.3,0.3,0.3,0.3,126930,8225870
2018-07-12 00:00:00 +0000 UTC,0.3,0.3,0.3,0.3,146540,8614978
2018-07-11 00:00:00 +0000 UTC,0.3,0.3,0.3,0.3,152747,8667401
2018-07-10 00:00:00 +0000 UTC,0.3,0.3,0.3,0.3,169319,9366351
2018-07-09 00:00:00 +0000 UTC,0.3,0.3,0.3,0.3,241214,9493519
2018-07-08 00:00:00 +0000 UTC,0.3,0.3,0.3,0.3,156048,9411065
2018-07-07 00:00:00 +0000 UTC,0.3,0.3,0.3,0.3,164007,9402814
2018-07-06 00:00:00 +0000 UTC,0.3,0.3,0.3,0.3,173015,9312643
2018-07-05 00:00:00 +0000 UTC,0.3,0.3,0.3,0.3,180609,9539023
2018-07-04 00:00:00 +0000 UTC,0.3,0.3,0.3,0.3,168556,9343347
2018-07-03 00:00:00 +0000 UTC,0.2,0.3,0.2,0.3,233180,6492366
2018-07-02 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,293071,5772385
2018-07-01 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,420313,5848810
2018-06-30 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,409910,5635939
2018-06-29 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,422297,5389174
2018-06-28 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,381901,5639206
2018-06-27 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,429797,5952723
2018-06-26 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,362353,5880793
2018-06-25 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,317150,6242165
2018-06-24 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,154680,5957928
2018-06-23 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,148521,5645943
2018-06-22 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,132742,6374597
2018-06-21 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,155669,7064520
2018-06-20 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,200545,6695128
2018-06-19 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,175876,7050054
2018-06-18 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,208632,6505588
2018-06-17 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,173506,5913119
2018-06-16 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,152042,6332774
2018-06-15 00:00:00 +0000 UTC,0.3,0.3,0.2,0.2,146572,8494556
2018-06-14 00:00:00 +0000 UTC,0.3,0.3,0.3,0.3,70039,7974738
2018-06-13 00:00:00 +0000 UTC,0.3,0.3,0.3,0.3,74548,8858396
2018-06-12 00:00:00 +0000 UTC,0.3,0.3,0.3,0.3,79556,10136501
2018-06-11 00:00:00 +0000 UTC,0.3,0.3,0.3,0.3,101367,9948701
2018-06-10 00:00:00 +0000 UTC,0.4,0.4,0.3,0.3,54905,12494243
2018-06-09 00:00:00 +0000 UTC,0.4,0.4,0.4,0.4,23554,11130054
2018-06-08 00:00:00 +0000 UTC,0.4,0.4,0.3,0.4,39106,11399021
2018-06-07 00:00:00 +0000 UTC,0.4,0.4,0.4,0.4,90411,11385362
2018-06-06 00:00:00 +0000 UTC,0.4,0.4,0.4,0.4,91342,12362344
2018-06-05 00:00:00 +0000 UTC,0.4,0.4,0.4,0.4,169323,13422726
2018-06-04 00:00:00 +0000 UTC,0.4,0.5,0.4,0.4,838160,12273920
2018-06-03 00:00:00 +0000 UTC,0.4,0.4,0.3,0.4,101890,10869035
2018-06-02 00:00:00 +0000 UTC,0.3,0.4,0.3,0.4,82979,10707031
2018-06-01 00:00:00 +0000 UTC,0.3,0.4,0.3,0.3,71324,10725189
2018-05-31 00:00:00 +0000 UTC,0.3,0.4,0.3,0.3,75066,10633934
2018-05-30 00:00:00 +0000 UTC,0.3,0.4,0.3,0.3,93445,10810436
2018-05-29 00:00:00 +0000 UTC,0.4,0.4,0.3,0.3,51995,13112047
2018-05-28 00:00:00 +0000 UTC,0.5,0.5,0.4,0.4,85266,14145384
2018-05-27 00:00:00 +0000 UTC,0.5,0.5,0.4,0.5,47651,14039618
2018-05-26 00:00:00 +0000 UTC,0.5,0.5,0.5,0.5,28804,14506451
2018-05-25 00:00:00 +0000 UTC,0.5,0.5,0.5,0.5,49061,14889350
2018-05-24 00:00:00 +0000 UTC,0.5,0.5,0.5,0.5,71579,14607779
2018-05-23 00:00:00 +0000 UTC,0.5,0.6,0.5,0.5,471688,16634928
2018-05-22 00:00:00 +0000 UTC,0.6,0.6,0.5,0.5,66862,17678832
2018-05-21 00:00:00 +0000 UTC,0.6,0.6,0.6,0.6,111405,17831496
2018-05-20 00:00:00 +0000 UTC,0.6,0.6,0.6,0.6,193146,18073860
2018-05-19 00:00:00 +0000 UTC,0.6,0.6,0.6,0.6,595928,17805000
2018-05-18 00:00:00 +0000 UTC,0.5,0.6,0.5,0.6,331522,16316823
2018-05-17 00:00:00 +0000 UTC,0.6,0.6,0.5,0.5,92894,17193184
2018-05-16 00:00:00 +0000 UTC,0.6,0.6,0.5,0.6,819210,17247344
2018-05-15 00:00:00 +0000 UTC,0.5,0.6,0.5,0.6,81852,17003352
2018-05-14 00:00:00 +0000 UTC,0.6,0.6,0.5,0.6,62669,17593122
2018-05-13 00:00:00 +0000 UTC,0.5,0.6,0.5,0.6,105090,16587277
2018-05-12 00:00:00 +0000 UTC,0.5,0.6,0.5,0.5,102754,16694233
2018-05-11 00:00:00 +0000 UTC,0.6,0.6,0.5,0.5,230405,19097704
2018-05-10 00:00:00 +0000 UTC,0.7,0.7,0.6,0.6,137566,20210664
2018-05-09 00:00:00 +0000 UTC,0.6,0.7,0.6,0.7,162573,19514530
2018-05-08 00:00:00 +0000 UTC,0.6,0.7,0.6,0.6,108063,19957754
2018-05-07 00:00:00 +0000 UTC,0.7,0.7,0.6,0.6,96613,20439582
2018-05-06 00:00:00 +0000 UTC,0.7,0.7,0.6,0.7,171461,21354174
2018-05-05 00:00:00 +0000 UTC,0.7,0.7,0.7,0.7,147557,21562502
2018-05-04 00:00:00 +0000 UTC,0.7,0.7,0.7,0.7,158714,22285088
2018-05-03 00:00:00 +0000 UTC,0.7,0.7,0.7,0.7,342738,22336956
2018-05-02 00:00:00 +0000 UTC,0.7,0.7,0.7,0.7,388514,20373236
2018-05-01 00:00:00 +0000 UTC,0.7,0.7,0.6,0.7,155789,20793806
2018-04-30 00:00:00 +0000 UTC,0.7,0.7,0.7,0.7,197433,21011282
2018-04-29 00:00:00 +0000 UTC,0.7,0.7,0.7,0.7,254205,21327700
2018-04-28 00:00:00 +0000 UTC,0.7,0.7,0.7,0.7,141003,20685754
2018-04-27 00:00:00 +0000 UTC,0.7,0.7,0.7,0.7,376162,21188110
2018-04-26 00:00:00 +0000 UTC,0.6,0.7,0.6,0.7,191585,19358670
2018-04-25 00:00:00 +0000 UTC,0.7,0.7,0.6,0.6,449082,22810278
2018-04-24 00:00:00 +0000 UTC,0.7,0.8,0.7,0.7,649198,22287162
2018-04-23 00:00:00 +0000 UTC,0.7,0.7,0.7,0.7,485362,21988228
2018-04-22 00:00:00 +0000 UTC,0.7,0.7,0.7,0.7,395154,22409072
2018-04-21 00:00:00 +0000 UTC,0.7,0.7,0.7,0.7,1207660,22894366
