Date,Open,High,Low,Close,Volume,MarketCap
2018-08-30 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,896325,6975322
2018-08-29 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,901936,7532317
2018-08-28 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1108910,6913906
2018-08-27 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1180210,6733296
2018-08-26 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,953302,6704053
2018-08-25 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,699083,6872028
2018-08-24 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1189030,6346201
2018-08-23 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,909272,5899750
2018-08-22 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,926021,6167352
2018-08-21 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,889408,5910283
2018-08-20 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,934818,6315981
2018-08-19 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,903014,6056235
2018-08-18 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1000450,6666690
2018-08-17 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1039980,5688159
2018-08-16 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,928107,5638231
2018-08-15 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,969139,5517108
2018-08-14 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,827786,6536779
2018-08-13 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,906766,6802440
2018-08-12 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1026470,6681440
2018-08-11 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,805662,7470962
2018-08-10 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1294760,7645786
2018-08-09 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1106400,6872733
2018-08-08 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,933963,7926783
2018-08-07 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1417530,8071469
