Date,Open,High,Low,Close,Volume,MarketCap
2018-08-30 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,427,723199
2018-08-29 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,148,679582
2018-08-28 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,121,624760
2018-08-27 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,316,627361
2018-08-26 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,901,710845
2018-08-25 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,227,674761
2018-08-24 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,284,661021
2018-08-23 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,505,635734
2018-08-22 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,69,613020
2018-08-21 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,373,636618
2018-08-20 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,55,674834
2018-08-19 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,483,609125
2018-08-18 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,506,692088
2018-08-17 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,723,535151
2018-08-16 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,111,532619
2018-08-15 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,175,529984
2018-08-14 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,568,520576
2018-08-13 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1388,829088
2018-08-12 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,531,759195
2018-08-11 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,2740,600933
2018-08-10 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,343,556004
2018-08-09 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,33,644863
2018-08-08 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,454,765286
2018-08-07 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1467,660219
2018-08-06 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,685,679000
2018-08-05 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,833,734024
2018-08-04 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,598,727130
2018-08-03 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,544,777840
2018-08-02 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,116,847628
2018-08-01 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,134,931167
2018-07-31 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,502,867567
2018-07-30 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,515,983217
2018-07-29 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,485,875332
2018-07-28 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,2006,1154261
2018-07-27 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,718,1155041
2018-07-26 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,700,1224314
2018-07-25 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1076,1154341
2018-07-24 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1063,1214074
2018-07-23 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1965,1114378
2018-07-22 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,2999,1106745
2018-07-21 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1002,1381664
2018-07-20 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,2027,1248666
2018-07-19 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,329,1170861
2018-07-18 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1848,1244494
2018-07-17 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,2328,1063105
2018-07-16 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,798,959738
2018-07-15 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,2433,1151827
2018-07-14 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,4403,979042
2018-07-13 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,2549,992147
2018-07-12 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,2740,1061738
2018-07-11 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1011,999634
2018-07-10 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,2904,1217452
2018-07-09 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1310,1200703
2018-07-08 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1167,1264905
2018-07-07 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,421,1274028
2018-07-06 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1928,1217836
2018-07-05 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1820,1177266
2018-07-04 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1908,1314626
2018-07-03 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,2122,1087497
2018-07-02 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,100,1069954
2018-07-01 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,62,1189634
2018-06-30 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,13,1165614
2018-06-29 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,105,961084
2018-06-28 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,23,1014399
2018-06-27 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,53,1230088
2018-06-26 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,148,1243957
2018-06-25 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,292,1106044
2018-06-24 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,116,1485180
2018-06-23 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,85,1544997
2018-06-22 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,208,1714167
2018-06-21 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1274,1864496
2018-06-20 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,308,2060691
2018-06-19 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,361,1707344
2018-06-18 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,233,1871947
2018-06-17 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,2623,1603625
2018-06-16 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,461,1732283
2018-06-15 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,49,1226724
2018-06-14 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,2291,1958247
2018-06-13 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,8753,1374053
2018-06-12 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,551,1758313
2018-06-11 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,824,1076967
2018-06-10 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,995,4181553
2018-06-09 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,198,2608407
2018-06-08 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,3957,1233500
2018-06-07 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,974,1622759
2018-06-06 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1,1836132
2018-06-05 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,407,1806847
2018-06-04 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,360,1732830
2018-06-03 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,73,1716184
2018-06-02 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,212,1810295
2018-06-01 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,135,1323137
2018-05-31 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,172,1303892
2018-05-30 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,797,1809751
2018-05-29 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,156,1808678
2018-05-28 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,15,2122870
2018-05-27 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,15,2343655
2018-05-26 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,444,1858525
2018-05-25 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,487,2489257
2018-05-24 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,261,2619909
2018-05-23 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,311,2775656
2018-05-22 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,14,4184781
2018-05-21 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,407,3422889
2018-05-20 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,21,2581565
2018-05-19 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,110,2579537
2018-05-18 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,260,2529160
2018-05-17 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,31,3351010
2018-05-16 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,2,2702560
2018-05-12 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1,2385828
2018-05-11 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,4849,2569058
2018-05-10 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,5319,2797886
2018-05-09 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,5947,2496095
2018-05-08 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,4994,2646933
2018-05-07 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,6885,4010793
2018-05-06 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,666,3471785
2018-05-05 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,2355,3947281
2018-05-04 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,953,3999496
2018-05-03 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1335,3226896
2018-05-02 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,3239,2931400
2018-05-01 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,4811,2982237
2018-04-30 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1622,2976287
2018-04-29 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,3308,3167134
2018-04-28 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1797,3106323
2018-04-27 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1297,2806347
2018-04-26 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,2748,2518770
2018-04-25 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1830,2354389
2018-04-24 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,12062,2768137
2018-04-23 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,2965,2817323
2018-04-22 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,299,2612468
2018-04-21 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1681,2697334
2018-04-20 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1356,2670321
2018-04-19 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1140,2622075
2018-04-18 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1284,2370772
2018-04-17 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,529,2261736
2018-04-16 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,6073,2679825
2018-04-15 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1934,2543651
2018-04-14 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,873,2450440
2018-04-13 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,2752,2618996
2018-04-12 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,6049,2119082
2018-04-11 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1148,2313537
2018-04-10 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,740,2309244
2018-04-09 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,231,2492790
2018-04-08 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,417,2305778
2018-04-07 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,270,2251986
2018-04-06 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,600,2339073
2018-04-05 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,143,2224588
2018-04-04 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,665,2607781
2018-04-03 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,721,2587952
2018-04-02 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,3209,1907999
2018-04-01 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,919,2002966
2018-03-31 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1893,2115806
2018-03-30 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,849,2442557
2018-03-29 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,2600,2755171
2018-03-28 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,699,2088104
2018-03-27 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,4566,2624177
2018-03-26 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,2417,2950460
