Date,Open,High,Low,Close,Volume,MarketCap
2018-07-21 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,87227,1170267
2018-07-20 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,86367,1083051
2018-07-19 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,72624,981284
2018-07-18 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,72012,670660
2018-07-17 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,7859,638355
2018-07-16 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,12039,657975
2018-07-15 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,5572,659475
2018-07-14 00:00:00 +0000 UTC,0.0,0.1,0.0,0.1,19999,524735
2018-07-13 00:00:00 +0000 UTC,0.0,0.1,0.0,0.0,11832,473060
2018-07-12 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,10218,534637
2018-07-11 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,16960,480318
2018-07-10 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,4501,532716
2018-07-09 00:00:00 +0000 UTC,0.0,0.1,0.0,0.0,8796,554185
2018-07-08 00:00:00 +0000 UTC,0.1,0.1,0.0,0.0,22531,589021
2018-07-07 00:00:00 +0000 UTC,0.2,0.2,0.0,0.1,124469,1758359
2018-07-06 00:00:00 +0000 UTC,0.1,0.2,0.1,0.2,5201,1693547
2018-07-05 00:00:00 +0000 UTC,0.2,0.2,0.1,0.1,2028,1769639
2018-07-04 00:00:00 +0000 UTC,0.2,0.2,0.1,0.2,2102,1766656
2018-07-03 00:00:00 +0000 UTC,0.2,0.2,0.1,0.2,6205,1810105
2018-07-02 00:00:00 +0000 UTC,0.2,0.2,0.1,0.2,6011,1816951
2018-07-01 00:00:00 +0000 UTC,0.1,0.2,0.1,0.2,3340,1726330
2018-06-30 00:00:00 +0000 UTC,0.1,0.2,0.1,0.1,1421,1643171
2018-06-29 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,1425,1569748
2018-06-28 00:00:00 +0000 UTC,0.1,0.2,0.1,0.1,3736,1651426
2018-06-27 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,3964,1651833
2018-06-26 00:00:00 +0000 UTC,0.1,0.2,0.1,0.1,821,1716252
2018-06-25 00:00:00 +0000 UTC,0.1,0.2,0.1,0.1,2301,1725163
2018-06-24 00:00:00 +0000 UTC,0.2,0.2,0.1,0.1,1433,1796941
2018-06-23 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,1618,1816880
2018-06-22 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,4002,1828030
2018-06-21 00:00:00 +0000 UTC,0.2,0.2,0.1,0.2,2223,1871752
2018-06-20 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,5430,1882919
2018-06-19 00:00:00 +0000 UTC,0.1,0.2,0.1,0.2,10647,1683102
2018-06-18 00:00:00 +0000 UTC,0.1,0.2,0.1,0.1,5459,1634856
2018-06-17 00:00:00 +0000 UTC,0.2,0.2,0.1,0.1,3280,1813572
2018-06-16 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,2577,1784901
2018-06-15 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,15706,1911283
2018-06-14 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,20417,2052638
2018-06-13 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,15318,2702056
2018-06-12 00:00:00 +0000 UTC,0.3,0.3,0.2,0.2,7128,2917368
