Date,Open,High,Low,Close,Volume,MarketCap
2018-08-30 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,179171,25517234
2018-08-29 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,108331,25286125
2018-08-28 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,102143,23514997
2018-08-27 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,103628,23182651
2018-08-26 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,102513,23213330
2018-08-25 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,106017,23647936
2018-08-24 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,106801,24098171
2018-08-23 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,111440,21571596
2018-08-22 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,87532,23107048
2018-08-21 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,48821,22115677
2018-08-20 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,74324,24338228
2018-08-19 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,99724,22932190
2018-08-18 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,69419,24163625
2018-08-17 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,90982,20185594
2018-08-16 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,81550,20608153
2018-08-15 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,68029,20814152
2018-08-14 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,51790,21625433
2018-08-13 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,48333,22426464
2018-08-12 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,55356,23266380
2018-08-11 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,48977,22617672
2018-08-10 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,72185,23862824
2018-08-09 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,65588,23396096
2018-08-08 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,89616,24755707
2018-08-07 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,65926,25925722
2018-08-06 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,69108,26741844
2018-08-05 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,60501,25390593
2018-08-04 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,88080,27575298
2018-08-03 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,86075,28361968
2018-08-02 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,98157,29423089
2018-08-01 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,118697,29858808
2018-07-31 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,73825,32177174
2018-07-30 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,87587,32108672
2018-07-29 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,63656,33044936
2018-07-28 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,77193,32512456
2018-07-27 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,312464,32494654
2018-07-26 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,955501,35620816
2018-07-25 00:00:00 +0000 UTC,0.1,0.2,0.1,0.1,190244,37189964
2018-07-24 00:00:00 +0000 UTC,0.1,0.2,0.1,0.2,218893,36765384
2018-07-23 00:00:00 +0000 UTC,0.2,0.2,0.1,0.1,275532,37587696
2018-07-22 00:00:00 +0000 UTC,0.2,0.2,0.1,0.2,123303,38299764
2018-07-21 00:00:00 +0000 UTC,0.2,0.2,0.1,0.2,112552,38277828
2018-07-20 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,344406,38801120
2018-07-19 00:00:00 +0000 UTC,0.1,0.2,0.1,0.2,498700,35490696
2018-07-18 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,345669,31511344
2018-07-17 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,53656,28433610
2018-07-16 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,98916,27154576
2018-07-15 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,67077,26167006
2018-07-14 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,103119,26849562
2018-07-13 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,223516,26888244
2018-07-12 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,206364,26866856
2018-07-11 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,212620,26915010
2018-07-10 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,250347,28392794
2018-07-09 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,332173,28469070
2018-07-08 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,76189,29536760
2018-07-07 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,271123,28810018
2018-07-06 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,306616,29089882
2018-07-05 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,258621,27763596
2018-07-04 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,57629,26856534
2018-07-03 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,241453,27559808
2018-07-02 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,235015,26500852
2018-07-01 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,55149,27109834
2018-06-30 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,91475,25330984
2018-06-29 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,315130,21971402
2018-06-28 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,289222,20311514
2018-06-27 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,234341,20192932
2018-06-26 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,183344,20779428
2018-06-25 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,198528,20437134
2018-06-24 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,43281,21401650
2018-06-23 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,184945,21107706
2018-06-22 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,306796,22699644
2018-06-21 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,227729,23242858
2018-06-20 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,261580,23684008
2018-06-19 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,222331,25210234
2018-06-18 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,278526,24939256
2018-06-17 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,325037,25408752
2018-06-16 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,181458,25139664
2018-06-15 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,298673,26108296
2018-06-14 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,262777,25553140
2018-06-13 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,215629,26876326
2018-06-12 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,301593,26958216
2018-06-11 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,241488,26266676
2018-06-10 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,157843,30721196
2018-06-09 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,109623,31565282
2018-06-08 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,313245,32688800
2018-06-07 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,356237,32513568
2018-06-06 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,312342,31566008
2018-06-05 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,207491,30907480
2018-06-04 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,205098,33646076
2018-06-03 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,118024,31781538
2018-06-02 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,68087,31435696
2018-06-01 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,66915,31935432
2018-05-31 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,83654,30971632
2018-05-30 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,111493,31893126
2018-05-29 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,258891,30512482
2018-05-28 00:00:00 +0000 UTC,0.1,0.2,0.1,0.1,358101,36055252
2018-05-27 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,113424,33181444
2018-05-26 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,136672,34233916
2018-05-25 00:00:00 +0000 UTC,0.2,0.2,0.1,0.1,394335,38149652
2018-05-24 00:00:00 +0000 UTC,0.1,0.2,0.1,0.2,347176,35468420
