Date,Open,High,Low,Close,Volume,MarketCap
2018-08-30 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,32506,11277581
2018-08-29 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,18533,10700087
2018-08-28 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,13923,10393039
2018-08-27 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,27265,10080007
2018-08-26 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,12452,10156748
2018-08-25 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,12258,10090183
2018-08-24 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,10276,9158109
2018-08-23 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,48923,10565651
2018-08-22 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,40550,9406825
2018-08-21 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,11127,9197252
2018-08-20 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,15175,10196631
2018-08-19 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,14891,10312154
2018-08-18 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,11177,10700660
2018-08-17 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,16561,9784169
2018-08-16 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,25263,9087559
2018-08-15 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,23383,9268274
2018-08-14 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,40380,8323426
2018-08-13 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,21371,9533901
2018-08-12 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,11910,8974691
2018-08-11 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,13410,9591785
2018-08-10 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,34286,9746714
2018-08-09 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,9107,9852318
2018-08-08 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,8542,10150320
2018-08-07 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,20079,10980404
2018-08-06 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,9597,10882383
2018-08-05 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,12023,11848517
2018-08-04 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,11606,11488619
2018-08-03 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,19109,10525984
2018-08-02 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,35678,11071243
2018-08-01 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,57536,11558762
2018-07-31 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,20978,12355659
2018-07-30 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,21528,12810805
2018-07-29 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,17541,12957929
2018-07-28 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,26886,13104931
2018-07-27 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,15358,12640934
2018-07-26 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,14729,12995772
2018-07-25 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,18846,13118507
2018-07-24 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,19544,12292352
2018-07-23 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,22469,12096281
2018-07-22 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,12024,12708419
2018-07-21 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,34193,12965155
2018-07-20 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,49148,10615887
2018-07-19 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,42968,11472966
2018-07-18 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,33881,11249556
2018-07-17 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,69322,9810277
2018-07-16 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,23729,9335556
2018-07-15 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,11048,8928967
2018-07-14 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,8923,9479411
2018-07-13 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,61055,8498214
2018-07-12 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,39763,9367054
2018-07-11 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,12006,8894965
2018-07-10 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,34638,9856983
2018-07-09 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,15168,9898534
2018-07-08 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,19895,10738328
2018-07-07 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,7948,9980009
2018-07-06 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,12884,10330030
2018-07-05 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,20295,9493595
2018-07-04 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,18139,9999560
2018-07-03 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,13411,0
2018-07-02 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,14760,0
2018-07-01 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,46932,0
2018-06-30 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,25742,0
2018-06-29 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,44985,0
2018-06-28 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,88967,0
2018-06-27 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,67742,0
2018-06-26 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,11107,0
2018-06-25 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,33652,0
2018-06-24 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,18512,0
2018-06-23 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,8626,0
2018-06-22 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,30558,0
2018-06-21 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,21484,0
2018-06-20 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,18643,0
2018-06-19 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,43631,0
2018-06-18 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,26426,0
2018-06-17 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,23604,0
2018-06-16 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,18052,0
2018-06-15 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,15926,0
2018-06-14 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,47237,0
2018-06-13 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,34380,0
2018-06-12 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,42430,0
2018-06-11 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,167929,0
2018-06-10 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,78731,0
2018-06-09 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,125962,0
2018-06-08 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,69812,0
2018-06-07 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,66279,0
2018-06-06 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,47422,0
2018-06-05 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,47652,0
2018-06-04 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,73953,0
2018-06-03 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,166438,0
2018-06-02 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,77251,0
2018-06-01 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,50899,0
2018-05-31 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,51966,0
2018-05-30 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,143318,0
2018-05-29 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,156176,0
2018-05-28 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,137957,0
2018-05-27 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,78963,0
2018-05-26 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,109559,0
2018-05-25 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,104412,0
2018-05-24 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,153558,0
2018-05-23 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,144667,0
2018-05-22 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,245464,0
