Date,Open,High,Low,Close,Volume,MarketCap
2018-08-28 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1,41333
2018-08-27 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1,40371
2018-08-24 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1,39270
2018-08-23 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1,38847
2018-08-19 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,2,38444
2018-08-18 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,2,38459
2018-08-14 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1,37607
2018-08-13 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1,37962
2018-08-12 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,9,37664
2018-08-07 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,34,41656
2018-08-06 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,33,42333
2018-08-05 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,50,42107
2018-08-04 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1,44737
2018-08-03 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,3,45275
2018-08-02 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,111,45699
2018-08-01 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,6,45444
2018-07-31 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1,98178
2018-07-30 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,217,98688
2018-07-29 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,158,97737
2018-07-28 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,5,49057
2018-07-27 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,149,47725
2018-07-26 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,319,49057
2018-07-25 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,306,49689
2018-07-24 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,448,46327
2018-07-23 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1088,45716
2018-07-22 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,2,44443
2018-07-21 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,3,44030
2018-07-20 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,5,89718
2018-07-19 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1,44259
2018-07-18 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,79,44619
2018-07-17 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,3,40421
2018-07-16 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,3,38203
2018-07-15 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,320,37615
2018-07-14 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,233,37443
2018-07-13 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,13,37477
2018-07-12 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,4224,38361
2018-07-11 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1362,37936
2018-07-10 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,6,38321
2018-07-09 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,2,40266
2018-07-08 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,2,40575
2018-07-07 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,239,79238
2018-07-06 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,206,39235
2018-07-05 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,14,39546
2018-07-04 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,5,39024
2018-07-03 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,194,39478
2018-07-02 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,141,38101
2018-07-01 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,667,38346
2018-06-30 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1085,37251
2018-06-29 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,6,70462
2018-06-28 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,231,36824
2018-06-27 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,693,36503
2018-06-26 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,53,37290
2018-06-25 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1,36925
2018-06-24 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,23,37021
2018-06-23 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,13,72665
2018-06-22 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,81,40311
2018-06-21 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,416,40532
2018-06-20 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,305,40553
2018-06-19 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,118,40404
2018-06-18 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,46,38885
2018-06-17 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,4,39190
2018-06-16 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,29,38554
2018-06-15 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,121,39885
2018-06-14 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,69,37938
2018-06-13 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,5,39521
2018-06-12 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,65,82698
2018-06-11 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,182,40675
2018-06-10 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,8,90116
2018-06-09 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,997,45789
2018-06-08 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,218,46122
2018-06-07 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,265,91934
2018-06-06 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,235,45770
2018-06-05 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,4292,90079
2018-06-04 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,5551,138840
2018-06-03 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,891606,45835
2018-06-02 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,8,45126
2018-06-01 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,7,89951
2018-05-31 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,260,88643
2018-05-30 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,68,89627
2018-05-29 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,499,42736
2018-05-28 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,508,44098
2018-05-27 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,11,88072
2018-05-26 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1,44833
2018-05-25 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,2,45403
2018-05-24 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,8,45143
2018-05-23 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,17,48048
2018-05-22 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,2,100950
2018-05-21 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,126,51194
2018-05-20 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,2735,99002
2018-05-19 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,73,98924
2018-05-18 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,49,48496
2018-05-17 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,42,50119
2018-05-16 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,12,101892
2018-05-15 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,179,104153
2018-05-14 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,26,104343
2018-05-13 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,3,101671
2018-05-12 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,43,100797
2018-05-11 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1,54259
2018-05-10 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,40,111830
2018-05-09 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,208,55225
2018-05-08 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,10,112467
2018-05-07 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,596,115430
2018-05-06 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,30,59006
2018-05-05 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,400,58189
2018-05-04 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,599,57785
2018-05-03 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,26,55347
2018-05-02 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1014,109062
2018-05-01 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,24,110954
2018-04-30 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,568,112883
2018-04-29 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1485,112210
2018-04-28 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,402,107049
2018-04-27 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1822,111629
2018-04-26 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,74,106417
2018-04-25 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,438,116443
2018-04-24 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,6262,107161
