Date,Open,High,Low,Close,Volume,MarketCap
2018-08-30 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,132918,4699013
2018-08-29 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,115769,4767007
2018-08-28 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,51879,4934076
2018-08-27 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,104910,4772541
2018-08-26 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,102194,4816183
2018-08-25 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,114141,4912293
2018-08-24 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,97872,5094631
2018-08-23 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,123946,5026591
2018-08-22 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,113847,5167683
2018-08-21 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,78590,5071376
2018-08-20 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,102057,5884931
2018-08-19 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,110744,5094191
2018-08-18 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,125088,6202180
2018-08-17 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,131376,4996607
2018-08-16 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,100997,5190338
2018-08-15 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,86396,5147537
2018-08-14 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,113186,5942791
2018-08-13 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,139635,6640813
2018-08-12 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,131969,6698509
2018-08-11 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,115607,7276322
2018-08-10 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,124140,8029661
2018-08-09 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,173907,7831587
2018-08-08 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,130788,8336658
2018-08-07 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,91190,8933456
2018-08-06 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,43457,9461867
2018-08-05 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,199866,8951569
2018-08-04 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,239439,9993377
2018-08-03 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,169374,9054534
2018-08-02 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,268782,9712735
2018-08-01 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,225717,9981548
2018-07-31 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,230050,10972780
2018-07-30 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,399397,10221106
2018-07-29 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,119842,10240075
