Date,Open,High,Low,Close,Volume,MarketCap
2018-08-30 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,63182,1523394
2018-08-29 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,185,1697125
2018-08-28 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,307,1621214
2018-08-27 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,3461,1577949
2018-08-26 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,64,1565443
2018-08-25 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,221,1522665
2018-08-24 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,15703,1548956
2018-08-23 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,2355,1545222
2018-08-22 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,10041,1624234
2018-08-21 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,14360,1250899
2018-08-20 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,2604,1414269
2018-08-19 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,7478,1347383
2018-08-18 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1254,1452482
2018-08-17 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,5191,1110458
2018-08-16 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,3844,1273236
2018-08-15 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,194,1158759
2018-08-14 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,4446,1293547
2018-08-13 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,55166,1411009
2018-08-12 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,109269,1444189
2018-08-11 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,105046,1590277
2018-08-10 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,113885,1840659
2018-08-09 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,137664,1549321
2018-08-08 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,127291,1853566
2018-08-07 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,126596,2070810
2018-08-06 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,156163,2273495
2018-08-05 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,169548,2258492
2018-08-04 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,183358,2448957
2018-08-03 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,177524,2413269
2018-08-02 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,189657,2445554
2018-08-01 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,183892,2629586
2018-07-31 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,216074,2731652
2018-07-30 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,226432,2604870
2018-07-29 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,208051,2602347
2018-07-28 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,210456,2432955
2018-07-27 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,161687,2362522
2018-07-26 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,196885,2549786
2018-07-25 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,199732,2828035
2018-07-24 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,190193,2683528
2018-07-23 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,232538,2709413
2018-07-22 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,222958,2798124
2018-07-21 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,213186,2877186
2018-07-20 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,226615,2768502
2018-07-19 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,261206,2963086
2018-07-18 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,263760,3308609
2018-07-17 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,282053,2970935
2018-07-16 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,251803,3100862
2018-07-15 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,245161,3060101
2018-07-14 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,257742,3105145
2018-07-13 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,260004,3040028
2018-07-12 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,254948,3043178
2018-07-11 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,227018,2795388
2018-07-10 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,121234,3058518
2018-07-09 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,200229,3267062
2018-07-08 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,269514,3193874
2018-07-07 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,217156,2986115
2018-07-06 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,229602,3069312
2018-07-05 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,236721,3374444
2018-07-04 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,281452,2898443
2018-07-03 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,307009,3626397
2018-07-02 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,281019,3672699
