Date,Open,High,Low,Close,Volume,MarketCap
2018-07-27 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1,38544
2018-07-26 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1,39993
2018-07-25 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,664,41176
2018-07-24 00:00:00 +0000 UTC,0.1,0.1,0.0,0.0,1045,90595
2018-07-23 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,555,92079
2018-07-22 00:00:00 +0000 UTC,0.0,0.1,0.0,0.1,125,48100
2018-07-21 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,429,67809
2018-07-20 00:00:00 +0000 UTC,0.1,0.1,0.0,0.0,739,89336
2018-07-19 00:00:00 +0000 UTC,0.0,0.1,0.0,0.1,105,65248
2018-07-18 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,582,36006
2018-07-17 00:00:00 +0000 UTC,0.0,0.1,0.0,0.0,271,61975
2018-07-16 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,55,69954
2018-07-15 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,98,56312
2018-07-14 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,28,57323
2018-07-13 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,82,38145
2018-07-12 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,550,68152
2018-07-11 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,160,69107
2018-07-10 00:00:00 +0000 UTC,0.1,0.1,0.0,0.0,868,76786
2018-07-09 00:00:00 +0000 UTC,0.0,0.1,0.0,0.1,11301,38042
2018-07-08 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,36,73036
2018-07-07 00:00:00 +0000 UTC,0.0,0.1,0.0,0.0,317,36424
2018-07-06 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,333,74709
2018-07-05 00:00:00 +0000 UTC,0.0,0.1,0.0,0.0,129,62599
2018-07-04 00:00:00 +0000 UTC,0.1,0.1,0.0,0.0,7,78622
2018-07-03 00:00:00 +0000 UTC,0.0,0.1,0.0,0.1,76,40159
2018-07-02 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,17,31062
2018-07-01 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,13,29021
2018-06-30 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,13,38833
2018-06-29 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,90,35790
2018-06-28 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,365,25719
2018-06-27 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,20,25402
2018-06-26 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,4,66685
2018-06-25 00:00:00 +0000 UTC,0.1,0.1,0.0,0.0,43,81680
2018-06-24 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,12,81894
2018-06-23 00:00:00 +0000 UTC,0.0,0.1,0.0,0.1,19,52514
2018-06-22 00:00:00 +0000 UTC,0.1,0.1,0.0,0.0,286,88556
