Date,Open,High,Low,Close,Volume,MarketCap
2018-08-30 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,65,21208
2018-08-29 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,21,20033
2018-08-28 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,5,19494
2018-08-27 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,5,19789
2018-08-26 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,80,16506
2018-08-25 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,63,17876
2018-08-24 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,116,15967
2018-08-23 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,926,16268
2018-08-22 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,144,17729
2018-08-21 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,23,17270
2018-08-20 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,144,19524
2018-08-19 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,20,17715
2018-08-18 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,69,18231
2018-08-17 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,58,17378
2018-08-16 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,351,19298
2018-08-15 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,106,19059
2018-08-14 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,317,19979
2018-08-13 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,80,20026
2018-08-12 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,4,19646
2018-08-11 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,67,19194
2018-08-10 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,45,22666
2018-08-09 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,146,22798
2018-08-08 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,983,17825
2018-08-06 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,34,29375
2018-08-05 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,49,29218
2018-08-04 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,10,27297
2018-08-03 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,15,33135
2018-08-02 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,8,26756
2018-08-01 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,124,29372
2018-07-31 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,74,30846
2018-07-30 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,6,34641
2018-07-29 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,78,34674
2018-07-27 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,21,36221
2018-07-26 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,195,34040
2018-07-25 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,339,39193
2018-07-24 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,74,34909
2018-07-23 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,357,36344
2018-07-22 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,216,36140
2018-07-21 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,116,47380
2018-07-20 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,547,40247
2018-07-19 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,869,52905
2018-07-18 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,360,56020
2018-07-17 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,159,46783
2018-07-16 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,18,47323
2018-07-14 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,6,43235
2018-07-13 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,6,42462
2018-07-12 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,3,43047
2018-07-11 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,9,42674
2018-07-10 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,2,47270
2018-07-09 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,2,49988
2018-07-08 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,48,50295
2018-07-07 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,18,46821
2018-07-06 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,31,48814
2018-07-05 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,51,49093
2018-07-04 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,335,49080
2018-07-03 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,64,52433
2018-07-02 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,116,48436
2018-07-01 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,131,48227
2018-06-30 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,475,46951
