Date,Open,High,Low,Close,Volume,MarketCap
2018-08-30 00:00:00 +0000 UTC,554.1,556.5,527.9,540.0,337841000,9596489137
2018-08-29 00:00:00 +0000 UTC,564.4,567.2,548.5,554.4,299414000,9774498918
2018-08-28 00:00:00 +0000 UTC,545.1,571.0,541.2,565.3,429636000,9438756438
2018-08-27 00:00:00 +0000 UTC,523.0,546.4,520.1,546.4,305426000,9055787194
2018-08-26 00:00:00 +0000 UTC,536.5,536.5,516.6,522.9,257257000,9288151341
2018-08-25 00:00:00 +0000 UTC,535.0,542.0,529.7,537.2,272027000,9261256059
2018-08-24 00:00:00 +0000 UTC,531.5,537.5,522.9,535.4,304350000,9200802410
2018-08-23 00:00:00 +0000 UTC,519.1,532.0,515.9,530.8,282362000,8984694819
2018-08-22 00:00:00 +0000 UTC,535.1,570.6,512.1,520.0,319315000,9261198941
2018-08-21 00:00:00 +0000 UTC,514.1,540.0,514.1,536.6,304026000,8895268484
2018-08-20 00:00:00 +0000 UTC,570.1,575.6,513.1,515.7,374592000,9864131134
2018-08-19 00:00:00 +0000 UTC,554.9,579.6,545.0,569.9,383846000,9600525027
2018-08-18 00:00:00 +0000 UTC,597.7,606.9,541.0,554.9,413731000,10338847631
2018-08-17 00:00:00 +0000 UTC,516.6,597.0,516.2,597.0,463256000,8934808892
2018-08-16 00:00:00 +0000 UTC,512.9,538.3,506.8,517.4,402136000,8869938910
2018-08-15 00:00:00 +0000 UTC,513.2,540.5,508.1,513.7,378019000,8875620328
2018-08-14 00:00:00 +0000 UTC,535.0,535.0,481.4,509.3,420396000,9250602092
2018-08-13 00:00:00 +0000 UTC,571.0,591.9,529.0,536.0,379411000,9872700474
2018-08-12 00:00:00 +0000 UTC,564.4,580.8,561.1,571.0,324257000,9757981734
2018-08-11 00:00:00 +0000 UTC,571.9,582.6,548.5,566.8,341530000,9885729249
2018-08-10 00:00:00 +0000 UTC,610.4,612.7,565.0,572.4,345223000,10549398295
2018-08-09 00:00:00 +0000 UTC,590.5,619.5,581.3,610.8,355208000,10205638002
2018-08-08 00:00:00 +0000 UTC,660.0,660.0,575.6,585.5,450595000,11406131540
2018-08-07 00:00:00 +0000 UTC,692.6,712.3,653.8,659.4,378007000,11967912061
2018-08-06 00:00:00 +0000 UTC,711.0,718.6,684.4,692.6,316406000,12284172513
2018-08-05 00:00:00 +0000 UTC,696.1,715.5,687.9,709.2,313362000,12024688233
2018-08-04 00:00:00 +0000 UTC,723.3,735.0,691.6,695.7,327670000,12493293765
2018-08-03 00:00:00 +0000 UTC,732.8,732.8,704.6,724.7,361851000,12656535287
2018-08-02 00:00:00 +0000 UTC,767.7,773.7,726.9,734.8,387197000,13257608480
2018-08-01 00:00:00 +0000 UTC,780.0,780.0,740.3,769.4,499193000,13468236361
2018-07-31 00:00:00 +0000 UTC,816.7,816.7,766.3,777.1,420759000,14101953800
2018-07-30 00:00:00 +0000 UTC,828.5,829.9,790.1,816.1,568282000,14304408204
2018-07-29 00:00:00 +0000 UTC,821.0,835.6,813.8,829.0,565436032,14172835840
2018-07-28 00:00:00 +0000 UTC,821.5,826.4,803.7,818.8,525351008,14179516416
2018-07-27 00:00:00 +0000 UTC,804.4,829.4,785.6,819.4,589747968,13882286080
2018-07-26 00:00:00 +0000 UTC,830.7,856.0,795.7,806.2,597276992,14336219136
2018-07-25 00:00:00 +0000 UTC,863.2,870.7,822.5,831.5,692334016,14894816256
2018-07-24 00:00:00 +0000 UTC,785.6,871.5,778.6,869.5,905811968,13554297856
2018-07-23 00:00:00 +0000 UTC,789.7,828.4,783.5,784.4,608630016,13623557120
2018-07-22 00:00:00 +0000 UTC,788.5,820.1,781.3,788.7,529767008,13601174528
2018-07-21 00:00:00 +0000 UTC,767.9,797.1,750.7,789.5,513512992,13244620800
2018-07-20 00:00:00 +0000 UTC,823.4,823.4,765.2,767.7,612099008,14200651776
2018-07-19 00:00:00 +0000 UTC,828.4,840.4,808.7,824.9,684182976,14286016512
2018-07-18 00:00:00 +0000 UTC,849.8,881.0,814.6,829.9,720550976,14652491776
2018-07-17 00:00:00 +0000 UTC,803.1,863.3,784.9,850.8,752280000,13846744064
2018-07-16 00:00:00 +0000 UTC,724.5,806.9,719.0,805.7,534068000,12489612288
