Date,Open,High,Low,Close,Volume,MarketCap
2018-08-30 00:00:00 +0000 UTC,1.1,1.1,1.1,1.1,291772,11326147
2018-08-29 00:00:00 +0000 UTC,1.1,1.1,1.0,1.1,442527,11353696
2018-08-28 00:00:00 +0000 UTC,1.1,1.1,1.1,1.1,267794,11430258
2018-08-27 00:00:00 +0000 UTC,1.1,1.1,1.1,1.1,161558,11316191
2018-08-26 00:00:00 +0000 UTC,1.1,1.1,1.1,1.1,145724,11354498
2018-08-25 00:00:00 +0000 UTC,1.1,1.1,1.1,1.1,215010,11424080
2018-08-24 00:00:00 +0000 UTC,1.1,1.1,1.1,1.1,74218,11425283
2018-08-23 00:00:00 +0000 UTC,1.1,1.1,1.1,1.1,155281,11544567
2018-08-22 00:00:00 +0000 UTC,1.1,1.1,1.1,1.1,366936,11422558
2018-08-21 00:00:00 +0000 UTC,1.0,1.1,1.0,1.1,383718,10936730
2018-08-20 00:00:00 +0000 UTC,1.1,1.1,1.1,1.1,129270,11281500
2018-08-19 00:00:00 +0000 UTC,1.1,1.1,1.1,1.1,222116,11229563
2018-08-18 00:00:00 +0000 UTC,1.1,1.1,1.1,1.1,908151,11441933
2018-08-17 00:00:00 +0000 UTC,1.1,1.1,1.1,1.1,475715,11276710
2018-08-16 00:00:00 +0000 UTC,1.1,1.1,1.1,1.1,174300,11068468
2018-08-15 00:00:00 +0000 UTC,1.1,1.1,1.1,1.1,899318,11809630
2018-08-14 00:00:00 +0000 UTC,1.1,1.1,1.0,1.1,1617830,12023144
2018-08-13 00:00:00 +0000 UTC,1.1,1.1,1.1,1.1,457378,11920532
2018-08-12 00:00:00 +0000 UTC,1.1,1.1,1.1,1.1,230216,11857933
2018-08-11 00:00:00 +0000 UTC,1.1,1.1,1.1,1.1,1394740,12130422
2018-08-10 00:00:00 +0000 UTC,1.1,1.1,1.0,1.1,668790,12107843
2018-08-09 00:00:00 +0000 UTC,1.1,1.1,1.0,1.1,1023860,12068711
2018-08-08 00:00:00 +0000 UTC,1.0,1.1,1.0,1.1,3612060,11714943
2018-08-07 00:00:00 +0000 UTC,1.0,1.0,1.0,1.0,300887,12025002
2018-08-06 00:00:00 +0000 UTC,1.0,1.0,1.0,1.0,219019,12079460
2018-08-05 00:00:00 +0000 UTC,1.0,1.0,1.0,1.0,117182,12002835
2018-08-04 00:00:00 +0000 UTC,1.1,1.1,1.0,1.0,182653,12300653
2018-08-03 00:00:00 +0000 UTC,1.0,1.1,1.0,1.1,2086830,12071817
2018-08-02 00:00:00 +0000 UTC,1.1,1.1,1.0,1.0,23945,12326301
2018-08-01 00:00:00 +0000 UTC,1.1,1.1,1.0,1.1,90493,12583491
2018-07-31 00:00:00 +0000 UTC,1.0,1.1,1.0,1.1,2100720,12313459
2018-07-30 00:00:00 +0000 UTC,1.0,1.1,1.0,1.0,1236680,12216729
2018-07-29 00:00:00 +0000 UTC,1.0,1.0,1.0,1.0,115186,12261848
2018-07-28 00:00:00 +0000 UTC,1.0,1.0,1.0,1.0,286898,12289335
2018-07-27 00:00:00 +0000 UTC,1.0,1.1,1.0,1.0,841153,12091909
2018-07-26 00:00:00 +0000 UTC,1.0,1.0,1.0,1.0,307234,11997414
2018-07-25 00:00:00 +0000 UTC,1.0,1.0,1.0,1.0,434595,12036780
2018-07-24 00:00:00 +0000 UTC,1.0,1.1,1.0,1.0,874438,11903169
2018-07-23 00:00:00 +0000 UTC,1.0,1.1,1.0,1.0,143205,11758896
2018-07-22 00:00:00 +0000 UTC,1.0,1.0,1.0,1.0,38196,11873396
2018-07-21 00:00:00 +0000 UTC,1.0,1.0,1.0,1.0,18872,12013632
2018-07-20 00:00:00 +0000 UTC,1.0,1.0,1.0,1.0,120343,11721963
2018-07-19 00:00:00 +0000 UTC,1.0,1.1,1.0,1.0,1299050,11998308
