Date,Open,High,Low,Close,Volume,MarketCap
2018-08-30 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,2400,984108
2018-08-29 00:00:00 +0000 UTC,0.1,0.2,0.1,0.1,544,1009944
2018-08-28 00:00:00 +0000 UTC,0.1,0.2,0.1,0.1,1094,968889
2018-08-27 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,624,989024
2018-08-26 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,13,1000889
2018-08-25 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,31,990480
2018-08-24 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,90,881529
2018-08-23 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,1021,789926
2018-08-22 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,944,906429
2018-08-21 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,863,929474
2018-08-20 00:00:00 +0000 UTC,0.1,0.2,0.1,0.1,1447,1045363
2018-08-19 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,520,895496
2018-08-18 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,345,1059827
2018-08-17 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,40,839490
2018-08-16 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,47,967525
2018-08-15 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,234,858377
2018-08-14 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,271,832665
2018-08-13 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,457,884749
2018-08-12 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,992,978367
2018-08-11 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,619,1011379
2018-08-10 00:00:00 +0000 UTC,0.1,0.2,0.1,0.1,1254,1064640
2018-08-09 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,551,1054787
2018-08-08 00:00:00 +0000 UTC,0.2,0.2,0.0,0.1,73,1173750
2018-08-07 00:00:00 +0000 UTC,0.2,0.2,0.1,0.2,255,1160020
2018-08-06 00:00:00 +0000 UTC,0.1,0.2,0.1,0.2,835,1091451
2018-08-05 00:00:00 +0000 UTC,0.1,0.2,0.1,0.1,613,1036981
2018-08-04 00:00:00 +0000 UTC,0.2,0.2,0.1,0.1,2482,1123460
2018-08-03 00:00:00 +0000 UTC,0.2,0.2,0.1,0.2,2627,1165640
2018-08-02 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,180,1708806
2018-08-01 00:00:00 +0000 UTC,0.2,0.2,0.1,0.2,4571,1146610
2018-07-31 00:00:00 +0000 UTC,0.2,0.2,0.1,0.2,3218,1164528
2018-07-30 00:00:00 +0000 UTC,0.2,0.2,0.1,0.2,5116,1233255
2018-07-29 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,4169,1496416
