Date,Open,High,Low,Close,Volume,MarketCap
2018-08-30 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,0,96881
2018-08-29 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,0,97523
2018-08-28 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,0,96894
2018-08-26 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,0,94600
2018-08-25 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,0,73181
2018-08-23 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,0,89080
2018-08-22 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,0,88795
2018-08-16 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,0,87780
2018-08-15 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1,56783
2018-08-13 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,0,88461
2018-08-12 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,445,87510
2018-08-11 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,440,84999
2018-08-09 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,0,88634
2018-08-08 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,55,77153
2018-08-07 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,0,98714
2018-08-06 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,0,100318
2018-08-05 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,0,100380
2018-08-04 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,580,105598
2018-08-03 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,593,107290
2018-08-02 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1120,108295
2018-08-01 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,377,110210
2018-07-31 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,387,110291
2018-07-28 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,0,116252
2018-07-27 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1,113096
2018-07-26 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,21,116251
2018-07-25 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,4,117750
2018-07-24 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,13,109783
2018-07-23 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,63,128007
2018-07-22 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,17,77255
2018-07-20 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,0,95674
2018-07-19 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1,94393
2018-07-18 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,0,94058
2018-07-16 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,18,66390
2018-07-15 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,17,80223
2018-07-14 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,10,79857
2018-07-13 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,0,79642
2018-07-11 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,0,80909
2018-07-10 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,67,88467
2018-07-09 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,9,73049
2018-07-08 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,30,90543
2018-07-07 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,35,86062
2018-07-06 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,29,70400
2018-07-05 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,0,87465
2018-07-04 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,13,118678
2018-07-03 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,428,123957
2018-07-02 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,835,63693
2018-07-01 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,0,116616
2018-06-30 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,0,113464
2018-06-23 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,0,118385
2018-06-22 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,101,134532
2018-06-21 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1,92849
2018-06-20 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,0,92752
2018-06-19 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,0,100535
2018-06-18 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,0,115953
2018-06-17 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,16,116890
2018-06-13 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,133,121750
2018-06-12 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,139,135547
2018-06-11 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,7,125307
2018-06-10 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,3626,149486
2018-06-09 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,0,170900
2018-06-08 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,5746,219503
2018-06-07 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,203,207874
2018-06-06 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,354,211501
2018-06-05 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,4,160098
2018-06-04 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,722,219343
2018-06-03 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,994,197515
2018-06-02 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,304,194267
2018-06-01 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,299,191845
2018-05-31 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,0,155795
2018-05-30 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,0,175223
2018-05-29 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1,183134
2018-05-28 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,575,108854
2018-05-27 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,6,105223
2018-05-26 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,4,159365
2018-05-25 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,78,168561
2018-05-24 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,259,211280
2018-05-23 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1068,203053
2018-05-22 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,3614,141541
2018-05-21 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,263,130792
2018-05-19 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1,127957
2018-05-18 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,138,125458
2018-05-17 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,78,134604
2018-05-16 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,0,132450
2018-05-14 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1,103028
2018-05-13 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1,100389
2018-05-12 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,148,83948
2018-05-11 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,147,190788
2018-05-10 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,278,106747
2018-05-09 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,13,121620
2018-05-08 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,93,224319
2018-05-07 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,424,239347
2018-05-06 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,88,236062
2018-05-05 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,2,113762
2018-05-04 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,3,79739
2018-05-03 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,19,79102
2018-05-02 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1,163278
2018-05-01 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,372,276077
2018-04-30 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1,143874
2018-04-29 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,556,111350
2018-04-28 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,662,180424
2018-04-27 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,776,207549
2018-04-26 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,493,212452
2018-04-25 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1035,80482
2018-04-24 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,348,129478
2018-04-23 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,23,231113
2018-04-22 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,207,156495
2018-04-21 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,269,155141
2018-04-20 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,432,145086
2018-04-19 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,290,170871
2018-04-18 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,327,164757
2018-04-17 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,48968,228079
2018-04-16 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,577,107842
