Date,Open,High,Low,Close,Volume,MarketCap
2018-08-30 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,28723,1060513
2018-08-29 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,25084,1066588
2018-08-28 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,21662,1019409
2018-08-27 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,24919,1012979
2018-08-26 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,23771,1058706
2018-08-25 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,23094,1007577
2018-08-24 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,25881,1041529
2018-08-23 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,23635,973956
2018-08-22 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,25443,1167267
2018-08-21 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,28937,1030136
2018-08-20 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,26374,1085059
2018-08-19 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,21597,1083029
2018-08-18 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,28793,1186821
2018-08-17 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,25936,1239769
2018-08-16 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,23461,1429912
2018-08-15 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,21365,1375182
2018-08-14 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,23925,1310358
2018-08-13 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,34040,959412
2018-08-12 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,23767,824210
2018-08-11 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,26749,1021922
2018-08-10 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,27871,990925
2018-08-09 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,28578,883586
2018-08-08 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,25624,997515
2018-08-07 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,26915,1141509
2018-08-06 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,31273,1088037
2018-08-05 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,29362,1112510
2018-08-04 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,29618,1040292
2018-08-03 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,31864,1170776
2018-08-02 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,28799,1278743
2018-08-01 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,35554,1163306
2018-07-31 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,31945,1130484
2018-07-30 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,34197,1100646
2018-07-29 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,33651,916701
2018-07-28 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,33372,1230815
2018-07-27 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,35475,1274540
2018-07-26 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,33021,1268142
2018-07-25 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,27883,1427893
2018-07-24 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,36609,1327580
2018-07-23 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,37798,1231053
2018-07-22 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,34121,1267116
2018-07-21 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,29604,1107296
2018-07-20 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,35383,1194485
2018-07-19 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,30761,1103412
2018-07-18 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,35733,809508
2018-07-17 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,33244,805425
2018-07-16 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,33530,1113839
2018-07-15 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,27087,1057328
2018-07-14 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,29617,1026245
2018-07-13 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,31653,995875
2018-07-12 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,27979,1162107
2018-07-11 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,31609,1126772
2018-07-10 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,27660,1253524
2018-07-09 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,34086,1233865
2018-07-08 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,26459,1344926
2018-07-07 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,26576,1236454
2018-07-06 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,29376,1205647
2018-07-05 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,33806,1312548
2018-07-04 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,34718,1327672
2018-07-03 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,29885,1301539
2018-07-02 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,27206,1333801
2018-07-01 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,27939,1349102
2018-06-30 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,30158,1412210
2018-06-29 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,16583,1459550
2018-06-28 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,21375,1279273
2018-06-27 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,28489,1227249
2018-06-26 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,47844,1307310
2018-06-25 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,33457,1326911
2018-06-24 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,28522,1296147
2018-06-23 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,24803,1126186
2018-06-22 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,65554,1327179
2018-06-21 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,29489,1298868
2018-06-20 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,28233,1267826
2018-06-19 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,26568,1303926
2018-06-18 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,46419,1243490
2018-06-17 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,33280,1207856
2018-06-16 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,33812,1243532
2018-06-15 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,47620,1248071
2018-06-14 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,29125,1082236
2018-06-13 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,32085,1068267
2018-06-12 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,57340,1042929
2018-06-11 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,64000,888169
2018-06-10 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,36599,987439
2018-06-09 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,45661,959031
2018-06-08 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,46195,1126337
2018-06-07 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,123144,1239009
2018-06-06 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,132558,1244356
2018-06-05 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,80282,1255850
2018-06-04 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,63029,1089101
2018-06-03 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,36051,1200570
2018-06-02 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,49699,1310601
2018-06-01 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,55753,1360218
2018-05-31 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,84726,1311474
2018-05-30 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,32947,1354349
2018-05-29 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,30057,1278447
2018-05-28 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,35016,1451026
2018-05-27 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,35378,1408584
2018-05-26 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,35061,1521095
2018-05-25 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,37265,1624974
2018-05-24 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,80635,1712815
2018-05-23 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,43777,1818400
2018-05-22 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,101359,1715325
2018-05-21 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,104259,1846510
2018-05-20 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,39577,1685732
2018-05-19 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,50964,0
2018-05-18 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,130474,0
2018-05-17 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,113758,0
2018-05-16 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,110684,0
2018-05-15 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,51916,0
2018-05-14 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,46080,0
