Date,Open,High,Low,Close,Volume,MarketCap
2018-08-30 00:00:00 +0000 UTC,0.0,0.1,0.0,0.1,6996,2167461
2018-08-29 00:00:00 +0000 UTC,0.1,0.1,0.0,0.0,5665,2187532
2018-08-28 00:00:00 +0000 UTC,0.0,0.1,0.0,0.1,14151,2168789
2018-08-27 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,21329,2063658
2018-08-26 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,14807,2119489
2018-08-25 00:00:00 +0000 UTC,0.0,0.1,0.0,0.0,6354,2132435
2018-08-24 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,15215,2072441
2018-08-23 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,3706,2010424
2018-08-22 00:00:00 +0000 UTC,0.0,0.1,0.0,0.0,14534,2013185
2018-08-21 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,29761,1959727
2018-08-20 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,63142,2145769
2018-08-19 00:00:00 +0000 UTC,0.0,0.1,0.0,0.0,24902,2013522
2018-08-18 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,43400,2120101
2018-08-17 00:00:00 +0000 UTC,0.0,0.1,0.0,0.0,65245,2011407
2018-08-16 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,123502,1973383
2018-08-15 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,88330,1985731
2018-08-14 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,27875,2020718
2018-08-13 00:00:00 +0000 UTC,0.1,0.1,0.0,0.0,67441,2314324
2018-08-12 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,56574,2446137
2018-08-11 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,34326,2466252
2018-08-10 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,51499,2597049
2018-08-09 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,51682,2482533
2018-08-08 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,55425,2603362
2018-08-07 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,69014,2701831
2018-08-06 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,27399,2517886
2018-08-05 00:00:00 +0000 UTC,0.1,0.3,0.0,0.1,24153,2748777
2018-08-04 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,85756,3107933
2018-08-03 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,106047,3670439
2018-08-02 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,14410,3564977
2018-08-01 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,57686,3870146
2018-07-31 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,88922,3855535
2018-07-30 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,119305,3997469
2018-07-29 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,65399,3980165
2018-07-28 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,29567,3951828
2018-07-27 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,33480,4006413
2018-07-26 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,23321,4002149
2018-07-25 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,50809,4238217
2018-07-24 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,37927,4113988
2018-07-23 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,12355,4082904
2018-07-22 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,10790,4059764
2018-07-21 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,15186,4029083
2018-07-20 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,18694,4195151
2018-07-19 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,14631,4192307
2018-07-18 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,29075,4462811
2018-07-17 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,26198,4328485
2018-07-16 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,19473,4206850
2018-07-15 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,5408,4007094
2018-07-14 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,18452,4162659
2018-07-13 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,11200,4092138
2018-07-12 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,19460,4254253
2018-07-11 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,14473,4111561
2018-07-10 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,17315,4450163
2018-07-09 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,36605,4412861
2018-07-08 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,11124,4442299
2018-07-07 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,7718,4421320
2018-07-06 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,23231,4512313
2018-07-05 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,15099,4544724
2018-07-04 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,29530,4523201
2018-07-03 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,57181,4804053
2018-07-02 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,22252,4656487
2018-07-01 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,3306,4654644
2018-06-30 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,34036,4795259
2018-06-29 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,32471,4478437
2018-06-28 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,25669,4800215
2018-06-27 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,71558,4711285
2018-06-26 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,11715,4801960
2018-06-25 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,17794,4795627
2018-06-24 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,22608,4843256
2018-06-23 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,7263,4680918
2018-06-22 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,10271,5164189
2018-06-21 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,86605,5314046
2018-06-20 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,31060,5305578
2018-06-19 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,134893,5091492
2018-06-18 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,54972,4863857
2018-06-17 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,49311,4782285
2018-06-16 00:00:00 +0000 UTC,0.1,0.2,0.1,0.1,160598,6232691
2018-06-15 00:00:00 +0000 UTC,0.1,0.2,0.1,0.1,75907,5038971
2018-06-14 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,51469,4499528
2018-06-13 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,48621,4619069
2018-06-12 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,29190,4960301
2018-06-11 00:00:00 +0000 UTC,0.1,0.2,0.1,0.1,68334,4917198
2018-06-10 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,171914,5676618
2018-06-09 00:00:00 +0000 UTC,0.1,0.2,0.1,0.1,41063,6156425
2018-06-08 00:00:00 +0000 UTC,0.2,0.2,0.1,0.1,25910,6301556
2018-06-07 00:00:00 +0000 UTC,0.2,0.2,0.1,0.2,48428,6555055
2018-06-06 00:00:00 +0000 UTC,0.1,0.2,0.1,0.2,61751,6134272
2018-06-05 00:00:00 +0000 UTC,0.2,0.2,0.1,0.1,48070,6543216
2018-06-04 00:00:00 +0000 UTC,0.2,0.2,0.1,0.2,78965,7019225
2018-06-03 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,154328,6548180
2018-06-02 00:00:00 +0000 UTC,0.1,0.2,0.1,0.2,47151,6073399
2018-06-01 00:00:00 +0000 UTC,0.1,0.2,0.1,0.1,37430,5763963
2018-05-31 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,30375,5380703
2018-05-30 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,42772,5282308
2018-05-29 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,83752,4953868
2018-05-28 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,57432,5765132
2018-05-27 00:00:00 +0000 UTC,0.1,0.2,0.1,0.1,35559,5766069
2018-05-26 00:00:00 +0000 UTC,0.1,0.2,0.1,0.1,33479,5900658
2018-05-25 00:00:00 +0000 UTC,0.1,0.2,0.1,0.1,45106,6121730
2018-05-24 00:00:00 +0000 UTC,0.1,0.2,0.1,0.1,122136,5708997
2018-05-23 00:00:00 +0000 UTC,0.2,0.2,0.1,0.1,130559,7283528
2018-05-22 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,139166,7864774
2018-05-21 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,110915,7511396
2018-05-20 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,53872,7328127
2018-05-19 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,118097,7833223
2018-05-18 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,32365,7890364
2018-05-17 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,70476,8459646
2018-05-16 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,106837,8298052
2018-05-15 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,75326,8180306
2018-05-14 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,87043,8763128
2018-05-13 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,78932,8069600
2018-05-12 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,94879,7890737
2018-05-11 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,140723,8419306
2018-05-10 00:00:00 +0000 UTC,0.2,0.3,0.2,0.2,104279,8835751
2018-05-09 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,136880,8867374
2018-05-08 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,157067,9829758
2018-05-07 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,135055,10009752
2018-05-06 00:00:00 +0000 UTC,0.3,0.3,0.2,0.2,142882,11280143
2018-05-05 00:00:00 +0000 UTC,0.3,0.3,0.3,0.3,167064,10951163
2018-05-04 00:00:00 +0000 UTC,0.3,0.3,0.3,0.3,232109,11228781
2018-05-03 00:00:00 +0000 UTC,0.3,0.3,0.3,0.3,345698,11203271
2018-05-02 00:00:00 +0000 UTC,0.3,0.3,0.3,0.3,290548,11180899
2018-05-01 00:00:00 +0000 UTC,0.3,0.3,0.3,0.3,139523,11367910
2018-04-30 00:00:00 +0000 UTC,0.3,0.3,0.3,0.3,178447,11538720
2018-04-29 00:00:00 +0000 UTC,0.3,0.3,0.3,0.3,158714,12582934
2018-04-28 00:00:00 +0000 UTC,0.3,0.3,0.3,0.3,200098,11625240
2018-04-27 00:00:00 +0000 UTC,0.3,0.3,0.3,0.3,181359,12478990
2018-04-26 00:00:00 +0000 UTC,0.3,0.3,0.2,0.3,197794,10763650
2018-04-25 00:00:00 +0000 UTC,0.3,0.3,0.2,0.3,592758,13704563
2018-04-24 00:00:00 +0000 UTC,0.3,0.4,0.3,0.3,483410,13455107
2018-04-23 00:00:00 +0000 UTC,0.3,0.3,0.3,0.3,123635,13064198
2018-04-22 00:00:00 +0000 UTC,0.3,0.3,0.3,0.3,139879,11980570
2018-04-21 00:00:00 +0000 UTC,0.3,0.3,0.3,0.3,206155,13189155
2018-04-20 00:00:00 +0000 UTC,0.3,0.3,0.3,0.3,286280,13132849
2018-04-19 00:00:00 +0000 UTC,0.3,0.3,0.3,0.3,400216,11780840
2018-04-18 00:00:00 +0000 UTC,0.3,0.3,0.2,0.3,160099,10697193
2018-04-17 00:00:00 +0000 UTC,0.3,0.3,0.2,0.3,183643,10389046
2018-04-16 00:00:00 +0000 UTC,0.3,0.3,0.2,0.3,118491,10343735
