Date,Open,High,Low,Close,Volume,MarketCap
2018-08-30 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,26529,4622918
2018-08-29 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,40126,4985708
2018-08-28 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,47406,4778678
2018-08-27 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,43040,4839221
2018-08-26 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,19309,5077716
2018-08-25 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,21222,4767338
2018-08-24 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,9771,4386338
2018-08-23 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,27655,4654986
2018-08-22 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,17784,4576133
2018-08-21 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,45164,4327272
2018-08-20 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,25443,4209118
2018-08-19 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,9779,4410986
2018-08-18 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,44448,4955423
2018-08-17 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,34893,4422451
2018-08-16 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,58174,4321487
2018-08-15 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,67535,4353229
2018-08-14 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,67848,5697695
2018-08-13 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,22402,6447576
2018-08-12 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,12411,6708056
2018-08-11 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,36776,6004841
2018-08-10 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,25591,6407544
2018-08-09 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,61030,6468008
2018-08-08 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,107296,7952484
2018-08-07 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,117792,10315458
2018-08-06 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,107888,8099625
2018-08-05 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,35538,7946667
2018-08-04 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,22516,8426426
2018-08-03 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,37815,8500813
2018-08-02 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,52682,8179204
2018-08-01 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,39725,8173464
2018-07-31 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,53846,8630634
2018-07-30 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,44054,9313359
2018-07-29 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,97471,9337357
2018-07-28 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,30891,9334116
2018-07-27 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,40945,9020310
2018-07-26 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,60244,9209951
2018-07-25 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,179973,8039864
2018-07-24 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,46620,8239570
2018-07-23 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,36968,8737185
2018-07-22 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,9082,8528779
2018-07-21 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,17910,8363306
2018-07-20 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,25148,8861831
2018-07-19 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,34087,9002341
2018-07-18 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,43509,9468738
2018-07-17 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,15647,8881620
2018-07-16 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,12744,8307352
2018-07-15 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,10142,7971741
2018-07-14 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,11256,7817413
2018-07-13 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,38207,7489422
2018-07-12 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,23588,7622825
