Date,Open,High,Low,Close,Volume,MarketCap
2018-08-30 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,2368,281419
2018-08-29 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1364,262106
2018-08-28 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,279,441706
2018-08-27 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1625,206384
2018-08-26 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1320,537360
2018-08-25 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,24240,472944
2018-08-24 00:00:00 +0000 UTC,0.0,0.1,0.0,0.0,14877,894779
2018-08-23 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1869,468844
2018-08-22 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,0,468687
2018-08-21 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,0,465797
2018-08-19 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,0,461889
2018-08-18 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,0,469023
2018-08-16 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1,215632
2018-08-15 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1,209494
2018-08-14 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,0,440145
2018-08-13 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,60,443251
2018-08-12 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,0,437502
2018-08-11 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,0,417891
2018-08-10 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1,184331
2018-08-06 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,0,585648
2018-08-05 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,18,53501
2018-08-04 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,0,53543
2018-07-30 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,7,569256
2018-07-29 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,11,675972
2018-07-28 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,2,674778
2018-07-27 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,14,651549
2018-07-26 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,20,696870
2018-07-25 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,7,702930
2018-07-24 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,7,674836
2018-07-23 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,4,625904
2018-07-22 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,14,629803
2018-07-18 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,33,619238
2018-07-17 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,32,563906
2018-07-16 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,4,689010
2018-07-15 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,6,692078
2018-07-14 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,48,672898
