Date,Open,High,Low,Close,Volume,MarketCap
2018-08-30 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,530,673810
2018-08-29 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,901,672597
2018-08-28 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,536,675333
2018-08-27 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,263,677674
2018-08-26 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,125,711303
2018-08-25 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,789,655526
2018-08-24 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,312,682638
2018-08-23 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,175,643591
2018-08-22 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,427,653293
2018-08-21 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,389,614891
2018-08-20 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,237,637881
2018-08-19 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,797,656491
2018-08-18 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1293,698953
2018-08-17 00:00:00 +0000 UTC,0.0,0.1,0.0,0.0,786,652388
2018-08-16 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,814,620411
2018-08-15 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,195,613519
2018-08-14 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,294,628756
2018-08-13 00:00:00 +0000 UTC,0.0,0.1,0.0,0.0,1095,745183
2018-08-12 00:00:00 +0000 UTC,0.1,0.1,0.0,0.0,25,857097
2018-08-11 00:00:00 +0000 UTC,0.1,0.1,0.0,0.1,572,776821
2018-08-10 00:00:00 +0000 UTC,0.1,0.1,0.0,0.1,224,900595
2018-08-09 00:00:00 +0000 UTC,0.0,0.1,0.0,0.1,513,716299
2018-08-08 00:00:00 +0000 UTC,0.0,0.1,0.0,0.0,988,751040
2018-08-07 00:00:00 +0000 UTC,0.1,0.1,0.0,0.0,844,878294
2018-08-06 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,353,857775
2018-08-05 00:00:00 +0000 UTC,0.0,0.1,0.0,0.1,1550,768855
2018-08-04 00:00:00 +0000 UTC,0.0,0.1,0.0,0.0,851,707226
2018-08-03 00:00:00 +0000 UTC,0.1,0.1,0.0,0.0,1589,874368
2018-08-02 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,563,957667
2018-08-01 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,1197,956683
2018-07-31 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,543,1041311
2018-07-30 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,400,1045458
2018-07-29 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,2652,1267166
2018-07-28 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,690,1285036
2018-07-27 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,646,1261184
2018-07-26 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,1623,1332908
2018-07-25 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,642,1361573
2018-07-24 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,1308,1269098
2018-07-23 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,635,1276325
2018-07-22 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,1394,1456330
2018-07-21 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,1166,1355422
2018-07-20 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,176,1411669
2018-07-19 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,494,1351023
2018-07-18 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,1200,1310818
2018-07-17 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,684,1189404
2018-07-16 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,2996,1191590
2018-07-15 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,1858,1199223
2018-07-14 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,618,1133386
