Date,Open,High,Low,Close,Volume,MarketCap
2018-08-30 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,26582,11849563
2018-08-29 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,26690,12163621
2018-08-28 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,25872,11937339
2018-08-27 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,26836,11773978
2018-08-26 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,27077,12076013
2018-08-25 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,30375,10793443
2018-08-24 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,24509,10807187
2018-08-23 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,21576,10161986
2018-08-22 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,23324,10229233
2018-08-21 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,25831,10114868
2018-08-20 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,21279,10277702
2018-08-19 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,26560,10575850
2018-08-18 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,20989,10663875
2018-08-17 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,23332,11561935
2018-08-16 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,22687,11410884
2018-08-15 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,23161,11269367
2018-08-14 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,20902,13059242
2018-08-13 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,23096,13275767
2018-08-12 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,22785,12624355
2018-08-11 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,19170,13110771
2018-08-10 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,26076,12762181
2018-08-09 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,26311,12702230
2018-08-08 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,23123,12902834
2018-08-07 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,27860,14208500
2018-08-06 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,27212,12693092
2018-08-05 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,25899,13169836
2018-08-04 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,31918,15007169
2018-08-03 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,24865,15554382
2018-08-02 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,26106,15660871
2018-08-01 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,30472,16366949
2018-07-31 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,28718,16792352
2018-07-30 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,31257,17517204
2018-07-29 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,38208,17121764
2018-07-28 00:00:00 +0000 UTC,0.0,0.1,0.0,0.0,28522,17113306
2018-07-27 00:00:00 +0000 UTC,0.0,0.1,0.0,0.0,30738,17639216
2018-07-26 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,24851,16465269
2018-07-25 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,24585,16891246
2018-07-24 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,32454,17321120
2018-07-23 00:00:00 +0000 UTC,0.1,0.1,0.0,0.0,31488,19333860
2018-07-22 00:00:00 +0000 UTC,0.1,0.1,0.0,0.1,25674,21041336
2018-07-21 00:00:00 +0000 UTC,0.1,0.1,0.0,0.1,29495,21519674
2018-07-20 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,24198,23625072
2018-07-19 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,29453,22931300
2018-07-18 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,29833,22743260
2018-07-17 00:00:00 +0000 UTC,0.1,0.1,0.0,0.1,27442,19950158
2018-07-16 00:00:00 +0000 UTC,0.1,0.1,0.0,0.1,26793,20730080
2018-07-15 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,23399,20474566
2018-07-14 00:00:00 +0000 UTC,0.1,0.1,0.0,0.1,23790,18594972
2018-07-13 00:00:00 +0000 UTC,0.0,0.1,0.0,0.0,23419,13269427
2018-07-12 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,12424,13133803
2018-07-11 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,13109,13664431
2018-07-10 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,11564,12461549
2018-07-09 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,13559,14400541
2018-07-08 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,11949,13305771
2018-07-07 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,12281,12944232
2018-07-06 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,13870,11296763
2018-07-05 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,12423,11697858
2018-07-04 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,11771,12182216
