Date,Open,High,Low,Close,Volume,MarketCap
2018-08-30 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,4030,602717
2018-08-29 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,6144,602840
2018-08-28 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,6309,616849
2018-08-27 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,3819,578895
2018-08-26 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,3738,635447
2018-08-25 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,5866,558343
2018-08-24 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,3384,549154
2018-08-23 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,4137,642372
2018-08-22 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,4042,568091
2018-08-21 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,3341,518422
2018-08-20 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,6739,644838
2018-08-19 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,4350,650238
2018-08-18 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,4343,633555
2018-08-17 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,3801,659314
2018-08-16 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,5487,741475
2018-08-15 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,3755,742220
2018-08-14 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,3765,744852
2018-08-13 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,4182,821224
2018-08-12 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,3751,797963
2018-08-11 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,3065,749985
2018-08-10 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,4855,908834
2018-08-09 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,5469,885224
2018-08-08 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,4621,946633
2018-08-07 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,5720,1001607
2018-08-06 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,5952,947096
2018-08-05 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,6573,997072
2018-08-04 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,6391,1225659
2018-08-03 00:00:00 +0000 UTC,0.0,0.1,0.0,0.0,23988,1415869
2018-08-02 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,11853,1413481
2018-08-01 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,15184,1579512
2018-07-31 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,6881,1640985
2018-07-30 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,43878,1548903
2018-07-29 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,10351,1564435
2018-07-28 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,18105,1357537
2018-07-27 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,5660,1389118
2018-07-26 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,6395,1541193
2018-07-25 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,9590,1633138
2018-07-24 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,7176,1570880
2018-07-23 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,4811,1244894
2018-07-22 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,4503,1231114
2018-07-21 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,4940,1329426
2018-07-20 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,9317,1669192
2018-07-19 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,5154,1668817
2018-07-18 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,4760,1706391
2018-07-17 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,5127,1482405
2018-07-16 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,5774,1594836
2018-07-15 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,3889,1693805
2018-07-14 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,5466,1524671
2018-07-13 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,6671,1734474
2018-07-12 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,7157,1642416
2018-07-11 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,3570,1703380
2018-07-10 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,6329,1872507
2018-07-09 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,8079,1900703
2018-07-08 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,10440,2022010
2018-07-07 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,30392,1794661
2018-07-06 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,7511,1692950
2018-07-05 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,8118,1716616
2018-07-04 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,7731,1652656
2018-07-03 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,5802,1710624
2018-07-02 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,14435,1535335
2018-07-01 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,11518,1571311
2018-06-30 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,13239,1390023
2018-06-29 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,3200,1411272
2018-06-28 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,2794,1419727
2018-06-27 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,5204,1412599
