Date,Open,High,Low,Close,Volume,MarketCap
2018-08-30 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,22303,0
2018-08-29 00:00:00 +0000 UTC,0.1,0.2,0.1,0.1,38924,0
2018-08-28 00:00:00 +0000 UTC,0.1,0.2,0.1,0.1,17133,0
2018-08-27 00:00:00 +0000 UTC,0.2,0.2,0.1,0.1,31107,0
2018-08-26 00:00:00 +0000 UTC,0.2,0.2,0.1,0.2,19964,0
2018-08-25 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,12878,0
2018-08-24 00:00:00 +0000 UTC,0.2,0.2,0.1,0.2,24756,0
2018-08-23 00:00:00 +0000 UTC,0.1,0.2,0.1,0.2,63631,0
2018-08-22 00:00:00 +0000 UTC,0.1,0.2,0.1,0.1,117387,0
2018-08-21 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,30176,0
2018-08-20 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,61373,0
2018-08-19 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,4438,0
2018-08-18 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,13973,0
2018-08-17 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,14664,0
2018-08-16 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,19280,0
2018-08-15 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,12018,0
2018-08-14 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,13876,0
2018-08-13 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,10411,0
2018-08-12 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,6165,0
2018-08-11 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,25639,0
2018-08-10 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,39381,0
2018-08-09 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,36976,0
2018-08-08 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,41986,0
2018-08-07 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,75453,0
2018-08-06 00:00:00 +0000 UTC,0.2,0.2,0.1,0.1,119694,0
2018-08-05 00:00:00 +0000 UTC,0.2,0.2,0.1,0.2,14966,0
2018-08-04 00:00:00 +0000 UTC,0.2,0.2,0.1,0.2,31383,0
2018-08-03 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,46642,0
2018-08-02 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,30224,0
2018-08-01 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,23909,0
2018-07-31 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,31724,0
2018-07-30 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,42489,0
2018-07-29 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,38458,0
2018-07-28 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,14864,0
2018-07-27 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,38477,0
2018-07-26 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,43670,0
2018-07-25 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,23370,0
2018-07-24 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,19172,0
2018-07-23 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,19397,0
2018-07-22 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,19316,0
2018-07-21 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,16713,0
2018-07-20 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,14103,0
2018-07-19 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,19280,0
2018-07-18 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,50805,0
2018-07-17 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,46111,0
2018-07-16 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,28848,0
2018-07-15 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,10749,0
2018-07-14 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,13038,0
2018-07-13 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,22958,0
2018-07-12 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,20088,0
2018-07-11 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,7740,0
2018-07-10 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,43709,0
2018-07-09 00:00:00 +0000 UTC,0.3,0.3,0.2,0.2,34251,0
2018-07-08 00:00:00 +0000 UTC,0.3,0.3,0.2,0.3,11058,0
2018-07-07 00:00:00 +0000 UTC,0.3,0.3,0.2,0.3,11082,0
2018-07-06 00:00:00 +0000 UTC,0.2,0.3,0.2,0.3,42841,0
2018-07-05 00:00:00 +0000 UTC,0.3,0.3,0.2,0.2,25021,0
2018-07-04 00:00:00 +0000 UTC,0.3,0.3,0.2,0.3,55678,0
2018-07-03 00:00:00 +0000 UTC,0.3,0.3,0.2,0.3,48761,0
2018-07-02 00:00:00 +0000 UTC,0.2,0.3,0.2,0.3,177704,0
2018-07-01 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,37696,0
2018-06-30 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,27796,0
2018-06-29 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,53059,0
2018-06-28 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,34919,0
2018-06-27 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,32823,0
2018-06-26 00:00:00 +0000 UTC,0.2,0.3,0.2,0.2,51065,0
2018-06-25 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,111294,0
2018-06-24 00:00:00 +0000 UTC,0.3,0.3,0.2,0.2,224185,0
2018-06-23 00:00:00 +0000 UTC,0.3,0.3,0.2,0.3,48785,0
2018-06-22 00:00:00 +0000 UTC,0.3,0.3,0.2,0.3,177610,0
2018-06-21 00:00:00 +0000 UTC,0.3,0.3,0.3,0.3,27792,0
2018-06-20 00:00:00 +0000 UTC,0.4,0.4,0.3,0.3,73999,0
2018-06-19 00:00:00 +0000 UTC,0.3,0.4,0.3,0.4,19800,0
2018-06-18 00:00:00 +0000 UTC,0.3,0.4,0.3,0.3,38789,0
2018-06-17 00:00:00 +0000 UTC,0.3,0.3,0.3,0.3,17011,0
2018-06-16 00:00:00 +0000 UTC,0.3,0.3,0.3,0.3,33369,0
2018-06-15 00:00:00 +0000 UTC,0.4,0.4,0.3,0.4,38244,0
2018-06-14 00:00:00 +0000 UTC,0.3,0.4,0.3,0.4,75479,0
2018-06-13 00:00:00 +0000 UTC,0.4,0.4,0.3,0.3,143308,0
2018-06-12 00:00:00 +0000 UTC,0.4,0.4,0.4,0.4,41504,0
2018-06-11 00:00:00 +0000 UTC,0.4,0.4,0.4,0.4,68946,0
2018-06-10 00:00:00 +0000 UTC,0.5,0.5,0.4,0.4,180694,0
2018-06-09 00:00:00 +0000 UTC,0.5,0.5,0.5,0.5,26046,0
2018-06-08 00:00:00 +0000 UTC,0.5,0.5,0.5,0.5,62239,0
2018-06-07 00:00:00 +0000 UTC,0.5,0.5,0.5,0.5,85247,0
2018-06-06 00:00:00 +0000 UTC,0.5,0.5,0.5,0.5,38126,0
2018-06-05 00:00:00 +0000 UTC,0.5,0.5,0.5,0.5,35346,0
2018-06-04 00:00:00 +0000 UTC,0.5,0.5,0.5,0.5,124528,0
2018-06-03 00:00:00 +0000 UTC,0.5,0.5,0.5,0.5,67919,0
2018-06-02 00:00:00 +0000 UTC,0.5,0.5,0.5,0.5,27950,0
2018-06-01 00:00:00 +0000 UTC,0.5,0.5,0.5,0.5,46984,0
2018-05-31 00:00:00 +0000 UTC,0.5,0.5,0.5,0.5,43583,0
2018-05-30 00:00:00 +0000 UTC,0.5,0.5,0.5,0.5,69708,0
2018-05-29 00:00:00 +0000 UTC,0.5,0.5,0.4,0.5,129553,0
2018-05-28 00:00:00 +0000 UTC,0.5,0.5,0.5,0.5,86620,0
2018-05-27 00:00:00 +0000 UTC,0.5,0.5,0.5,0.5,67316,0
2018-05-26 00:00:00 +0000 UTC,0.5,0.5,0.5,0.5,131946,0
2018-05-25 00:00:00 +0000 UTC,0.5,0.5,0.5,0.5,90077,0
2018-05-24 00:00:00 +0000 UTC,0.5,0.5,0.5,0.5,150442,0
2018-05-23 00:00:00 +0000 UTC,0.6,0.6,0.5,0.5,144240,0
2018-05-22 00:00:00 +0000 UTC,0.6,0.6,0.6,0.6,240322,0
2018-05-21 00:00:00 +0000 UTC,0.5,0.6,0.5,0.6,257890,0
2018-05-20 00:00:00 +0000 UTC,0.5,0.5,0.5,0.5,57585,0
2018-05-19 00:00:00 +0000 UTC,0.5,0.5,0.5,0.5,71760,0
2018-05-18 00:00:00 +0000 UTC,0.5,0.5,0.5,0.5,112559,0
2018-05-17 00:00:00 +0000 UTC,0.5,0.6,0.5,0.5,189848,0
2018-05-16 00:00:00 +0000 UTC,0.5,0.5,0.5,0.5,131410,0
2018-05-15 00:00:00 +0000 UTC,0.5,0.5,0.5,0.5,89367,0
2018-05-14 00:00:00 +0000 UTC,0.5,0.6,0.5,0.5,235554,0
2018-05-13 00:00:00 +0000 UTC,0.5,0.5,0.5,0.5,108873,0
2018-05-12 00:00:00 +0000 UTC,0.5,0.5,0.5,0.5,141952,0
2018-05-11 00:00:00 +0000 UTC,0.5,0.6,0.5,0.5,254867,0
2018-05-10 00:00:00 +0000 UTC,0.6,0.6,0.5,0.5,259230,0
2018-05-09 00:00:00 +0000 UTC,0.6,0.6,0.6,0.6,99301,0
2018-05-08 00:00:00 +0000 UTC,0.6,0.7,0.6,0.6,111401,0
2018-05-07 00:00:00 +0000 UTC,0.7,0.7,0.6,0.6,180613,0
2018-05-06 00:00:00 +0000 UTC,0.7,0.7,0.6,0.7,195811,0
2018-05-05 00:00:00 +0000 UTC,0.7,0.7,0.7,0.7,342733,0
2018-05-04 00:00:00 +0000 UTC,0.7,0.7,0.7,0.7,110270,0
2018-05-03 00:00:00 +0000 UTC,0.7,0.7,0.7,0.7,161834,0
2018-05-02 00:00:00 +0000 UTC,0.7,0.8,0.7,0.7,351015,0
2018-05-01 00:00:00 +0000 UTC,0.7,0.7,0.7,0.7,141914,0
2018-04-30 00:00:00 +0000 UTC,0.7,0.8,0.7,0.7,255808,0
2018-04-29 00:00:00 +0000 UTC,0.7,0.7,0.7,0.7,189373,0
