Date,Open,High,Low,Close,Volume,MarketCap
2018-08-30 00:00:00 +0000 UTC,0.1,0.1,0.0,0.0,114339,19011119
2018-08-29 00:00:00 +0000 UTC,0.1,0.1,0.0,0.1,733073,19324842
2018-08-28 00:00:00 +0000 UTC,0.0,0.1,0.0,0.1,758169,16933728
2018-08-27 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,557344,16183805
2018-08-26 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,625869,15813235
2018-08-25 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,270787,15229038
2018-08-24 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,42675,13817542
2018-08-23 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,47620,13524293
2018-08-22 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,261777,14476429
2018-08-21 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,528290,13249684
2018-08-20 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,490221,14346599
2018-08-19 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,851886,14296773
2018-08-18 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1034420,13069591
2018-08-17 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,516359,11496392
2018-08-16 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,910612,11109782
2018-08-15 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,811874,11122942
2018-08-14 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1012590,11752302
2018-08-13 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1127370,14507530
2018-08-12 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1127670,12823073
2018-08-11 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,996046,13571457
2018-08-10 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1105640,15571645
2018-08-09 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1212010,13762859
2018-08-08 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1208080,18168248
2018-08-07 00:00:00 +0000 UTC,0.1,0.1,0.0,0.0,499131,19137848
2018-08-06 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,498655,20479770
2018-08-05 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,1921390,20744196
2018-08-04 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,3452020,22244255
2018-08-03 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,3585790,20810178
2018-08-02 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,3562100,20950855
2018-08-01 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,2801060,23317030
2018-07-31 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,7907350,27331757
2018-07-30 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,9554780,28450231
2018-07-29 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,11112700,28806236
2018-07-28 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,14159800,28819912
2018-07-27 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,8786960,27964542
2018-07-26 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,6702720,30167980
2018-07-25 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,6442360,30886512
2018-07-24 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,7281510,26476656
2018-07-23 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,4594850,26544246
2018-07-22 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,4720110,19595766
2018-07-21 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,3897550,19272552
2018-07-20 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,4579050,20388804
2018-07-19 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,4427700,21003674
2018-07-18 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,4825620,22018658
2018-07-17 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,4465410,19555716
2018-07-16 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,2475500,18095166
2018-07-15 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,3795540,17779920
2018-07-14 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,4616440,17678014
2018-07-13 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,3999120,17700682
2018-07-12 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,4393520,17721646
2018-07-11 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,2949390,17802674
2018-07-10 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,2836600,19424066
2018-07-09 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,2793670,20364374
2018-07-08 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,4541400,20630674
2018-07-07 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,4994640,20019156
2018-07-06 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,4091690,20059176
2018-07-05 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,5370650,20019704
2018-07-04 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,4923900,20565010
2018-07-03 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,4455990,20561660
2018-07-02 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,3298450,17459562
2018-07-01 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,3053230,18937178
2018-06-30 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,3603930,18087252
2018-06-29 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,3557570,18535476
2018-06-28 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,85049,18645198
2018-06-27 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,939611,18561042
2018-06-26 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,5094310,19929516
2018-06-25 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,3355680,19525928
2018-06-24 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,687037,21445938
2018-06-23 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,742438,21041760
2018-06-22 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,204060,24717044
2018-06-21 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,1243670,24402282
2018-06-20 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,832105,25259244
2018-06-19 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,1821630,23249324
2018-06-18 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,1237460,20091266
2018-06-17 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,1104960,20680080
2018-06-16 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,1407140,21037584
2018-06-15 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,1784440,23245706
2018-06-14 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,2224600,22203060
2018-06-13 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,1990170,23126138
2018-06-12 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,2079410,25361352
2018-06-11 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,2525770,23399162
2018-06-10 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,2357500,28029092
2018-06-09 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,2491780,29085588
2018-06-08 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,2735140,29522894
2018-06-07 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,2736030,30077752
2018-06-06 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,2989540,29006576
2018-06-05 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,2711680,28103336
2018-06-04 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,2729950,29551188
2018-06-03 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,2633960,29338568
2018-06-02 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,2791910,31694534
2018-06-01 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,3062150,31510176
2018-05-31 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,2952790,30314330
2018-05-30 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,2421870,31359444
2018-05-29 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,2543750,26590466
2018-05-28 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,2200600,28117352
2018-05-27 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,2208080,28789064
2018-05-26 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,2067200,30132958
2018-05-25 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,2409400,31488254
2018-05-24 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,2489080,29351948
2018-05-23 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,2197210,34579312
2018-05-22 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,2913660,36244432
2018-05-21 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,2519860,36958216
2018-05-20 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,2202010,33862300
2018-05-19 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,2436090,35659288
2018-05-18 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,3094890,36063988
2018-05-17 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,2842710,37377580
2018-05-16 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,2916890,38136612
2018-05-15 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,2994600,35726216
2018-05-14 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,1283990,36759328
2018-05-13 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,1797830,35770160
2018-05-12 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,3243570,34150364
2018-05-11 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,3010860,39065084
2018-05-10 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,3335530,40350764
2018-05-09 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,3616320,40167252
2018-05-08 00:00:00 +0000 UTC,0.1,0.2,0.1,0.1,3817710,40704988
2018-05-07 00:00:00 +0000 UTC,0.2,0.2,0.1,0.1,3889710,48661872
2018-05-06 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,3950460,50118180
2018-05-05 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,4286620,48481832
2018-05-04 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,4221550,47309512
2018-05-03 00:00:00 +0000 UTC,0.1,0.2,0.1,0.2,4114690,42050924
2018-05-02 00:00:00 +0000 UTC,0.2,0.2,0.1,0.1,2121440,34122652
2018-05-01 00:00:00 +0000 UTC,0.2,0.2,0.1,0.2,2192610,34863204
2018-04-30 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,3656660,35771660
2018-04-29 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,3853880,34254212
2018-04-28 00:00:00 +0000 UTC,0.1,0.2,0.1,0.2,3859240,29331600
2018-04-27 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,3045660,32946550
2018-04-26 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,3160940,32713162
2018-04-25 00:00:00 +0000 UTC,0.2,0.2,0.1,0.1,3665140,37165340
2018-04-24 00:00:00 +0000 UTC,0.1,0.2,0.1,0.2,3835070,33098262
2018-04-23 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,3428330,31872168
2018-04-22 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,3284360,30740562
2018-04-21 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,3138060,30550842
2018-04-20 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,3208310,27438942
2018-04-19 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,2999300,26344214
2018-04-18 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,2385690,25364348
2018-04-17 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,2667360,24889950
2018-04-16 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,2495660,26729754
2018-04-15 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,2094410,24772918
2018-04-14 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,1794890,23715582
2018-04-13 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,2581000,24297018
2018-04-12 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,2690540,19919664
2018-04-11 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,1422130,19465372
2018-04-10 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,1396510,19029406
2018-04-09 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,1831350,20676494
2018-04-08 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,2142240,20308270
2018-04-07 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,2176190,19746002
2018-04-06 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,1829490,22350736
2018-04-05 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,2622660,20797862
2018-04-04 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,2624370,22443806
2018-04-03 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,2381070,19448614
2018-04-02 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,982103,19638948
2018-04-01 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,1299180,20403646
2018-03-31 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,2153430,20122942
2018-03-30 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,2145740,20048338
2018-03-29 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,2195760,23069350
2018-03-28 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,2598540,23483052
