Date,Open,High,Low,Close,Volume,MarketCap
2018-08-30 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,200308,12099873
2018-08-29 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,90045,10915356
2018-08-28 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,79016,10252453
2018-08-27 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,139523,9768729
2018-08-26 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,196284,9496212
2018-08-25 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,307864,8846967
2018-08-24 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,192158,6432119
2018-08-23 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,350345,8576081
2018-08-22 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,485610,11837048
2018-08-21 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,55036,11665598
2018-08-20 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,39548,12551631
2018-08-19 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,39778,12403990
2018-08-18 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,104657,12978307
2018-08-17 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,38868,12018578
2018-08-16 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,20066,12069994
2018-08-15 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,57051,11339600
2018-08-14 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,111629,11961312
2018-08-13 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,130034,13172953
2018-08-12 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,39279,13395810
2018-08-11 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,63649,13365421
2018-08-10 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,90575,14563440
2018-08-09 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,33758,14177463
2018-08-08 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,59822,15513575
2018-08-07 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,125460,16106901
2018-08-06 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,122093,16198932
2018-08-05 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,78659,16298895
2018-08-04 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,73610,17060387
2018-08-03 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,96051,17389529
2018-08-02 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,64255,17829864
2018-08-01 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,61482,18366607
2018-07-31 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,119000,19331744
2018-07-30 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,172359,20031161
2018-07-29 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,287895,19205698
2018-07-28 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,132862,18769752
2018-07-27 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,70374,18159100
2018-07-26 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,91412,19727024
2018-07-25 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,210017,20387844
2018-07-24 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,295861,20601568
2018-07-23 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,181279,20779808
2018-07-22 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,63771,20858664
2018-07-21 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,44700,20605648
2018-07-20 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,109955,21548214
2018-07-19 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,119538,22140734
2018-07-18 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,117626,22733932
2018-07-17 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,79260,21418034
