Date,Open,High,Low,Close,Volume,MarketCap
2018-08-30 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,3,2398610
2018-08-29 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,303,2339083
2018-08-28 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,0,3377790
2018-08-27 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,0,3306939
2018-08-26 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,1070,1834933
2018-08-25 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,1322,1748219
2018-08-24 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,359,1855013
2018-08-23 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,941,1756885
2018-08-22 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,714,1711712
2018-08-21 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,863,1632716
2018-08-20 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,796,1867446
2018-08-19 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,1141,1726235
2018-08-18 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,838,1755990
2018-08-17 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,809,1715888
2018-08-16 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,522,2373480
2018-08-15 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,4,2344044
2018-08-14 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,73,2335491
2018-08-13 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,251,2423139
2018-08-12 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,5,2397085
2018-08-11 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,83,2020360
2018-08-10 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,812,1963194
2018-08-09 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,917,1887674
2018-08-08 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,1052,2053693
2018-08-07 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,1163,1990231
2018-08-06 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,1090,2261230
2018-08-05 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,1362,2074937
2018-08-04 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,1448,2045054
2018-08-03 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,1071,2254863
2018-08-02 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,1538,2382064
2018-08-01 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,20974,2043654
2018-07-31 00:00:00 +0000 UTC,0.1,0.1,0.0,0.1,30917,2455509
2018-07-30 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,11134,2556304
2018-07-29 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,13266,2469516
2018-07-28 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,8566,2556033
2018-07-27 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,19593,2516404
2018-07-26 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,32182,2548971
2018-07-25 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,4339,2634475
2018-07-24 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,5537,2529515
2018-07-23 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,7604,2461835
2018-07-22 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,15929,2581933
2018-07-21 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,40329,2675783
2018-07-20 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,24853,1734182
2018-07-19 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,452,1800415
2018-07-18 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,645,2172215
