Date,Open,High,Low,Close,Volume,MarketCap
2018-08-30 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,788,2859238
2018-08-29 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,1532,2965395
2018-08-28 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,33963,2741881
2018-08-27 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,3399,2669400
2018-08-26 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,1436,2710742
2018-08-25 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,2426,2635330
2018-08-24 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,2997,2431432
2018-08-23 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,1810,2371842
2018-08-22 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,1245,2375742
2018-08-21 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,2828,2313814
2018-08-20 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,2590,2537417
2018-08-19 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,1999,2477521
2018-08-18 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,980,2590980
2018-08-17 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,2717,2484761
2018-08-16 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,3491,2387890
2018-08-15 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,3792,2098476
2018-08-14 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,3494,2610967
2018-08-13 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,1252,2615236
2018-08-12 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,781,2564576
2018-08-11 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,1832,2427263
2018-08-10 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,2538,2630682
2018-08-09 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,14780,3013005
2018-08-08 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,10890,2819374
2018-08-07 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,12274,3313169
2018-08-06 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,19261,3454516
2018-08-05 00:00:00 +0000 UTC,0.2,0.2,0.1,0.1,4622,3772565
2018-08-04 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,10251,3877677
2018-08-03 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,4334,4122260
2018-08-02 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,4242,4289204
2018-08-01 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,11078,4183473
2018-07-31 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,4163,4478379
2018-07-30 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,5909,4764545
2018-07-29 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,3451,4755377
2018-07-28 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,5319,4600469
2018-07-27 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,3377,4579743
2018-07-26 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,6005,4718828
2018-07-25 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,12746,4916882
2018-07-24 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,30211,4593524
2018-07-23 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,6728,4694399
2018-07-22 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,12545,5246572
2018-07-21 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,7407,4658819
2018-07-20 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,8706,5336957
2018-07-19 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,3041,5222005
2018-07-18 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,4481,5235027
2018-07-17 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,2530,4728524
2018-07-16 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,3754,4648904
2018-07-15 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,4792,4243561
2018-07-14 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,37540,4185619
2018-07-13 00:00:00 +0000 UTC,0.2,0.2,0.1,0.2,24354,3621659
2018-07-12 00:00:00 +0000 UTC,0.1,0.2,0.1,0.2,1983,3497861
2018-07-11 00:00:00 +0000 UTC,0.1,0.2,0.1,0.1,2778,3507542
2018-07-10 00:00:00 +0000 UTC,0.2,0.2,0.1,0.1,2640,4062725
2018-07-09 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,2060,3993697
2018-07-08 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,4279,4307566
2018-07-07 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,7901,4047089
2018-07-06 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,922,4125692
2018-07-05 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,1341,3805753
2018-07-04 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,3072,4044699
2018-07-03 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,5808,4243686
2018-07-02 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,2663,3971349
2018-07-01 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,1389,3969239
2018-06-30 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,2538,3828590
2018-06-29 00:00:00 +0000 UTC,0.1,0.2,0.1,0.2,4724,3562419
2018-06-28 00:00:00 +0000 UTC,0.2,0.2,0.1,0.1,2822,3676584
2018-06-27 00:00:00 +0000 UTC,0.2,0.2,0.1,0.2,4512,3862445
2018-06-26 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,2294,4026792
2018-06-25 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,951,3721779
2018-06-24 00:00:00 +0000 UTC,0.2,0.2,0.1,0.2,4786,4034018
2018-06-23 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,1169,3915505
2018-06-22 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,1805,4500679
2018-06-21 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,4510,4675423
2018-06-20 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,2263,4648737
2018-06-19 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,3625,4301190
