Date,Open,High,Low,Close,Volume,MarketCap
2018-08-30 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,219,37014
2018-08-29 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,29,40995
2018-08-28 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,790,45968
2018-08-27 00:00:00 +0000 UTC,0.1,0.2,0.1,0.1,2386,40346
2018-08-26 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,88,44872
2018-08-25 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,10,42699
2018-08-24 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,4,41905
2018-08-23 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,61,36397
2018-08-22 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,33,45144
2018-08-21 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,9,40277
2018-08-20 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,229,39270
2018-08-19 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,99,43279
2018-08-18 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,3,46849
2018-08-17 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,82,43770
2018-08-16 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,69,42875
2018-08-15 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,108,48471
2018-08-14 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,156,58549
2018-08-13 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,109,58361
2018-08-12 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,20,32246
2018-08-11 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,21,62786
2018-08-10 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,18,57356
2018-08-09 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,234,52650
2018-08-08 00:00:00 +0000 UTC,0.1,0.2,0.1,0.1,379,63497
2018-08-07 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,7,55218
2018-08-06 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,13,69107
2018-08-05 00:00:00 +0000 UTC,0.2,0.2,0.1,0.1,31,82748
2018-08-04 00:00:00 +0000 UTC,0.2,0.2,0.1,0.2,300,78777
2018-08-03 00:00:00 +0000 UTC,0.2,0.2,0.1,0.2,63,79105
2018-08-02 00:00:00 +0000 UTC,0.1,0.2,0.1,0.2,206,66652
2018-08-01 00:00:00 +0000 UTC,0.2,0.2,0.1,0.1,395,106966
2018-07-31 00:00:00 +0000 UTC,0.2,0.2,0.1,0.2,229,86734
2018-07-30 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,165,86787
2018-07-29 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,100,79197
2018-07-28 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,258,89225
2018-07-27 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,4,75952
2018-07-26 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,50,98351
2018-07-25 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,339,89655
2018-07-24 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,185,72860
2018-07-23 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,108,77340
2018-07-22 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,106,83884
2018-07-21 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,117,83722
2018-07-20 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,89,86779
2018-07-19 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,111,86949
2018-07-18 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,34,85096
2018-07-17 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,219,90376
2018-07-16 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,3,89076
2018-07-14 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,80,78429
2018-07-13 00:00:00 +0000 UTC,0.1,0.2,0.1,0.2,139,66944
2018-07-12 00:00:00 +0000 UTC,0.2,0.2,0.1,0.1,763,73544
2018-07-11 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,54,72344
2018-07-10 00:00:00 +0000 UTC,0.2,0.2,0.1,0.2,352,79908
2018-07-09 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,173,81164
2018-07-08 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,97,100034
2018-07-07 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,445,80958
2018-07-06 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,120,79848
2018-07-05 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,84,78625
2018-07-04 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,840,81472
2018-07-03 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,173,84659
2018-07-02 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,98,81369
2018-07-01 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,54,80840
2018-06-30 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,586,77743
2018-06-29 00:00:00 +0000 UTC,0.2,0.2,0.1,0.2,169,74352
2018-06-28 00:00:00 +0000 UTC,0.2,0.2,0.1,0.2,33,72034
2018-06-27 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,40,74054
2018-06-26 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,276,78369
2018-06-25 00:00:00 +0000 UTC,0.2,0.2,0.1,0.2,812,77197
2018-06-24 00:00:00 +0000 UTC,0.2,0.2,0.1,0.2,668,77929
2018-06-23 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,393,79572
2018-06-22 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,46,85978
2018-06-21 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,771,84858
2018-06-20 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,149,90567
2018-06-19 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,183,78973
2018-06-18 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,194,86293
2018-06-17 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,279,91109
