Date,Open,High,Low,Close,Volume,MarketCap
2018-08-30 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,15352,112579
2018-08-29 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,15857,96966
2018-08-28 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,16962,118281
2018-08-27 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,13061,212639
2018-08-26 00:00:00 +0000 UTC,0.0,0.1,0.0,0.0,16796,107029
2018-08-25 00:00:00 +0000 UTC,0.0,0.1,0.0,0.0,19075,59296
2018-08-24 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,15286,59755
2018-08-23 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,10662,62196
2018-08-22 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,9918,60576
2018-08-21 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,12361,58314
2018-08-20 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,11580,60561
2018-08-19 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,12066,57466
2018-08-18 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,13559,57997
2018-08-17 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,13287,59717
2018-08-16 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,13919,58051
2018-08-15 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,11765,61668
2018-08-14 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,12045,56740
2018-08-13 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,10914,66764
2018-08-12 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,9279,67407
2018-08-11 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,12075,61663
2018-08-10 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,8919,59696
2018-08-09 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,13611,50847
2018-08-08 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,11614,58717
2018-08-07 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,13530,61794
2018-08-06 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,16772,63212
2018-08-05 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,17268,62868
2018-08-04 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,12462,63780
2018-08-03 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,16095,51718
2018-08-02 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,14489,52180
2018-08-01 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,13876,55343
2018-07-31 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,12461,56295
2018-07-30 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,17564,76157
2018-07-29 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,15357,63742
2018-07-28 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,17029,87248
2018-07-27 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,11446,72707
2018-07-26 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,12872,79295
2018-07-25 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,12625,77858
2018-07-24 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,12250,83997
2018-07-23 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,15616,81165
2018-07-22 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,16366,113987
2018-07-21 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,14203,109234
2018-07-20 00:00:00 +0000 UTC,0.1,0.1,0.0,0.0,18186,155141
2018-07-19 00:00:00 +0000 UTC,0.0,0.1,0.0,0.1,15724,86552
2018-07-18 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,15989,121979
2018-07-17 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,14320,85011
2018-07-16 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,11690,67350
2018-07-15 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,15469,67912
2018-07-14 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,11807,69626
2018-07-13 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,12473,56897
2018-07-12 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,12343,59239
2018-07-11 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,11143,49776
2018-07-10 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,11385,50059
2018-07-09 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,14262,61616
2018-07-08 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,14722,64178
2018-07-07 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,14086,57648
2018-07-06 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,15781,62470
2018-07-05 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,12420,64142
2018-07-04 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,18887,67214
2018-07-03 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,15562,71230
2018-07-02 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,12075,74591
2018-07-01 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,10901,83962
2018-06-30 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,14986,80402
2018-06-29 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,10914,74259
2018-06-28 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,10229,77314
2018-06-27 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,13112,82985
2018-06-26 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,15711,76334
2018-06-25 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,10397,85081
2018-06-24 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,11231,91732
2018-06-23 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,13859,75055
2018-06-22 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,10585,105221
2018-06-21 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,11218,105465
2018-06-20 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,10789,108901
2018-06-19 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,11426,108929
2018-06-18 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,14269,100257
2018-06-17 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,10145,116674
2018-06-16 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,15308,105540
2018-06-15 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,10571,98427
2018-06-14 00:00:00 +0000 UTC,0.0,0.1,0.0,0.0,17638,86339
2018-06-13 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,10456,97508
2018-06-12 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,10093,102654
2018-06-11 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,11972,97628
2018-06-10 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,13674,132154
2018-06-09 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,14946,134212
2018-06-08 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,16833,142254
2018-06-07 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,10709,133974
2018-06-06 00:00:00 +0000 UTC,0.1,0.1,0.0,0.0,13722,150774
2018-06-05 00:00:00 +0000 UTC,0.1,0.1,0.0,0.1,13345,158409
2018-06-04 00:00:00 +0000 UTC,0.0,0.1,0.0,0.1,15174,147286
2018-06-03 00:00:00 +0000 UTC,0.1,0.1,0.0,0.1,13865,150868
2018-06-02 00:00:00 +0000 UTC,0.0,0.1,0.0,0.1,13156,136572
2018-06-01 00:00:00 +0000 UTC,0.0,0.1,0.0,0.0,12558,127019
2018-05-31 00:00:00 +0000 UTC,0.0,0.1,0.0,0.0,13615,128018
2018-05-30 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,12735,125287
2018-05-29 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,18120,96240
2018-05-28 00:00:00 +0000 UTC,0.0,0.1,0.0,0.0,16698,139629
2018-05-27 00:00:00 +0000 UTC,0.1,0.1,0.0,0.0,16771,196339
2018-05-26 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,12718,214747
2018-05-25 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,17465,220406
2018-05-24 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,17558,193947
2018-05-23 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,12670,223490
2018-05-22 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,15895,266342
2018-05-21 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,17124,268547
2018-05-20 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,15133,263592
2018-05-19 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,14695,257736
2018-05-18 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,13670,266010
2018-05-17 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,12835,277259
2018-05-16 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,12858,323017
2018-05-15 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,13566,342430
2018-05-14 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,18834,265894
2018-05-13 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,14505,260508
2018-05-12 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,14316,234070
2018-05-11 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,16589,304361
2018-05-10 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,20373,339952
2018-05-09 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,14329,345930
2018-05-08 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,22004,353181
2018-05-07 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,24402,130624
2018-05-06 00:00:00 +0000 UTC,0.1,0.2,0.1,0.1,16120,150418
2018-05-05 00:00:00 +0000 UTC,0.2,0.2,0.1,0.1,18938,153133
2018-05-04 00:00:00 +0000 UTC,0.1,0.2,0.1,0.1,18815,141513
2018-05-03 00:00:00 +0000 UTC,0.2,0.2,0.1,0.1,25218,207838
2018-05-02 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,19738,179800
2018-05-01 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,19010,198243
2018-04-30 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,21605,181734
2018-04-29 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,17912,169866
2018-04-28 00:00:00 +0000 UTC,0.1,0.2,0.1,0.2,26910,138320
2018-04-27 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,22883,96908
2018-04-26 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,20521,118730
2018-04-25 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,18062,134672
2018-04-24 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,24176,112072
2018-04-23 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,19932,137091
2018-04-22 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,16890,133790
2018-04-21 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,16926,136100
2018-04-20 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,19337,135164
2018-04-19 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,14944,135522
2018-04-18 00:00:00 +0000 UTC,0.1,0.4,0.1,0.1,20220,119538
2018-04-17 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,18617,136030
2018-04-16 00:00:00 +0000 UTC,0.2,0.2,0.1,0.1,18828,161934
2018-04-15 00:00:00 +0000 UTC,0.2,0.2,0.1,0.2,19528,175611
2018-04-14 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,19327,153921
2018-04-13 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,19137,191028
2018-04-12 00:00:00 +0000 UTC,0.1,0.2,0.1,0.2,17293,134559
2018-04-11 00:00:00 +0000 UTC,0.1,0.2,0.1,0.1,13630,130783
2018-04-10 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,13267,138018
2018-04-09 00:00:00 +0000 UTC,0.1,0.2,0.1,0.1,12949,144200
2018-04-08 00:00:00 +0000 UTC,0.1,0.2,0.1,0.1,14739,147998
2018-04-07 00:00:00 +0000 UTC,0.1,0.2,0.1,0.1,12751,145143
2018-04-06 00:00:00 +0000 UTC,0.1,0.2,0.1,0.1,11230,141019
2018-04-05 00:00:00 +0000 UTC,0.1,0.2,0.1,0.1,13539,128561
2018-04-04 00:00:00 +0000 UTC,0.2,0.2,0.1,0.1,10775,158731
2018-04-03 00:00:00 +0000 UTC,0.1,0.2,0.1,0.2,13600,130476
2018-04-02 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,15982,94008
2018-04-01 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,17031,124085
2018-03-31 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,12975,111203
2018-03-30 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,13289,139942
2018-03-29 00:00:00 +0000 UTC,0.2,0.2,0.1,0.1,2081,154021
2018-03-28 00:00:00 +0000 UTC,0.1,0.2,0.1,0.2,1953,149378
2018-03-27 00:00:00 +0000 UTC,0.2,0.2,0.1,0.1,3479,159158
2018-03-26 00:00:00 +0000 UTC,0.2,0.2,0.1,0.2,3851,186707
2018-03-25 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,3387,216245
2018-03-24 00:00:00 +0000 UTC,0.2,0.3,0.2,0.2,3623,239555
2018-03-23 00:00:00 +0000 UTC,0.3,0.3,0.2,0.2,10783,285493
2018-03-22 00:00:00 +0000 UTC,0.2,0.5,0.1,0.3,99619,219993
2018-03-21 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,4289,228425
2018-03-20 00:00:00 +0000 UTC,0.2,0.3,0.2,0.2,2954,207042
2018-03-19 00:00:00 +0000 UTC,0.2,0.3,0.2,0.2,4004,209669
2018-03-18 00:00:00 +0000 UTC,0.2,0.3,0.2,0.2,3473,235860
2018-03-17 00:00:00 +0000 UTC,0.3,0.3,0.2,0.2,4979,291161
2018-03-16 00:00:00 +0000 UTC,0.3,0.3,0.3,0.3,5647,302304
2018-03-15 00:00:00 +0000 UTC,0.3,0.3,0.3,0.3,4737,295165
2018-03-14 00:00:00 +0000 UTC,0.4,0.4,0.3,0.3,6146,361707
2018-03-13 00:00:00 +0000 UTC,0.4,0.4,0.3,0.4,5382,396862
2018-03-12 00:00:00 +0000 UTC,0.5,0.5,0.4,0.4,63263,494711
2018-03-11 00:00:00 +0000 UTC,0.4,0.5,0.4,0.5,10402,411030
2018-03-10 00:00:00 +0000 UTC,0.4,0.5,0.4,0.4,10319,373753
