Date,Open,High,Low,Close,Volume,MarketCap
2018-08-30 00:00:00 +0000 UTC,2.9,2.9,2.7,2.8,8595,8313511
2018-08-29 00:00:00 +0000 UTC,2.9,3.1,2.8,2.8,37388,8463793
2018-08-28 00:00:00 +0000 UTC,2.6,3.0,2.5,3.0,37679,7530939
2018-08-27 00:00:00 +0000 UTC,2.5,2.6,2.4,2.6,6570,7356121
2018-08-26 00:00:00 +0000 UTC,2.6,2.8,2.5,2.5,19665,7583677
2018-08-25 00:00:00 +0000 UTC,2.7,2.8,2.5,2.6,18583,7877918
2018-08-24 00:00:00 +0000 UTC,2.6,2.7,2.5,2.7,8785,7610197
2018-08-23 00:00:00 +0000 UTC,2.5,2.6,2.5,2.6,18683,7414918
2018-08-22 00:00:00 +0000 UTC,2.6,2.8,2.5,2.5,5886,7640635
2018-08-21 00:00:00 +0000 UTC,2.5,2.7,2.5,2.6,4603,7307518
2018-08-20 00:00:00 +0000 UTC,2.6,2.6,2.4,2.5,7033,7491259
2018-08-19 00:00:00 +0000 UTC,2.5,2.6,2.5,2.6,2312,7358175
2018-08-18 00:00:00 +0000 UTC,2.7,2.8,2.5,2.5,4601,7904493
2018-08-17 00:00:00 +0000 UTC,2.7,2.8,2.6,2.7,12934,7807739
2018-08-16 00:00:00 +0000 UTC,2.5,2.7,2.5,2.7,5222,7164369
2018-08-15 00:00:00 +0000 UTC,2.5,2.6,2.5,2.5,2403,7290209
2018-08-14 00:00:00 +0000 UTC,2.5,2.5,2.2,2.5,9416,7243567
2018-08-13 00:00:00 +0000 UTC,2.5,2.7,2.5,2.5,3718,7134808
2018-08-12 00:00:00 +0000 UTC,2.5,2.6,2.5,2.5,4051,7396089
2018-08-11 00:00:00 +0000 UTC,2.6,2.7,2.5,2.6,5509,7459735
2018-08-10 00:00:00 +0000 UTC,2.6,2.6,2.4,2.6,4232,7609570
2018-08-09 00:00:00 +0000 UTC,2.5,2.8,2.4,2.6,18092,7122467
2018-08-08 00:00:00 +0000 UTC,2.6,2.6,2.4,2.5,2220,7594733
2018-08-07 00:00:00 +0000 UTC,2.7,2.8,2.6,2.6,4389,7909399
2018-08-06 00:00:00 +0000 UTC,2.8,2.9,2.7,2.7,4363,8038836
2018-08-05 00:00:00 +0000 UTC,2.8,2.9,2.7,2.8,14045,8023966
2018-08-04 00:00:00 +0000 UTC,3.0,3.1,2.8,2.8,2743,8780821
2018-08-03 00:00:00 +0000 UTC,3.0,3.1,2.9,3.0,4339,8527173
2018-08-02 00:00:00 +0000 UTC,3.1,3.4,2.9,3.0,22852,8887909
2018-08-01 00:00:00 +0000 UTC,3.1,3.1,2.7,3.1,63586,8966442
2018-07-31 00:00:00 +0000 UTC,3.1,3.2,2.9,3.1,5000,9071648
2018-07-30 00:00:00 +0000 UTC,3.1,3.1,2.8,3.1,16330,8829496
2018-07-29 00:00:00 +0000 UTC,3.1,3.3,3.0,3.1,12799,8868655
2018-07-28 00:00:00 +0000 UTC,3.1,3.3,3.0,3.1,25640,9076264
2018-07-27 00:00:00 +0000 UTC,3.3,3.8,3.0,3.1,92859,9527808
2018-07-26 00:00:00 +0000 UTC,3.3,4.4,3.2,3.3,253793,9527062
2018-07-25 00:00:00 +0000 UTC,3.3,3.8,3.0,3.3,113581,9430747
2018-07-24 00:00:00 +0000 UTC,3.5,3.6,3.2,3.3,53349,9968347
2018-07-23 00:00:00 +0000 UTC,3.5,3.6,3.3,3.5,26798,9932172
2018-07-22 00:00:00 +0000 UTC,3.5,3.7,3.4,3.5,32506,10009309
2018-07-21 00:00:00 +0000 UTC,3.5,3.5,3.4,3.5,471,10155993
2018-07-20 00:00:00 +0000 UTC,3.6,3.7,3.4,3.5,7543,10425248
2018-07-19 00:00:00 +0000 UTC,3.6,3.7,3.5,3.6,5132,10393748
2018-07-18 00:00:00 +0000 UTC,3.4,3.8,3.4,3.6,13980,9829895
2018-07-17 00:00:00 +0000 UTC,3.2,3.6,3.1,3.4,12726,9202000
2018-07-16 00:00:00 +0000 UTC,3.0,3.3,2.9,3.2,6839,8569663
2018-07-15 00:00:00 +0000 UTC,3.0,3.2,2.9,3.0,10140,8682713
2018-07-14 00:00:00 +0000 UTC,3.0,3.1,2.9,3.0,2515,8488961
2018-07-13 00:00:00 +0000 UTC,3.0,3.1,2.9,3.0,3395,8660552
2018-07-12 00:00:00 +0000 UTC,3.0,3.2,2.9,3.0,7409,8645187
2018-07-11 00:00:00 +0000 UTC,3.1,3.3,3.0,3.0,7068,8945910
2018-07-10 00:00:00 +0000 UTC,3.3,3.3,3.0,3.1,6843,9363685
2018-07-09 00:00:00 +0000 UTC,3.5,3.5,3.2,3.3,2979,9837945
2018-07-08 00:00:00 +0000 UTC,3.4,3.5,3.4,3.5,4429,9809852
2018-07-07 00:00:00 +0000 UTC,3.1,3.5,3.1,3.4,10799,8893479
2018-07-06 00:00:00 +0000 UTC,3.1,3.2,3.0,3.1,6804,8735290
2018-07-05 00:00:00 +0000 UTC,3.2,3.4,3.0,3.1,17009,9190731
2018-07-04 00:00:00 +0000 UTC,3.5,3.5,3.2,3.2,7463,9854036
2018-07-03 00:00:00 +0000 UTC,3.6,3.6,3.4,3.5,3447,10184750
2018-07-02 00:00:00 +0000 UTC,3.5,3.6,3.3,3.6,3503,9811963
2018-07-01 00:00:00 +0000 UTC,3.7,3.7,3.4,3.5,3454,10469743
2018-06-30 00:00:00 +0000 UTC,3.2,3.7,3.2,3.7,16382,9076077
2018-06-29 00:00:00 +0000 UTC,3.0,3.2,3.0,3.2,2523,8496925
2018-06-28 00:00:00 +0000 UTC,3.2,3.2,3.0,3.0,4743,8955573
2018-06-27 00:00:00 +0000 UTC,3.2,3.4,3.1,3.2,8001,8987283
2018-06-26 00:00:00 +0000 UTC,3.4,3.5,3.1,3.1,7097,9515580
2018-06-25 00:00:00 +0000 UTC,3.6,3.6,3.4,3.4,7431,10206394
2018-06-24 00:00:00 +0000 UTC,3.7,3.7,3.4,3.6,6806,10390083
2018-06-23 00:00:00 +0000 UTC,3.6,3.7,3.6,3.7,11438,10211588
2018-06-22 00:00:00 +0000 UTC,4.4,4.4,3.6,3.6,40022,12431515
2018-06-21 00:00:00 +0000 UTC,4.1,4.5,4.1,4.4,14083,11672465
2018-06-20 00:00:00 +0000 UTC,4.5,4.7,4.1,4.1,25334,12825549
2018-06-19 00:00:00 +0000 UTC,4.1,4.7,4.0,4.5,56092,11479655
2018-06-18 00:00:00 +0000 UTC,3.7,4.5,3.4,4.1,25382,10416158
2018-06-17 00:00:00 +0000 UTC,3.8,3.8,3.6,3.7,3552,10697799
2018-06-16 00:00:00 +0000 UTC,3.6,3.8,3.6,3.8,6427,10080700
2018-06-15 00:00:00 +0000 UTC,3.7,3.7,3.5,3.6,5126,10487270
2018-06-14 00:00:00 +0000 UTC,3.5,3.9,3.5,3.7,5556,9918340
2018-06-13 00:00:00 +0000 UTC,4.1,4.2,3.3,3.5,38518,11676263
2018-06-12 00:00:00 +0000 UTC,4.5,4.5,4.0,4.2,13012,12807338
2018-06-11 00:00:00 +0000 UTC,4.5,4.6,4.4,4.5,8128,12564211
2018-06-10 00:00:00 +0000 UTC,4.9,5.0,4.4,4.5,8065,13757920
2018-06-09 00:00:00 +0000 UTC,5.0,5.4,4.9,4.9,23383,14154227
2018-06-08 00:00:00 +0000 UTC,5.0,5.2,4.7,5.0,27975,13903185
2018-06-07 00:00:00 +0000 UTC,5.0,5.1,4.8,4.8,46343,14158631
2018-06-06 00:00:00 +0000 UTC,5.0,5.1,4.8,5.0,22276,14131360
2018-06-05 00:00:00 +0000 UTC,5.0,5.2,4.9,5.0,20819,14103665
2018-06-04 00:00:00 +0000 UTC,5.2,5.3,5.0,5.0,5535,14663901
2018-06-03 00:00:00 +0000 UTC,5.2,5.4,5.0,5.2,37500,14655310
2018-06-02 00:00:00 +0000 UTC,5.1,5.3,5.1,5.2,8236,14323170
2018-06-01 00:00:00 +0000 UTC,4.9,5.2,4.9,5.1,12773,13851938
2018-05-31 00:00:00 +0000 UTC,4.9,5.1,4.8,4.9,12947,13657595
2018-05-30 00:00:00 +0000 UTC,5.0,5.2,4.8,4.9,9133,14015450
2018-05-29 00:00:00 +0000 UTC,4.8,5.1,4.7,5.0,13862,13292870
2018-05-28 00:00:00 +0000 UTC,5.4,5.4,4.6,4.8,54775,15104573
2018-05-27 00:00:00 +0000 UTC,5.2,5.4,5.1,5.4,9054,14559296
2018-05-26 00:00:00 +0000 UTC,5.2,5.4,5.1,5.2,7314,14373616
2018-05-25 00:00:00 +0000 UTC,5.4,5.5,5.0,5.2,15785,15175788
2018-05-24 00:00:00 +0000 UTC,5.4,5.6,5.3,5.4,7945,15187865
2018-05-23 00:00:00 +0000 UTC,6.0,6.0,5.3,5.5,37852,16618363
2018-05-22 00:00:00 +0000 UTC,6.1,6.2,5.8,6.0,23382,16898266
2018-05-21 00:00:00 +0000 UTC,6.3,6.4,6.0,6.1,16555,17499204
2018-05-20 00:00:00 +0000 UTC,6.0,6.4,5.9,6.3,15021,16658925
2018-05-19 00:00:00 +0000 UTC,5.9,6.1,5.8,6.0,15668,16318082
2018-05-18 00:00:00 +0000 UTC,6.0,6.0,5.6,5.9,16039,16607144
2018-05-17 00:00:00 +0000 UTC,6.2,6.2,5.7,6.0,69952,17211016
2018-05-16 00:00:00 +0000 UTC,6.3,6.4,5.9,6.2,19762,17580148
2018-05-15 00:00:00 +0000 UTC,6.2,6.6,6.0,6.3,73391,17355872
2018-05-14 00:00:00 +0000 UTC,6.4,6.5,6.0,6.3,49030,17685364
2018-05-13 00:00:00 +0000 UTC,6.2,6.6,6.0,6.4,30694,17357226
2018-05-12 00:00:00 +0000 UTC,6.0,6.7,5.9,6.3,45494,16763001
2018-05-11 00:00:00 +0000 UTC,6.7,6.7,5.9,6.1,48854,18698314
2018-05-10 00:00:00 +0000 UTC,7.0,7.6,6.8,6.8,50490,19548772
2018-05-09 00:00:00 +0000 UTC,7.4,7.5,6.7,7.0,131161,20554492
2018-05-08 00:00:00 +0000 UTC,7.6,7.8,7.3,7.4,22834,21156662
2018-05-07 00:00:00 +0000 UTC,7.8,7.8,7.4,7.7,19927,21667994
2018-05-06 00:00:00 +0000 UTC,8.4,8.6,7.6,7.8,85483,23245216
2018-05-05 00:00:00 +0000 UTC,8.1,8.6,8.0,8.4,82945,22248230
2018-05-04 00:00:00 +0000 UTC,8.6,8.6,8.0,8.1,43791,23624190
2018-05-03 00:00:00 +0000 UTC,8.1,8.6,8.0,8.4,48982,22212712
2018-05-02 00:00:00 +0000 UTC,8.0,8.2,7.7,8.0,65810,21969512
2018-05-01 00:00:00 +0000 UTC,7.8,8.0,7.3,8.0,73556,21476942
2018-04-30 00:00:00 +0000 UTC,8.6,8.8,7.7,7.8,119018,23716490
2018-04-29 00:00:00 +0000 UTC,8.1,8.8,7.0,8.6,249996,22415176
2018-04-28 00:00:00 +0000 UTC,7.7,8.3,7.7,8.1,40132,21170218
2018-04-27 00:00:00 +0000 UTC,8.2,8.3,7.6,7.7,107758,22512760
2018-04-26 00:00:00 +0000 UTC,8.0,8.2,7.1,8.2,166976,22042948
2018-04-25 00:00:00 +0000 UTC,9.2,9.2,7.9,8.0,52425,25396478
